iw_n,G_iw_n
-717.6295218700113j,"[[ 3.11508341e-06+1.39339268e-03j -7.80652390e-09+6.05930324e-14j]
 [-2.45739368e-08+2.03143262e-14j -3.11447158e-06+1.39339267e-03j]]"
-716.7319239689857j,"[[ 3.13935344e-06+1.39512804e-03j -7.83292571e-09+4.52019357e-14j]
 [-2.46424263e-08+4.84028874e-15j -3.13873160e-06+1.39512805e-03j]]"
-715.8343260679601j,"[[ 3.13962738e-06+1.39687463e-03j -7.83119700e-09+8.01842652e-14j]
 [-2.46828797e-08+3.98720058e-14j -3.13900057e-06+1.39687464e-03j]]"
-714.9367281669344j,"[[ 3.14588189e-06+1.39862251e-03j -7.85494776e-09-7.04775521e-16j]
 [-2.47489898e-08-4.09195819e-14j -3.14524261e-06+1.39862252e-03j]]"
-714.0391302659087j,"[[ 3.14282686e-06+1.40037402e-03j -7.89980877e-09+5.25901483e-14j]
 [-2.48363956e-08+1.24520977e-14j -3.14218420e-06+1.40037404e-03j]]"
-713.1415323648831j,"[[ 3.14395421e-06+1.40214468e-03j -7.90100115e-09+3.75914807e-14j]
 [-2.48802064e-08-2.49502664e-15j -3.14331354e-06+1.40214468e-03j]]"
-712.2439344638573j,"[[ 3.17063617e-06+1.40390908e-03j -7.91544187e-09+3.25996779e-14j]
 [-2.49374796e-08-7.77876215e-15j -3.16999612e-06+1.40390908e-03j]]"
-711.3463365628317j,"[[ 3.17168667e-06+1.40568311e-03j -7.94254245e-09+2.32796221e-14j]
 [-2.50075290e-08-1.75900056e-14j -3.17105085e-06+1.40568312e-03j]]"
-710.448738661806j,"[[ 3.17411304e-06+1.40745566e-03j -7.97563104e-09+5.10791100e-15j]
 [-2.50838146e-08-3.59417058e-14j -3.17347378e-06+1.40745568e-03j]]"
-709.5511407607804j,"[[ 3.17921230e-06+1.40923120e-03j -8.00362561e-09+4.35065661e-14j]
 [-2.51551049e-08+2.88695624e-15j -3.17857245e-06+1.40923120e-03j]]"
-708.6535428597547j,"[[ 3.19413202e-06+1.41102097e-03j -8.00494574e-09+8.14483920e-14j]
 [-2.51999384e-08+4.13888164e-14j -3.19346583e-06+1.41102098e-03j]]"
-707.7559449587291j,"[[ 3.19905308e-06+1.41280683e-03j -8.02450573e-09+2.53454950e-14j]
 [-2.52631265e-08-1.48536636e-14j -3.19840255e-06+1.41280683e-03j]]"
-706.8583470577034j,"[[ 3.20936981e-06+1.41460469e-03j -8.06967648e-09+1.85978835e-14j]
 [-2.53521044e-08-2.24914880e-14j -3.20872780e-06+1.41460468e-03j]]"
-705.9607491566778j,"[[ 3.22674832e-06+1.41641691e-03j -8.09457863e-09+4.98904883e-14j]
 [-2.54209097e-08+7.97405617e-15j -3.22611000e-06+1.41641692e-03j]]"
-705.0631512556521j,"[[ 3.23539998e-06+1.41820118e-03j -8.12833620e-09+2.30588573e-14j]
 [-2.54988845e-08-1.86134317e-14j -3.23474329e-06+1.41820121e-03j]]"
-704.1655533546265j,"[[ 3.23541193e-06+1.42001322e-03j -8.16522882e-09+2.04850466e-14j]
 [-2.55800512e-08-2.01985435e-14j -3.23474327e-06+1.42001325e-03j]]"
-703.2679554536008j,"[[ 3.24033029e-06+1.42182127e-03j -8.19454838e-09+8.47465645e-15j]
 [-2.56538601e-08-3.17443004e-14j -3.23965771e-06+1.42182128e-03j]]"
-702.3703575525751j,"[[ 3.25096110e-06+1.42363947e-03j -8.21968190e-09+3.45773590e-14j]
 [-2.57236806e-08-6.04372357e-15j -3.25029429e-06+1.42363948e-03j]]"
-701.4727596515495j,"[[ 3.25062054e-06+1.42546325e-03j -8.24329093e-09-3.06791987e-15j]
 [-2.57920547e-08-4.43197145e-14j -3.24994853e-06+1.42546326e-03j]]"
-700.5751617505239j,"[[ 3.26340843e-06+1.42728238e-03j -8.27215073e-09-2.05518760e-14j]
 [-2.58659414e-08-6.21152234e-14j -3.26274864e-06+1.42728239e-03j]]"
-699.6775638494983j,"[[ 3.28248244e-06+1.42912350e-03j -8.31948380e-09-3.08060890e-14j]
 [-2.59583736e-08-7.26111352e-14j -3.28183357e-06+1.42912352e-03j]]"
-698.7799659484725j,"[[ 3.28263018e-06+1.43095103e-03j -8.36174265e-09+2.18429423e-14j]
 [-2.60460893e-08-2.02132789e-14j -3.28198286e-06+1.43095105e-03j]]"
-697.8823680474469j,"[[ 3.30087518e-06+1.43279341e-03j -8.37350368e-09+2.00794551e-14j]
 [-2.61033240e-08-2.16084095e-14j -3.30023222e-06+1.43279345e-03j]]"
-696.9847701464213j,"[[ 3.29707014e-06+1.43464352e-03j -8.39227644e-09+6.06319080e-14j]
 [-2.61677753e-08+1.95654039e-14j -3.29640560e-06+1.43464355e-03j]]"
-696.0871722453957j,"[[ 3.30249555e-06+1.43648604e-03j -8.41626897e-09+4.49351662e-14j]
 [-2.62376848e-08+3.95074437e-15j -3.30183063e-06+1.43648606e-03j]]"
-695.1895743443699j,"[[ 3.31641843e-06+1.43834916e-03j -8.43556710e-09+3.65165123e-14j]
 [-2.63029534e-08-5.47156023e-15j -3.31576603e-06+1.43834915e-03j]]"
-694.2919764433443j,"[[ 3.32828483e-06+1.44020423e-03j -8.44321401e-09+7.07801931e-14j]
 [-2.63568621e-08+2.78296454e-14j -3.32764653e-06+1.44020424e-03j]]"
-693.3943785423187j,"[[ 3.34291463e-06+1.44206596e-03j -8.47507143e-09+9.25602044e-15j]
 [-2.64351435e-08-3.33631442e-14j -3.34226524e-06+1.44206598e-03j]]"
-692.496780641293j,"[[ 3.34224000e-06+1.44393485e-03j -8.50920769e-09+3.66963559e-14j]
 [-2.65158491e-08-4.88185557e-15j -3.34158418e-06+1.44393488e-03j]]"
-691.5991827402673j,"[[ 3.34967824e-06+1.44581144e-03j -8.54340566e-09+4.25897350e-14j]
 [-2.65968449e-08+1.34940501e-15j -3.34901391e-06+1.44581146e-03j]]"
-690.7015848392417j,"[[ 3.38161655e-06+1.44768314e-03j -8.56206679e-09+4.58880773e-14j]
 [-2.66624714e-08+4.05621208e-15j -3.38097524e-06+1.44768316e-03j]]"
-689.8039869382161j,"[[ 3.36001114e-06+1.44957825e-03j -8.58248797e-09+4.38678529e-14j]
 [-2.67299421e-08+1.25826764e-15j -3.35936807e-06+1.44957826e-03j]]"
-688.9063890371903j,"[[ 3.37547879e-06+1.45146183e-03j -8.63814057e-09+7.98183833e-14j]
 [-2.68330238e-08+3.72160689e-14j -3.37482582e-06+1.45146183e-03j]]"
-688.0087911361646j,"[[ 3.38783667e-06+1.45335184e-03j -8.64550781e-09+4.17381501e-14j]
 [-2.68878462e-08-3.46319939e-16j -3.38717219e-06+1.45335184e-03j]]"
-687.111193235139j,"[[ 3.38653995e-06+1.45524614e-03j -8.68855820e-09+1.79664119e-14j]
 [-2.69786309e-08-2.42220679e-14j -3.38587214e-06+1.45524613e-03j]]"
-686.2135953341134j,"[[ 3.41278319e-06+1.45716149e-03j -8.73853019e-09+3.09474894e-14j]
 [-2.70763658e-08-1.18151278e-14j -3.41212806e-06+1.45716148e-03j]]"
-685.3159974330877j,"[[ 3.41974926e-06+1.45906739e-03j -8.79153559e-09+7.62418405e-14j]
 [-2.71774991e-08+3.34573255e-14j -3.41908719e-06+1.45906738e-03j]]"
-684.418399532062j,"[[ 3.43253238e-06+1.46097987e-03j -8.78387821e-09+9.07601779e-14j]
 [-2.72180804e-08+4.84088128e-14j -3.43185524e-06+1.46097988e-03j]]"
-683.5208016310364j,"[[ 3.43565172e-06+1.46289379e-03j -8.78803172e-09+3.89267902e-14j]
 [-2.72707373e-08-3.48165337e-15j -3.43497522e-06+1.46289378e-03j]]"
-682.6232037300107j,"[[ 3.43283482e-06+1.46481754e-03j -8.84512914e-09+2.42791506e-14j]
 [-2.73764305e-08-1.87490632e-14j -3.43216486e-06+1.46481753e-03j]]"
-681.7256058289851j,"[[ 3.44502690e-06+1.46675162e-03j -8.86429311e-09+5.61112635e-14j]
 [-2.74444072e-08+1.27255755e-14j -3.44435015e-06+1.46675162e-03j]]"
-680.8280079279594j,"[[ 3.45728868e-06+1.46867920e-03j -8.87681176e-09+5.03382873e-14j]
 [-2.75060092e-08+7.38453183e-15j -3.45660163e-06+1.46867919e-03j]]"
-679.9304100269338j,"[[ 3.47073776e-06+1.47063326e-03j -8.88165200e-09+8.19681684e-15j]
 [-2.75599571e-08-3.41832732e-14j -3.47004586e-06+1.47063325e-03j]]"
-679.0328121259081j,"[[ 3.48275589e-06+1.47256893e-03j -8.89434016e-09+4.94774691e-14j]
 [-2.76221255e-08+6.98216970e-15j -3.48205021e-06+1.47256891e-03j]]"
-678.1352142248825j,"[[ 3.48497619e-06+1.47450874e-03j -8.88924346e-09+3.37230080e-14j]
 [-2.76666350e-08-9.52771670e-15j -3.48428092e-06+1.47450870e-03j]]"
-677.2376163238569j,"[[ 3.50653369e-06+1.47647599e-03j -8.90446242e-09-8.82948211e-15j]
 [-2.77316574e-08-5.24559827e-14j -3.50583865e-06+1.47647596e-03j]]"
-676.3400184228312j,"[[ 3.51040366e-06+1.47843659e-03j -8.95022919e-09+2.89158056e-14j]
 [-2.78273536e-08-1.46324072e-14j -3.50968291e-06+1.47843657e-03j]]"
-675.4424205218055j,"[[ 3.53975222e-06+1.48038616e-03j -8.92705524e-09+1.14639388e-13j]
 [-2.78544697e-08+7.11098847e-14j -3.53903033e-06+1.48038614e-03j]]"
-674.5448226207799j,"[[ 3.52525776e-06+1.48234891e-03j -8.91709065e-09+8.88605066e-14j]
 [-2.78949447e-08+4.50665872e-14j -3.52455213e-06+1.48234891e-03j]]"
-673.6472247197543j,"[[ 3.53791522e-06+1.48434406e-03j -8.94087692e-09+6.28022559e-14j]
 [-2.79692497e-08+1.91046708e-14j -3.53720003e-06+1.48434407e-03j]]"
-672.7496268187285j,"[[ 3.54467211e-06+1.48631143e-03j -8.95564935e-09+1.66408642e-14j]
 [-2.80348991e-08-2.67682141e-14j -3.54393632e-06+1.48631143e-03j]]"
-671.8520289177029j,"[[ 3.55818068e-06+1.48830193e-03j -9.00622374e-09+3.95176075e-14j]
 [-2.81364700e-08-3.91148335e-15j -3.55743862e-06+1.48830192e-03j]]"
-670.9544310166773j,"[[ 3.56083254e-06+1.49029247e-03j -9.04359379e-09+6.42865923e-14j]
 [-2.82251024e-08+2.03633272e-14j -3.56009393e-06+1.49029246e-03j]]"
-670.0568331156517j,"[[ 3.58304859e-06+1.49229148e-03j -9.08863655e-09+2.14627077e-14j]
 [-2.83214975e-08-2.31022874e-14j -3.58231002e-06+1.49229150e-03j]]"
-669.1592352146259j,"[[ 3.58714620e-06+1.49428122e-03j -9.13427742e-09+1.86801350e-14j]
 [-2.84188047e-08-2.60363075e-14j -3.58640593e-06+1.49428125e-03j]]"
-668.2616373136003j,"[[ 3.59173262e-06+1.49629438e-03j -9.19648317e-09-1.08939642e-14j]
 [-2.85328306e-08-5.49769094e-14j -3.59098908e-06+1.49629439e-03j]]"
-667.3640394125747j,"[[ 3.60759728e-06+1.49830526e-03j -9.27898190e-09-7.81787142e-15j]
 [-2.86674138e-08-5.15555644e-14j -3.60683832e-06+1.49830529e-03j]]"
-666.4664415115491j,"[[ 3.61879960e-06+1.50031902e-03j -9.32413780e-09+2.13919699e-14j]
 [-2.87648721e-08-2.27822856e-14j -3.61804765e-06+1.50031905e-03j]]"
-665.5688436105232j,"[[ 3.61893026e-06+1.50234203e-03j -9.41843613e-09+2.51087161e-14j]
 [-2.89115921e-08-1.98333203e-14j -3.61819408e-06+1.50234207e-03j]]"
-664.6712457094976j,"[[ 3.63535407e-06+1.50437641e-03j -9.44897482e-09+9.40513197e-14j]
 [-2.89948357e-08+4.88247567e-14j -3.63460521e-06+1.50437643e-03j]]"
-663.773647808472j,"[[ 3.64198342e-06+1.50639186e-03j -9.49798187e-09+6.61747934e-14j]
 [-2.90967493e-08+2.13308122e-14j -3.64123490e-06+1.50639187e-03j]]"
-662.8760499074463j,"[[ 3.64997011e-06+1.50844076e-03j -9.58092956e-09+5.44175348e-14j]
 [-2.92328155e-08+9.86116213e-15j -3.64923527e-06+1.50844076e-03j]]"
-661.9784520064206j,"[[ 3.67438373e-06+1.51047678e-03j -9.62577139e-09+7.67467231e-14j]
 [-2.93310532e-08+3.21476608e-14j -3.67365576e-06+1.51047679e-03j]]"
-661.080854105395j,"[[ 3.68792519e-06+1.51254813e-03j -9.69299008e-09+3.96076439e-14j]
 [-2.94517003e-08-5.19059511e-15j -3.68720795e-06+1.51254818e-03j]]"
-660.1832562043694j,"[[ 3.67876713e-06+1.51460320e-03j -9.75258291e-09+7.33049528e-14j]
 [-2.95650236e-08+2.83786287e-14j -3.67803327e-06+1.51460325e-03j]]"
-659.2856583033437j,"[[ 3.69743776e-06+1.51665017e-03j -9.81558159e-09+5.36873844e-14j]
 [-2.96821034e-08+8.47235963e-15j -3.69669885e-06+1.51665020e-03j]]"
-658.388060402318j,"[[ 3.70008992e-06+1.51871902e-03j -9.88801617e-09+4.14302425e-14j]
 [-2.98087425e-08-3.95557127e-15j -3.69937432e-06+1.51871906e-03j]]"
-657.4904625012924j,"[[ 3.71008640e-06+1.52080291e-03j -9.96715050e-09+2.11526905e-14j]
 [-2.99422637e-08-2.43798486e-14j -3.70936646e-06+1.52080295e-03j]]"
-656.5928646002668j,"[[ 3.71689674e-06+1.52287256e-03j -1.00267642e-08+5.15457831e-14j]
 [-3.00565690e-08+6.35696194e-15j -3.71617142e-06+1.52287259e-03j]]"
