iw_n,G_iw_n
-942.3207164442586j,"[[ 2.36293949e-06+1.06119454e-03j  5.17719229e-07+7.08073713e-17j]
 [ 5.18003762e-07+7.08365411e-17j -2.36293923e-06+1.06119454e-03j]]"
-942.0065571788995j,"[[ 2.36454934e-06+1.06154846e-03j  5.18067085e-07-2.91131402e-14j]
 [ 5.18351808e-07-2.91130948e-14j -2.36454906e-06+1.06154846e-03j]]"
-941.6923979135405j,"[[ 2.36615190e-06+1.06190260e-03j  5.18406632e-07-4.42700372e-14j]
 [ 5.18691546e-07-4.42699945e-14j -2.36615159e-06+1.06190260e-03j]]"
-941.3782386481814j,"[[ 2.36774746e-06+1.06225700e-03j  5.18729706e-07-3.12739286e-14j]
 [ 5.19014809e-07-3.12739229e-14j -2.36774713e-06+1.06225700e-03j]]"
-941.0640793828225j,"[[ 2.36932601e-06+1.06261163e-03j  5.19042199e-07-1.00954657e-14j]
 [ 5.19327493e-07-1.00955306e-14j -2.36932558e-06+1.06261163e-03j]]"
-940.7499201174636j,"[[ 2.37093414e-06+1.06296649e-03j  5.19367169e-07+3.09552732e-14j]
 [ 5.19652654e-07+3.09551760e-14j -2.37093368e-06+1.06296649e-03j]]"
-940.4357608521046j,"[[ 2.37256299e-06+1.06332156e-03j  5.19700253e-07+5.47294943e-14j]
 [ 5.19985928e-07+5.47293794e-14j -2.37256263e-06+1.06332156e-03j]]"
-940.1216015867456j,"[[ 2.37418266e-06+1.06367685e-03j  5.20051666e-07+4.69209350e-14j]
 [ 5.20337533e-07+4.69207919e-14j -2.37418234e-06+1.06367685e-03j]]"
-939.8074423213866j,"[[ 2.37580078e-06+1.06403240e-03j  5.20419028e-07+3.36934222e-14j]
 [ 5.20705085e-07+3.36932649e-14j -2.37580051e-06+1.06403240e-03j]]"
-939.4932830560276j,"[[ 2.37739514e-06+1.06438821e-03j  5.20789333e-07+2.55125640e-14j]
 [ 5.21075582e-07+2.55124193e-14j -2.37739493e-06+1.06438821e-03j]]"
-939.1791237906685j,"[[ 2.37896022e-06+1.06474425e-03j  5.21127528e-07+2.62647115e-14j]
 [ 5.21413969e-07+2.62645632e-14j -2.37896009e-06+1.06474425e-03j]]"
-938.8649645253097j,"[[ 2.38056244e-06+1.06510053e-03j  5.21459894e-07+2.41662533e-14j]
 [ 5.21746526e-07+2.41660885e-14j -2.38056231e-06+1.06510053e-03j]]"
-938.5508052599507j,"[[ 2.38213046e-06+1.06545705e-03j  5.21801748e-07+2.78797332e-14j]
 [ 5.22088572e-07+2.78795700e-14j -2.38213033e-06+1.06545705e-03j]]"
-938.2366459945918j,"[[ 2.38371828e-06+1.06581378e-03j  5.22148551e-07+3.62807607e-14j]
 [ 5.22435567e-07+3.62806296e-14j -2.38371817e-06+1.06581378e-03j]]"
-937.9224867292327j,"[[ 2.38530802e-06+1.06617078e-03j  5.22493327e-07+5.30963007e-14j]
 [ 5.22780536e-07+5.30962167e-14j -2.38530791e-06+1.06617078e-03j]]"
-937.6083274638737j,"[[ 2.38688778e-06+1.06652800e-03j  5.22827568e-07+6.32126661e-14j]
 [ 5.23114969e-07+6.32126164e-14j -2.38688777e-06+1.06652800e-03j]]"
-937.2941681985149j,"[[ 2.38849591e-06+1.06688547e-03j  5.23174138e-07+8.58824048e-14j]
 [ 5.23461731e-07+8.58823955e-14j -2.38849606e-06+1.06688547e-03j]]"
-936.9800089331559j,"[[ 2.39016509e-06+1.06724317e-03j  5.23548159e-07+9.19063746e-14j]
 [ 5.23835946e-07+9.19064009e-14j -2.39016542e-06+1.06724317e-03j]]"
-936.6658496677968j,"[[ 2.39181264e-06+1.06760111e-03j  5.23909305e-07+4.37436008e-14j]
 [ 5.24197285e-07+4.37436745e-14j -2.39181313e-06+1.06760111e-03j]]"
-936.3516904024378j,"[[ 2.39345981e-06+1.06795932e-03j  5.24246005e-07-6.99686597e-15j]
 [ 5.24534178e-07-6.99675590e-15j -2.39346037e-06+1.06795932e-03j]]"
-936.0375311370788j,"[[ 2.39508246e-06+1.06831776e-03j  5.24573172e-07-4.79341935e-14j]
 [ 5.24861539e-07-4.79340614e-14j -2.39508304e-06+1.06831776e-03j]]"
-935.7233718717198j,"[[ 2.39669874e-06+1.06867640e-03j  5.24901524e-07-1.03748856e-13j]
 [ 5.25190084e-07-1.03748744e-13j -2.39669923e-06+1.06867640e-03j]]"
-935.4092126063609j,"[[ 2.39830621e-06+1.06903527e-03j  5.25227891e-07-1.28096027e-13j]
 [ 5.25516644e-07-1.28095942e-13j -2.39830661e-06+1.06903527e-03j]]"
-935.095053341002j,"[[ 2.39993062e-06+1.06939442e-03j  5.25561998e-07-1.00103059e-13j]
 [ 5.25850946e-07-1.00103010e-13j -2.39993092e-06+1.06939442e-03j]]"
-934.7808940756429j,"[[ 2.40156704e-06+1.06975383e-03j  5.25918279e-07-5.63876149e-14j]
 [ 5.26207421e-07-5.63875908e-14j -2.40156731e-06+1.06975383e-03j]]"
-934.4667348102839j,"[[ 2.40315510e-06+1.07011348e-03j  5.26275490e-07-5.31292089e-14j]
 [ 5.26564826e-07-5.31291735e-14j -2.40315543e-06+1.07011348e-03j]]"
-934.152575544925j,"[[ 2.40473472e-06+1.07047336e-03j  5.26627878e-07-5.35438138e-14j]
 [ 5.26917409e-07-5.35437232e-14j -2.40473512e-06+1.07047336e-03j]]"
-933.8384162795661j,"[[ 2.40631986e-06+1.07083347e-03j  5.26985535e-07-2.85693366e-14j]
 [ 5.27275260e-07-2.85691910e-14j -2.40632026e-06+1.07083347e-03j]]"
-933.524257014207j,"[[ 2.40793918e-06+1.07119382e-03j  5.27353111e-07-8.37894442e-15j]
 [ 5.27643032e-07-8.37878577e-15j -2.40793953e-06+1.07119382e-03j]]"
-933.210097748848j,"[[ 2.40961729e-06+1.07155438e-03j  5.27736807e-07+1.46218799e-15j]
 [ 5.28026923e-07+1.46236384e-15j -2.40961762e-06+1.07155438e-03j]]"
-932.8959384834891j,"[[ 2.41131325e-06+1.07191520e-03j  5.28097193e-07-8.55688723e-16j]
 [ 5.28387504e-07-8.55529317e-16j -2.41131354e-06+1.07191520e-03j]]"
-932.58177921813j,"[[ 2.41298976e-06+1.07227627e-03j  5.28455218e-07+1.32568681e-14j]
 [ 5.28745725e-07+1.32570214e-14j -2.41299001e-06+1.07227627e-03j]]"
-932.267619952771j,"[[ 2.41461094e-06+1.07263758e-03j  5.28826428e-07+1.72084595e-14j]
 [ 5.29117131e-07+1.72086453e-14j -2.41461124e-06+1.07263758e-03j]]"
-931.9534606874122j,"[[ 2.41621567e-06+1.07299913e-03j  5.29178299e-07-2.08445511e-14j]
 [ 5.29469198e-07-2.08443183e-14j -2.41621606e-06+1.07299913e-03j]]"
-931.6393014220532j,"[[ 2.41780733e-06+1.07336092e-03j  5.29536215e-07-3.99872085e-14j]
 [ 5.29827310e-07-3.99869521e-14j -2.41780770e-06+1.07336092e-03j]]"
-931.3251421566941j,"[[ 2.41939111e-06+1.07372294e-03j  5.29893859e-07-2.55999761e-14j]
 [ 5.30185151e-07-2.55997312e-14j -2.41939142e-06+1.07372294e-03j]]"
-931.0109828913352j,"[[ 2.42100691e-06+1.07408521e-03j  5.30232147e-07-2.87235959e-14j]
 [ 5.30523635e-07-2.87233147e-14j -2.42100720e-06+1.07408521e-03j]]"
-930.6968236259761j,"[[ 2.42261816e-06+1.07444776e-03j  5.30568833e-07-3.92835368e-14j]
 [ 5.30860518e-07-3.92832385e-14j -2.42261850e-06+1.07444776e-03j]]"
-930.3826643606174j,"[[ 2.42420687e-06+1.07481056e-03j  5.30921051e-07-4.38648320e-14j]
 [ 5.31212933e-07-4.38645846e-14j -2.42420721e-06+1.07481056e-03j]]"
-930.0685050952583j,"[[ 2.42578753e-06+1.07517362e-03j  5.31297195e-07-3.54594081e-14j]
 [ 5.31589275e-07-3.54592364e-14j -2.42578782e-06+1.07517362e-03j]]"
-929.7543458298993j,"[[ 2.42740156e-06+1.07553695e-03j  5.31664441e-07-2.23583174e-14j]
 [ 5.31956718e-07-2.23581814e-14j -2.42740183e-06+1.07553695e-03j]]"
-929.4401865645402j,"[[ 2.42903631e-06+1.07590049e-03j  5.32034945e-07-7.84797185e-15j]
 [ 5.32327420e-07-7.84786693e-15j -2.42903651e-06+1.07590049e-03j]]"
-929.1260272991813j,"[[ 2.43068113e-06+1.07626427e-03j  5.32413552e-07+9.00135319e-15j]
 [ 5.32706224e-07+9.00144491e-15j -2.43068126e-06+1.07626427e-03j]]"
-928.8118680338223j,"[[ 2.43232220e-06+1.07662829e-03j  5.32802160e-07+1.11774671e-14j]
 [ 5.33095030e-07+1.11775816e-14j -2.43232234e-06+1.07662829e-03j]]"
-928.4977087684634j,"[[ 2.43397541e-06+1.07699257e-03j  5.33162794e-07+1.95561526e-14j]
 [ 5.33455862e-07+1.95562605e-14j -2.43397550e-06+1.07699257e-03j]]"
-928.1835495031044j,"[[ 2.43566577e-06+1.07735708e-03j  5.33506584e-07+3.15926550e-14j]
 [ 5.33799851e-07+3.15927047e-14j -2.43566583e-06+1.07735708e-03j]]"
-927.8693902377454j,"[[ 2.43736215e-06+1.07772183e-03j  5.33877678e-07+1.87379569e-14j]
 [ 5.34171144e-07+1.87379536e-14j -2.43736220e-06+1.07772183e-03j]]"
-927.5552309723864j,"[[ 2.43903749e-06+1.07808684e-03j  5.34238652e-07+1.03159793e-14j]
 [ 5.34532317e-07+1.03159303e-14j -2.43903754e-06+1.07808684e-03j]]"
