iw_n,G_iw_n
-966.1605714655379j,"[[ 2.58313004e-06+1.03500935e-03j  3.52149344e-08+8.68385855e-16j]
 [ 3.52582246e-08+8.68389469e-16j -2.58313001e-06+1.03500935e-03j]]"
-965.1939275721257j,"[[ 2.58853167e-06+1.03604573e-03j  3.52707108e-08+1.51970996e-15j]
 [ 3.53140878e-08+1.51972296e-15j -2.58853169e-06+1.03604573e-03j]]"
-964.2272836787134j,"[[ 2.59351228e-06+1.03708480e-03j  3.53391846e-08+2.94939839e-15j]
 [ 3.53826487e-08+2.94939686e-15j -2.59351213e-06+1.03708480e-03j]]"
-963.2606397853012j,"[[ 2.59913826e-06+1.03812561e-03j  3.53960322e-08+1.93117080e-15j]
 [ 3.54395835e-08+1.93117563e-15j -2.59913818e-06+1.03812561e-03j]]"
-962.2939958918889j,"[[ 2.60411899e-06+1.03916793e-03j  3.54645981e-08+1.47478680e-15j]
 [ 3.55082370e-08+1.47479960e-15j -2.60411898e-06+1.03916793e-03j]]"
-961.3273519984766j,"[[ 2.60938210e-06+1.04021250e-03j  3.55462505e-08-7.84920007e-16j]
 [ 3.55899772e-08-7.84908051e-16j -2.60938185e-06+1.04021250e-03j]]"
-960.3607081050644j,"[[ 2.61468978e-06+1.04125983e-03j  3.56129218e-08-1.75762687e-15j]
 [ 3.56567365e-08-1.75762299e-15j -2.61468955e-06+1.04125983e-03j]]"
-959.3940642116522j,"[[ 2.61977765e-06+1.04230914e-03j  3.56826530e-08-4.75609352e-16j]
 [ 3.57265561e-08-4.75606368e-16j -2.61977744e-06+1.04230914e-03j]]"
-958.42742031824j,"[[ 2.62545347e-06+1.04336017e-03j  3.57664391e-08-6.56928876e-17j]
 [ 3.58104308e-08-6.56823033e-17j -2.62545348e-06+1.04336017e-03j]]"
-957.4607764248277j,"[[ 2.63074650e-06+1.04441371e-03j  3.58442695e-08+1.10821884e-15j]
 [ 3.58883500e-08+1.10822309e-15j -2.63074666e-06+1.04441371e-03j]]"
-956.4941325314155j,"[[ 2.63618521e-06+1.04546952e-03j  3.59062537e-08-2.07458739e-15j]
 [ 3.59504233e-08-2.07458265e-15j -2.63618552e-06+1.04546952e-03j]]"
-955.5274886380032j,"[[ 2.64159017e-06+1.04652702e-03j  3.59866333e-08+2.68599986e-15j]
 [ 3.60308923e-08+2.68599782e-15j -2.64159015e-06+1.04652702e-03j]]"
-954.560844744591j,"[[ 2.64672961e-06+1.04758665e-03j  3.60579377e-08-1.50388934e-15j]
 [ 3.61022865e-08-1.50389907e-15j -2.64672966e-06+1.04758665e-03j]]"
-953.5942008511787j,"[[ 2.65202523e-06+1.04864827e-03j  3.61088389e-08+2.28365497e-15j]
 [ 3.61532777e-08+2.28365033e-15j -2.65202551e-06+1.04864827e-03j]]"
-952.6275569577665j,"[[ 2.65753897e-06+1.04971224e-03j  3.61949665e-08-2.74591359e-15j]
 [ 3.62394954e-08-2.74592058e-15j -2.65753917e-06+1.04971224e-03j]]"
-951.6609130643543j,"[[ 2.66340849e-06+1.05077847e-03j  3.62804193e-08+1.56428270e-15j]
 [ 3.63250388e-08+1.56427627e-15j -2.66340839e-06+1.05077847e-03j]]"
-950.694269170942j,"[[ 2.66859406e-06+1.05184652e-03j  3.63740269e-08+1.80284414e-15j]
 [ 3.64187371e-08+1.80283201e-15j -2.66859427e-06+1.05184652e-03j]]"
-949.7276252775298j,"[[ 2.67378866e-06+1.05291761e-03j  3.64570774e-08+3.57344853e-15j]
 [ 3.65018787e-08+3.57343059e-15j -2.67378923e-06+1.05291761e-03j]]"
-948.7609813841175j,"[[ 2.67901849e-06+1.05399063e-03j  3.65301789e-08+3.52203462e-16j]
 [ 3.65750715e-08+3.52196813e-16j -2.67901882e-06+1.05399063e-03j]]"
-947.7943374907053j,"[[ 2.68525108e-06+1.05506586e-03j  3.65839789e-08-2.25148122e-15j]
 [ 3.66289631e-08-2.25150287e-15j -2.68525162e-06+1.05506586e-03j]]"
-946.827693597293j,"[[ 2.69116077e-06+1.05614265e-03j  3.66525200e-08-4.09578560e-15j]
 [ 3.66975961e-08-4.09579259e-15j -2.69116127e-06+1.05614265e-03j]]"
-945.8610497038808j,"[[ 2.69670043e-06+1.05722198e-03j  3.67410126e-08-4.09315812e-15j]
 [ 3.67861809e-08-4.09316638e-15j -2.69670062e-06+1.05722198e-03j]]"
-944.8944058104686j,"[[ 2.70253814e-06+1.05830266e-03j  3.68061289e-08-3.47590467e-15j]
 [ 3.68513897e-08-3.47591099e-15j -2.70253801e-06+1.05830266e-03j]]"
