iw_n,G_iw_n
-502.34066530900793j,"[[ 1.74572174e-05+1.99044674e-03j  6.80478523e-06-4.49321910e-10j]
 [ 6.70348924e-06-4.42605022e-10j -1.73247162e-05+1.99044907e-03j]]"
-501.71234677829j,"[[ 1.75016142e-05+1.99293865e-03j  6.82181585e-06-4.54343563e-10j]
 [ 6.72026597e-06-4.47601550e-10j -1.73687820e-05+1.99294100e-03j]]"
-501.08402824757206j,"[[ 1.75460860e-05+1.99543671e-03j  6.83898072e-06-4.55785606e-10j]
 [ 6.73717600e-06-4.49018396e-10j -1.74129157e-05+1.99543906e-03j]]"
-500.455709716854j,"[[ 1.75904031e-05+1.99794124e-03j  6.85604772e-06-4.49012577e-10j]
 [ 6.75398721e-06-4.42219747e-10j -1.74568907e-05+1.99794359e-03j]]"
-499.8273911861361j,"[[ 1.76346418e-05+2.00045221e-03j  6.87295261e-06-4.49161071e-10j]
 [ 6.77063532e-06-4.42342547e-10j -1.75008032e-05+2.00045456e-03j]]"
-499.19907265541815j,"[[ 1.76791107e-05+2.00296946e-03j  6.89003944e-06-4.58779384e-10j]
 [ 6.78746439e-06-4.51934992e-10j -1.75449337e-05+2.00297182e-03j]]"
-498.5707541247001j,"[[ 1.77238877e-05+2.00549304e-03j  6.90752857e-06-4.68524907e-10j]
 [ 6.80469480e-06-4.61654829e-10j -1.75893678e-05+2.00549540e-03j]]"
-497.94243559398217j,"[[ 1.77687441e-05+2.00802285e-03j  6.92535972e-06-4.74764192e-10j]
 [ 6.82226628e-06-4.67868609e-10j -1.76338793e-05+2.00802523e-03j]]"
-497.31411706326423j,"[[ 1.78135580e-05+2.01055929e-03j  6.94329332e-06-4.75296873e-10j]
 [ 6.83993923e-06-4.68375074e-10j -1.76783393e-05+2.01056167e-03j]]"
-496.6857985325463j,"[[ 1.78582774e-05+2.01310236e-03j  6.96116213e-06-4.72573364e-10j]
 [ 6.85754639e-06-4.65625056e-10j -1.77227225e-05+2.01310473e-03j]]"
-496.0574800018283j,"[[ 1.79032675e-05+2.01565181e-03j  6.97899569e-06-4.72378932e-10j]
 [ 6.87511728e-06-4.65404396e-10j -1.77673764e-05+2.01565420e-03j]]"
-495.4291614711104j,"[[ 1.79485715e-05+2.01820751e-03j  6.99683042e-06-4.71660428e-10j]
 [ 6.89268838e-06-4.64659803e-10j -1.78123453e-05+2.01820991e-03j]]"
-494.80084294039244j,"[[ 1.79940053e-05+2.02076942e-03j  7.01463603e-06-4.73405742e-10j]
 [ 6.91022938e-06-4.66379116e-10j -1.78574363e-05+2.02077183e-03j]]"
-494.1725244096745j,"[[ 1.80394513e-05+2.02333791e-03j  7.03253505e-06-4.75035922e-10j]
 [ 6.92786278e-06-4.67982504e-10j -1.79025263e-05+2.02334032e-03j]]"
-493.54420587895646j,"[[ 1.80851670e-05+2.02591330e-03j  7.05048104e-06-4.74173798e-10j]
 [ 6.94554213e-06-4.67092562e-10j -1.79478797e-05+2.02591573e-03j]]"
-492.9158873482385j,"[[ 1.81314920e-05+2.02849554e-03j  7.06838050e-06-4.74633207e-10j]
 [ 6.96317388e-06-4.67523891e-10j -1.79938468e-05+2.02849800e-03j]]"
-492.2875688175206j,"[[ 1.81783098e-05+2.03108436e-03j  7.08630081e-06-4.77116507e-10j]
 [ 6.98082543e-06-4.69979278e-10j -1.80403133e-05+2.03108683e-03j]]"
-491.6592502868026j,"[[ 1.82250384e-05+2.03367938e-03j  7.10430911e-06-4.78565381e-10j]
 [ 6.99856395e-06-4.71400933e-10j -1.80867167e-05+2.03368184e-03j]]"
-491.03093175608467j,"[[ 1.82717325e-05+2.03628062e-03j  7.12240617e-06-4.80479665e-10j]
 [ 7.01639021e-06-4.73288582e-10j -1.81330665e-05+2.03628310e-03j]]"
-490.40261322536674j,"[[ 1.83184021e-05+2.03888874e-03j  7.14054448e-06-4.81078834e-10j]
 [ 7.03425669e-06-4.73860205e-10j -1.81793733e-05+2.03889121e-03j]]"
-489.7742946946488j,"[[ 1.83650311e-05+2.04150370e-03j  7.15864288e-06-4.80141702e-10j]
 [ 7.05208220e-06-4.72894917e-10j -1.82256435e-05+2.04150616e-03j]]"
-489.14597616393075j,"[[ 1.84119181e-05+2.04412534e-03j  7.17675582e-06-4.82351280e-10j]
 [ 7.06992120e-06-4.75076798e-10j -1.82721646e-05+2.04412782e-03j]]"
