iw_n,G_iw_n
-3452.610326295183j,"[[ 1.15095646e-10+2.89635727e-04j -8.35046629e-09+8.11752075e-17j]
 [-8.33981920e-09+8.11926414e-17j -1.15873217e-10+2.89635727e-04j]]"
-3446.327140988003j,"[[ 8.87433893e-11+2.90163745e-04j -8.38097668e-09-2.27937872e-17j]
 [-8.37029074e-09-2.27762578e-17j -8.94702042e-11+2.90163745e-04j]]"
-3440.0439556808233j,"[[ 8.66414838e-11+2.90693775e-04j -8.41307655e-09-1.35877728e-16j]
 [-8.40235154e-09-1.35860102e-16j -8.74310192e-11+2.90693775e-04j]]"
-3433.760770373644j,"[[ 6.19541765e-11+2.91225687e-04j -8.44292866e-09-1.37202040e-17j]
 [-8.43216436e-09-1.37024815e-17j -6.27871859e-11+2.91225687e-04j]]"
-3427.477585066464j,"[[ 8.50559240e-11+2.91759494e-04j -8.47552548e-09+5.13500880e-17j]
 [-8.46472168e-09+5.13679082e-17j -8.58385649e-11+2.91759494e-04j]]"
-3421.194399759285j,"[[ 1.24974760e-10+2.92295348e-04j -8.50689960e-09-3.18169370e-17j]
 [-8.49605608e-09-3.17990184e-17j -1.25756840e-10+2.92295348e-04j]]"
-3414.911214452105j,"[[ 1.05565149e-10+2.92833172e-04j -8.53803973e-09-1.75531017e-17j]
 [-8.52715627e-09-1.75350841e-17j -1.06376054e-10+2.92833172e-04j]]"
-3408.6280291449257j,"[[ 6.79168392e-11+2.93372949e-04j -8.56871027e-09-3.14130915e-19j]
 [-8.55778665e-09-2.96013444e-19j -6.87010277e-11+2.93372949e-04j]]"
-3402.344843837746j,"[[ 9.47792403e-11+2.93914796e-04j -8.59936942e-09-6.39739326e-17j]
 [-8.58840541e-09-6.39557146e-17j -9.55715266e-11+2.93914796e-04j]]"
-3396.0616585305665j,"[[ 1.14623752e-10+2.94458539e-04j -8.62403132e-09-2.44565102e-17j]
 [-8.61302671e-09-2.44381909e-17j -1.15452934e-10+2.94458539e-04j]]"
-3389.7784732233868j,"[[ 7.60581784e-11+2.95004361e-04j -8.65770673e-09+2.80171658e-17j]
 [-8.64666129e-09+2.80355872e-17j -7.68594393e-11+2.95004361e-04j]]"
-3383.495287916207j,"[[ 1.18140940e-10+2.95552186e-04j -8.68773751e-09-5.50498385e-17j]
 [-8.67665100e-09-5.50313143e-17j -1.18927925e-10+2.95552186e-04j]]"
-3377.2121026090276j,"[[ 7.69541648e-11+2.96102031e-04j -8.71997711e-09-6.27767289e-17j]
 [-8.70884931e-09-6.27581011e-17j -7.77875142e-11+2.96102031e-04j]]"
-3370.928917301848j,"[[ 1.02817055e-10+2.96653952e-04j -8.75475829e-09+1.76764614e-17j]
 [-8.74358897e-09+1.76951935e-17j -1.03657305e-10+2.96653952e-04j]]"
-3364.6457319946685j,"[[ 7.85198594e-11+2.97207877e-04j -8.79321797e-09+2.96080694e-17j]
 [-8.78200690e-09+2.96269067e-17j -7.93293927e-11+2.97207877e-04j]]"
-3358.3625466874887j,"[[ 9.48619548e-11+2.97763930e-04j -8.82961515e-09-2.37672454e-17j]
 [-8.81836208e-09-2.37483022e-17j -9.56743195e-11+2.97763930e-04j]]"
-3352.0793613803094j,"[[ 6.99870300e-11+2.98322105e-04j -8.86015818e-09-3.04801320e-17j]
 [-8.84886289e-09-3.04610821e-17j -7.08122816e-11+2.98322105e-04j]]"
-3345.7961760731296j,"[[ 1.26338498e-10+2.98882355e-04j -8.89324229e-09-2.62429759e-17j]
 [-8.88190454e-09-2.62238184e-17j -1.27161506e-10+2.98882355e-04j]]"
-3339.5129907659502j,"[[ 1.09562036e-10+2.99444661e-04j -8.92568646e-09-5.44926932e-17j]
 [-8.91430600e-09-5.44734274e-17j -1.10391012e-10+2.99444661e-04j]]"
-3333.2298054587704j,"[[ 7.74357240e-11+3.00009126e-04j -8.95627167e-09-4.59333170e-17j]
 [-8.94484828e-09-4.59139420e-17j -7.82874447e-11+3.00009126e-04j]]"
-3326.946620151591j,"[[ 1.37020417e-10+3.00575655e-04j -8.99257566e-09+2.52923430e-17j]
 [-8.98110908e-09+2.53118279e-17j -1.37879926e-10+3.00575655e-04j]]"
