iw_n,G_iw_n
-1381.0441305180732j,"[[-4.41219705e-10+7.24084203e-04j -1.16862978e-06-1.90184036e-12j]
 [-1.16424217e-06-1.89377125e-12j -4.09428171e-10+7.24084204e-04j]]"
-1378.5308563952012j,"[[-3.86678652e-10+7.25404409e-04j -1.17282426e-06-1.67287796e-12j]
 [-1.16842064e-06-1.66476464e-12j -4.66813731e-10+7.25404408e-04j]]"
-1376.0175822723293j,"[[-1.77388227e-10+7.26729038e-04j -1.17701248e-06-1.88310593e-12j]
 [-1.17259276e-06-1.87494806e-12j -6.78170137e-10+7.26729038e-04j]]"
-1373.5043081494575j,"[[-2.68336072e-10+7.28058790e-04j -1.18126965e-06-2.16087833e-12j]
 [-1.17683375e-06-2.15267559e-12j -5.92068014e-10+7.28058789e-04j]]"
-1370.9910340265856j,"[[-2.65800225e-10+7.29393631e-04j -1.18554710e-06-1.45344620e-12j]
 [-1.18109491e-06-1.44519828e-12j -5.96697090e-10+7.29393632e-04j]]"
-1368.4777599037138j,"[[-5.15650537e-10+7.30733165e-04j -1.18968338e-06-2.03507385e-12j]
 [-1.18521482e-06-2.02678040e-12j -3.50595476e-10+7.30733165e-04j]]"
-1365.964485780842j,"[[-6.71922804e-10+7.32077733e-04j -1.19398214e-06-1.94800548e-12j]
 [-1.18949713e-06-1.93966618e-12j -1.97073276e-10+7.32077733e-04j]]"
-1363.4512116579704j,"[[-5.43049214e-10+7.33427227e-04j -1.19839762e-06-2.48471119e-12j]
 [-1.19389605e-06-2.47632569e-12j -3.29824752e-10+7.33427226e-04j]]"
-1360.9379375350984j,"[[-4.01475612e-10+7.34781706e-04j -1.20291236e-06-2.14980593e-12j]
 [-1.19839415e-06-2.14137388e-12j -4.73801274e-10+7.34781706e-04j]]"
-1358.4246634122267j,"[[-4.10752904e-10+7.36140896e-04j -1.20744218e-06-2.57796117e-12j]
 [-1.20290724e-06-2.56948222e-12j -4.68723341e-10+7.36140896e-04j]]"
-1355.9113892893547j,"[[-4.12224430e-10+7.37505549e-04j -1.21192590e-06-1.95434008e-12j]
 [-1.20737413e-06-1.94581391e-12j -4.69898377e-10+7.37505549e-04j]]"
-1353.3981151664827j,"[[-5.24144830e-10+7.38875047e-04j -1.21622753e-06-1.73375102e-12j]
 [-1.21165884e-06-1.72517726e-12j -3.60929972e-10+7.38875047e-04j]]"
-1350.884841043611j,"[[-4.55633744e-10+7.40249334e-04j -1.22059542e-06-1.92899313e-12j]
 [-1.21600972e-06-1.92037141e-12j -4.32405551e-10+7.40249334e-04j]]"
