iw_n,G_iw_n
-1883.6989550924397j,"[[-5.04531283e-10+5.30868702e-04j -9.23133398e-11+2.82095167e-07j
  -1.25721489e-11+2.23756667e-10j -1.66420013e-07-5.87746789e-13j
   1.27909802e-11-7.36552856e-12j -1.36466061e-13+1.19941552e-11j]
 [ 8.03130166e-11-2.81495194e-07j -2.60580641e-11+5.30868251e-04j
   2.76700096e-11+2.82084070e-07j  1.27258317e-11+7.42345216e-12j
  -1.63515859e-07-2.36185723e-13j -6.13434057e-11+1.85244096e-11j]
 [-1.55447384e-12+1.66646575e-10j -4.56876307e-11-2.81549121e-07j
  -2.17489698e-09+5.30868703e-04j -1.26903673e-13-1.19819753e-11j
  -6.13176952e-11-1.85477365e-11j -1.64228969e-07+3.71046531e-14j]
 [-1.63742917e-07+3.99417011e-13j  7.74107260e-11-2.67928684e-12j
  -1.15287893e-11+6.03499925e-12j  2.78695582e-10+5.30868701e-04j
  -7.99869523e-11-2.81495073e-07j  1.51858714e-12+1.66669008e-10j]
 [ 7.74122054e-11+2.62505706e-12j -1.63263021e-07-3.29941569e-13j
   9.57371949e-12-2.26397554e-11j  9.20163006e-11+2.82095051e-07j
  -2.02048583e-10+5.30868251e-04j  4.59757261e-11-2.81549077e-07j]
 [-1.15285969e-11-6.02501767e-12j  9.59519178e-12+2.26331017e-11j
  -1.64037320e-07-1.12617811e-12j  1.24732099e-11+2.23787677e-10j
  -2.78444616e-11+2.82084120e-07j  1.94865230e-09+5.30868702e-04j]]"
-1881.185680969568j,"[[-4.36501716e-10+5.31577852e-04j -5.15899262e-11+2.82979716e-07j
  -5.58886344e-12+1.35782212e-10j -1.66804267e-07-5.83933528e-13j
   5.09632093e-11-1.96096480e-11j  1.02105493e-12-3.55045800e-12j]
 [ 1.87825668e-10-2.82341080e-07j -3.05781047e-10+5.31577485e-04j
   2.05145727e-11+2.82789757e-07j  5.09481755e-11+1.96209089e-11j
  -1.64187409e-07-1.12084574e-13j -4.26352151e-11-5.53538854e-12j]
 [-9.25409160e-12+1.63945376e-10j  1.71155575e-11-2.82242986e-07j
  -2.30852216e-09+5.31577935e-04j  1.00861286e-12+3.55257974e-12j
  -4.26408811e-11+5.54763151e-12j -1.64664460e-07-8.26520496e-15j]
 [-1.64127853e-07+4.07932241e-13j  3.44616354e-11-2.36423309e-11j
   1.99119378e-12+2.98494014e-11j  2.10178531e-10+5.31577852e-04j
  -1.87563963e-10-2.82340930e-07j  9.26761649e-12+1.63954407e-10j]
 [ 3.44856324e-11+2.36616764e-11j -1.63937296e-07-2.09108342e-13j
  -2.23059927e-11-2.70654879e-11j  5.13229029e-11+2.82979647e-07j
   7.70477329e-11+5.31577485e-04j -1.68542668e-11-2.82243073e-07j]
 [ 1.98817907e-12-2.98512181e-11j -2.22920099e-11+2.70474172e-11j
  -1.64450147e-07-1.16321113e-12j  5.61955197e-12+1.35841253e-10j
  -2.06746022e-11+2.82789746e-07j  2.08147069e-09+5.31577934e-04j]]"
-1878.6724068466963j,"[[-6.53041303e-10+5.32289107e-04j -1.34758669e-10+2.83616587e-07j
   1.25475667e-11+2.27720177e-10j -1.67255846e-07-6.52496709e-13j
   4.23194572e-11-5.21386985e-11j  2.22379399e-12+5.09985050e-12j]
 [ 1.48949030e-10-2.83215149e-07j -5.25621495e-10+5.32288522e-04j
   3.10563040e-11+2.83558613e-07j  4.23524647e-11+5.21366644e-11j
  -1.64624222e-07-1.02008839e-13j -3.81176807e-11-4.33540525e-13j]
 [-1.20739926e-11+1.59990843e-10j  4.78161220e-11-2.82922789e-07j
  -2.43381903e-09+5.32289392e-04j  2.23339572e-12-5.08320313e-12j
  -3.80711269e-11+4.48594074e-13j -1.65097857e-07+4.52203585e-14j]
 [-1.64544204e-07+3.38720606e-13j  2.81575522e-11-2.56381379e-11j
   1.09934746e-11+2.38512269e-11j  4.26008183e-10+5.32289108e-04j
  -1.48752143e-10-2.83215208e-07j  1.22040211e-11+1.60012284e-10j]
 [ 2.81265560e-11+2.56099691e-11j -1.64357046e-07-1.60831525e-13j
  -1.34033914e-11+1.16702883e-11j  1.34470156e-10+2.83616718e-07j
   2.96446238e-10+5.32288522e-04j -4.74567220e-11-2.82922847e-07j]
 [ 1.09971541e-11-2.38409294e-11j -1.33738186e-11-1.16432553e-11j
  -1.64874130e-07-1.13305008e-12j -1.27226305e-11+2.27804448e-10j
  -3.12563216e-11+2.83558604e-07j  2.20589781e-09+5.32289391e-04j]]"
-1876.1591327238245j,"[[-1.09549425e-09+5.33001958e-04j -1.92010848e-10+2.84490178e-07j
  -4.19953615e-11+1.91737874e-10j -1.67892688e-07-6.83691720e-13j
   5.65271771e-11-1.32838944e-12j  9.20239383e-12-2.24255989e-11j]
 [ 1.51150270e-10-2.83972281e-07j -5.61781688e-10+5.33002539e-04j
   6.35107477e-11+2.84341290e-07j  5.65490813e-11+1.32177582e-12j
  -1.64998191e-07-6.18326859e-14j  7.08282920e-12+3.84524436e-11j]
 [-1.02767654e-11+1.11899939e-10j -1.37512686e-10-2.83777993e-07j
  -2.35686383e-09+5.33001674e-04j  9.20306048e-12+2.24184892e-11j
   7.12173445e-12-3.84409591e-11j -1.65384849e-07+9.51564142e-14j]
 [-1.65192749e-07+3.06308462e-13j  3.82933624e-11+1.69618004e-11j
   1.19374473e-11+7.98548513e-12j  8.67725625e-10+5.33001958e-04j
  -1.51039001e-10-2.83972233e-07j  1.02763455e-11+1.11878550e-10j]
 [ 3.83475847e-11-1.69954872e-11j -1.64724202e-07-1.36163452e-13j
  -1.80030494e-11+2.56597922e-11j  1.91763509e-10+2.84490263e-07j
   3.32120340e-10+5.33002540e-04j  1.37795474e-10-2.83778020e-07j]
 [ 1.19193909e-11-7.99361852e-12j -1.79639182e-11-2.56711830e-11j
  -1.65192015e-07-1.06190875e-12j  4.20455303e-11+1.91755035e-10j
  -6.38220006e-11+2.84341299e-07j  2.12837612e-09+5.33001673e-04j]]"
-1873.6458586009526j,"[[-5.13094032e-10+5.33717115e-04j -4.46063205e-11+2.85256423e-07j
   1.95047186e-11+1.27095264e-10j -1.68455100e-07-5.99830269e-13j
   6.21773635e-12+2.72993439e-11j  4.56386385e-12-1.05295713e-11j]
 [-9.13354466e-12-2.84602411e-07j  1.83378246e-11+5.33717492e-04j
   4.31222369e-11+2.84956793e-07j  6.27374373e-12-2.72305282e-11j
  -1.65311307e-07-9.52885796e-14j  5.28357713e-11+6.28126467e-12j]
 [-2.58746420e-11+1.76502228e-10j -1.05127523e-10-2.84414474e-07j
  -2.13875964e-09+5.33716816e-04j  4.56031835e-12+1.05207644e-11j
   5.27984764e-11-6.25385344e-12j -1.65856178e-07+1.01902981e-13j]
 [-1.65747716e-07+3.86717823e-13j  1.06708095e-11+1.29423107e-11j
   6.21332610e-12-1.14166840e-11j  2.84761254e-10+5.33717116e-04j
   9.55203447e-12-2.84602471e-07j  2.59167744e-11+1.76440359e-10j]
 [ 1.07396171e-11-1.28793673e-11j -1.65014610e-07-1.64488459e-13j
  -3.29973146e-11-9.78968990e-12j  4.42923232e-11+2.85256609e-07j
  -2.49005141e-10+5.33717492e-04j  1.05357030e-10-2.84414437e-07j]
 [ 6.18586842e-12+1.14296105e-11j -3.29954884e-11+9.76678202e-12j
  -1.65649755e-07-1.07053740e-12j -1.95892653e-11+1.27122556e-10j
  -4.33276483e-11+2.84956776e-07j  1.90972683e-09+5.33716816e-04j]]"
-1871.1325844780808j,"[[-7.68154125e-10+5.34433423e-04j -6.60278714e-11+2.85851072e-07j
   6.97433896e-12+1.20065916e-10j -1.68879159e-07-6.71300052e-13j
   9.73850078e-12+2.83978470e-11j  7.19810247e-12+2.66382457e-12j]
 [ 7.62604419e-11-2.85478946e-07j -4.17030731e-10+5.34434570e-04j
   2.31082768e-11+2.85890852e-07j  9.79852067e-12-2.84121041e-11j
  -1.65702284e-07-1.03569332e-13j  2.95577994e-12-1.76960198e-12j]
 [-2.03779527e-11+1.68932997e-10j -3.46232466e-11-2.85117304e-07j
  -1.97359535e-09+5.34433899e-04j  7.23078828e-12-2.65384383e-12j
   2.95731901e-12+1.78940352e-12j -1.66269732e-07+2.39540390e-13j]
 [-1.66165417e-07+3.30930933e-13j -1.05378688e-11+2.88603980e-11j
   6.82761706e-12-2.13955449e-11j  5.39141065e-10+5.34433424e-04j
  -7.60398211e-11-2.85478949e-07j  2.03078647e-11+1.68926500e-10j]
 [-1.05061012e-11-2.88438818e-11j -1.65437395e-07-1.69850507e-13j
   7.85429580e-12-5.03717128e-11j  6.57473198e-11+2.85851076e-07j
   1.85967509e-10+5.34434570e-04j  3.49918889e-11-2.85117365e-07j]
 [ 6.80919435e-12+2.13765050e-11j  7.89497923e-12+5.04429268e-11j
  -1.66059662e-07-9.23264139e-13j -6.97951112e-12+1.20005975e-10j
  -2.34004925e-11+2.85890795e-07j  1.74359054e-09+5.34433898e-04j]]"
-1868.619310355209j,"[[-3.46100742e-10+5.35152426e-04j  2.19072087e-11+2.86709943e-07j
  -1.18871149e-11+1.54044081e-10j -1.69359305e-07-6.34529769e-13j
  -3.09232786e-11+2.66198053e-11j -2.16082382e-12-1.92257649e-12j]
 [-6.73905786e-11-2.86058306e-07j -2.47541620e-10+5.35152995e-04j
   2.55017086e-11+2.86707635e-07j -3.09190186e-11-2.65839819e-11j
  -1.66072505e-07-8.28111688e-14j -9.74184364e-13-2.77193220e-11j]
 [ 9.34096750e-12+1.53902877e-10j -6.55080795e-11-2.86077412e-07j
  -2.06497484e-09+5.35152501e-04j -2.18754120e-12+1.93466464e-12j
  -9.64444234e-13+2.77395582e-11j -1.66674554e-07+2.52419490e-13j]
 [-1.66625021e-07+3.60293099e-13j  3.63509899e-11+9.42281643e-12j
  -2.90434742e-12-2.08845413e-11j  1.16372700e-10+5.35152427e-04j
   6.77571323e-11-2.86058325e-07j -9.30928621e-12+1.53891570e-10j]
 [ 3.64148183e-11-9.43429423e-12j -1.65807931e-07-1.63515131e-13j
   2.96952695e-11-1.19059052e-11j -2.22919355e-11+2.86709976e-07j
   1.56655049e-11+5.35152995e-04j  6.58139876e-11-2.86077387e-07j]
 [-2.91105172e-12+2.09055141e-11j  2.97153679e-11+1.19114781e-11j
  -1.66473665e-07-9.28074748e-13j  1.18982708e-11+1.54123479e-10j
  -2.56704048e-11+2.86707539e-07j  1.83423456e-09+5.35152501e-04j]]"
-1866.1060362323374j,"[[-4.02769826e-10+5.35873163e-04j  3.52417744e-11+2.87441707e-07j
   3.44872431e-11+1.85491606e-10j -1.69866928e-07-6.62625370e-13j
  -2.78270070e-11+3.43294328e-11j  4.14363763e-12-1.44230562e-11j]
 [-3.40143680e-11-2.86893628e-07j -3.71061599e-10+5.35873321e-04j
   4.86605417e-11+2.87298086e-07j -2.78256682e-11-3.42922888e-11j
  -1.66504585e-07-1.32450266e-13j -1.33837891e-11-1.93590462e-11j]
 [ 1.41760746e-11+1.51062965e-10j -7.42261796e-11-2.86756368e-07j
  -2.20219450e-09+5.35873538e-04j  4.14522818e-12+1.44347428e-11j
  -1.33733553e-11+1.93766549e-11j -1.67150370e-07+3.39926290e-13j]
 [-1.67140652e-07+3.44550550e-13j  2.06819490e-11-7.42208433e-12j
  -1.21008908e-12+2.99416038e-12j  1.72447351e-10+5.35873163e-04j
   3.43137700e-11-2.86893739e-07j -1.40963639e-11+1.51072059e-10j]
 [ 2.06721708e-11+7.43371943e-12j -1.66244228e-07-1.99185860e-13j
   4.14982988e-11+1.38470585e-11j -3.55500012e-11+2.87441707e-07j
   1.38737223e-10+5.35873321e-04j  7.45449117e-11-2.86756461e-07j]
 [-1.22315054e-12-2.97693603e-12j  4.14827841e-11-1.38697519e-11j
  -1.66934224e-07-8.28011942e-13j -3.45633825e-11+1.85439037e-10j
  -4.88474458e-11+2.87298165e-07j  1.97084751e-09+5.35873538e-04j]]"
-1863.5927621094652j,"[[-3.14952972e-10+5.36596166e-04j  4.92710790e-11+2.88196264e-07j
  -2.87079915e-11+1.50483867e-10j -1.70365211e-07-6.21163586e-13j
  -8.53210514e-12-1.79808699e-11j  2.49974886e-13+1.83319817e-12j]
 [-3.42670965e-11-2.87570799e-07j -1.78959843e-10+5.36596210e-04j
  -4.56219397e-11+2.88112023e-07j -8.57943748e-12+1.79697831e-11j
  -1.66956595e-07-6.63483570e-14j -3.18240113e-11+1.53398780e-13j]
 [ 1.28386811e-11+1.90431115e-10j  7.57588997e-11-2.87551775e-07j
  -2.57521730e-09+5.36596678e-04j  2.52856082e-13-1.83577700e-12j
  -3.18358461e-11-1.85452432e-13j -1.67538168e-07+5.33612078e-13j]
 [-1.67610027e-07+3.91628412e-13j -1.73398851e-11-5.61581384e-11j
   3.20166983e-12+5.71908677e-12j  8.39282148e-11+5.36596166e-04j
   3.46358087e-11-2.87570973e-07j -1.28228824e-11+1.90450319e-10j]
 [-1.73944533e-11+5.61348647e-11j -1.66692400e-07-1.29134941e-13j
   1.18041870e-11+1.75890991e-11j -4.95430603e-11+2.88196294e-07j
  -5.38436371e-11+5.36596210e-04j -7.54329001e-11-2.87551636e-07j]
 [ 3.20016847e-12-5.72095009e-12j  1.17836680e-11-1.75933233e-11j
  -1.67335640e-07-6.51308874e-13j  2.87418722e-11+1.50516141e-10j
   4.54118582e-11+2.88111988e-07j  2.34323341e-09+5.36596679e-04j]]"
-1861.0794879865934j,"[[-6.93416625e-10+5.37321225e-04j -8.09940493e-11+2.88870563e-07j
   4.46885241e-11+1.30776841e-10j -1.70789817e-07-5.96271241e-13j
   3.32091230e-11+6.41108436e-11j -9.67372676e-12-1.37697454e-11j]
 [ 5.62162563e-11-2.88340856e-07j -9.96710685e-11+5.37320903e-04j
   1.81347391e-11+2.88987728e-07j  3.32289931e-11-6.41127377e-11j
  -1.67237300e-07-2.77895314e-14j -5.24897423e-11+1.13740579e-11j]
 [-5.41639444e-11+1.41125904e-10j  5.58913250e-11-2.88349113e-07j
  -2.14082205e-09+5.37320893e-04j -9.69478907e-12+1.37803978e-11j
  -5.25117065e-11-1.13772023e-11j -1.67898273e-07+5.63033242e-13j]
 [-1.68031241e-07+4.03689461e-13j -4.77334799e-11-3.15706369e-11j
   2.42365784e-11-9.90394672e-13j  4.61589638e-10+5.37321225e-04j
  -5.59290028e-11-2.88340908e-07j  5.42127843e-11+1.41069136e-10j]
 [-4.76682799e-11+3.15956601e-11j -1.66971943e-07-9.11857881e-14j
   2.51982715e-11+5.04799316e-12j  8.07309094e-11+2.88870639e-07j
  -1.34043079e-10+5.37320904e-04j -5.56540579e-11-2.88348995e-07j]
 [ 2.42328525e-11+1.01024203e-12j  2.51703354e-11-5.01298844e-12j
  -1.67669610e-07-6.24376033e-13j -4.47565832e-11+1.30731819e-10j
  -1.83291167e-11+2.88987744e-07j  1.90813605e-09+5.37320893e-04j]]"
