iw_n,G_iw_n
-1569.7491292436998j,"[[-7.16180979e-10+6.37041611e-04j -1.51558992e-10+4.06371342e-07j
   5.33258836e-11+3.06158181e-10j -4.01065379e-07-2.33690739e-12j
  -4.29021796e-11-4.45055756e-11j -9.37229510e-12-3.48591339e-11j]
 [ 7.77678169e-11-4.05260128e-07j -2.04467882e-10+6.37042072e-04j
   8.06775958e-11+4.06384584e-07j -4.29470749e-11+4.44312336e-11j
  -3.99237959e-07-2.08457052e-13j -2.61002695e-12+7.41277912e-11j]
 [-8.27587404e-11+1.19435480e-10j -2.42921232e-11-4.05285876e-07j
  -2.73204528e-09+6.37041123e-04j -9.38581100e-12+3.49088504e-11j
  -2.64379981e-12-7.41149410e-11j -3.97540546e-07+7.20567069e-13j]
 [-3.98908259e-07-2.70451846e-13j  4.02368703e-11-4.03884941e-11j
   5.05637651e-12+3.89888918e-11j  4.88645379e-10+6.37041611e-04j
  -7.75198186e-11-4.05260150e-07j  8.26814767e-11+1.19377280e-10j]
 [ 4.01749305e-11+4.04022846e-11j -3.96483685e-07-1.35493092e-13j
   1.83505966e-11+8.32362981e-11j  1.51276554e-10+4.06371388e-07j
  -2.35569073e-11+6.37042072e-04j  2.46717748e-11-4.05285937e-07j]
 [ 5.04710584e-12-3.89932213e-11j  1.83221658e-11-8.32384141e-11j
  -4.01796582e-07-1.25249819e-12j -5.33547333e-11+3.06196490e-10j
  -8.11496161e-11+4.06384594e-07j  2.50538147e-09+6.37041122e-04j]]"
-1567.6547341413068j,"[[-5.83668344e-10+6.37893190e-04j -1.53061613e-11+4.07470206e-07j
   6.47418123e-11+2.59463219e-10j -4.01952943e-07-2.17361507e-12j
   2.14254472e-11+2.42682129e-11j  5.24330543e-11-4.09719555e-11j]
 [ 7.24736474e-11-4.06449429e-07j -2.86315278e-10+6.37892375e-04j
   1.06078626e-10+4.07385801e-07j  2.14320125e-11-2.43328152e-11j
  -4.00128579e-07-2.32784950e-13j -3.83805264e-11-1.69149646e-11j]
 [-3.58049656e-11+2.39118130e-10j -8.60347712e-11-4.06388462e-07j
  -2.28099744e-09+6.37892187e-04j  5.24222762e-11+4.10166041e-11j
  -3.84711008e-11+1.69047421e-11j -3.98732145e-07+6.97915830e-13j]
 [-3.99776666e-07-1.17058335e-13j  5.16831030e-11+2.61841818e-11j
  -1.45729336e-11+1.97340866e-11j  3.55135221e-10+6.37893190e-04j
  -7.22410571e-11-4.06449288e-07j  3.58030017e-11+2.39080631e-10j]
 [ 5.16779426e-11-2.61325045e-11j -3.97344158e-07-1.20393094e-13j
   2.10438769e-11+6.19143631e-11j  1.50118609e-11+4.07470076e-07j
   5.67599081e-11+6.37892376e-04j  8.63935381e-11-4.06388602e-07j]
 [-1.45632695e-11-1.97830816e-11j  2.09610410e-11-6.18871110e-11j
  -4.02974621e-07-1.30353136e-12j -6.47526076e-11+2.59470717e-10j
  -1.06402337e-10+4.07385868e-07j  2.05347091e-09+6.37892187e-04j]]"
-1565.5603390389135j,"[[-8.56981278e-10+6.38745701e-04j -8.56338350e-11+4.08429369e-07j
  -3.03041694e-12+2.70857303e-10j -4.03111617e-07-2.07905463e-12j
  -2.67737017e-11-2.29293753e-11j  3.75597517e-12-1.39863403e-11j]
 [ 5.43735359e-11-4.07503100e-07j -1.19789909e-10+6.38746011e-04j
   4.35520763e-11+4.08418699e-07j -2.67969444e-11+2.29141582e-11j
  -4.01125817e-07-2.47941606e-13j -2.63992420e-11-5.51052228e-11j]
 [ 6.53427789e-12+2.68364959e-10j -4.62479333e-11-4.07317957e-07j
  -2.29353489e-09+6.38745955e-04j  3.73232174e-12+1.39683099e-11j
  -2.64693771e-11+5.51370094e-11j -3.99925984e-07+7.58329998e-13j]
 [-4.00928175e-07+3.59568286e-15j  2.20259078e-11+5.29707636e-11j
  -8.44439987e-12+3.84698476e-11j  6.28366750e-10+6.38745702e-04j
  -5.41644973e-11-4.07503048e-07j -6.54048870e-12+2.68342291e-10j]
 [ 2.19696865e-11-5.30034938e-11j -3.98353150e-07-1.88527242e-13j
  -1.01477383e-11+1.79185858e-11j  8.54459441e-11+4.08429186e-07j
  -1.09558768e-10+6.38746010e-04j  4.66207423e-11-4.07318057e-07j]
 [-8.46309001e-12-3.84769595e-11j -1.03123551e-11-1.79080970e-11j
  -4.04203777e-07-1.26015708e-12j  2.95312604e-12+2.70863590e-10j
  -4.39004965e-11+4.08418738e-07j  2.06528055e-09+6.38745955e-04j]]"
-1563.4659439365205j,"[[-4.51709677e-10+6.39601285e-04j  3.63185233e-11+4.09485398e-07j
  -1.65812578e-11+2.72181956e-10j -4.04226506e-07-1.85371633e-12j
  -5.97588484e-11-6.17449561e-12j -5.23872138e-12-4.48620008e-12j]
 [ 8.57351831e-11-4.08548135e-07j  3.57428124e-11+6.39601587e-04j
  -3.91497284e-11+4.09549923e-07j -5.98367042e-11+6.16127243e-12j
  -4.02188322e-07-3.39863631e-13j  2.45485410e-11-2.99322105e-11j]
 [ 2.86196933e-12+2.87858753e-10j -8.13547486e-11-4.08376432e-07j
  -2.23775392e-09+6.39601054e-04j -5.22246377e-12+4.53062548e-12j
   2.45051596e-11+2.99335365e-11j -4.00976186e-07+8.15560572e-13j]
 [-4.02062578e-07+2.11883927e-13j -1.48034542e-11-5.41278087e-12j
  -2.55103811e-11+2.26667793e-12j  2.22141782e-10+6.39601285e-04j
  -8.53604603e-11-4.08548118e-07j -2.84286228e-12+2.87916808e-10j]
 [-1.48942204e-11+5.46894889e-12j -3.99413744e-07-2.60485783e-13j
   3.31348688e-11-1.98850301e-11j -3.65266493e-11+4.09485258e-07j
  -2.66613652e-10+6.39601587e-04j  8.16921571e-11-4.08376473e-07j]
 [-2.55492583e-11-2.27489030e-12j  3.30945042e-11+1.98966115e-11j
  -4.05256556e-07-1.20509438e-12j  1.66124906e-11+2.72168549e-10j
   3.87593367e-11+4.09549923e-07j  2.00868920e-09+6.39601055e-04j]]"
-1561.371548834127j,"[[-4.48797105e-11+6.40459313e-04j -1.28109182e-10+4.10619042e-07j
  -2.74869961e-11+3.17317460e-10j -4.05421891e-07-1.63376544e-12j
  -1.07735013e-11+5.55531637e-11j  1.34221128e-11+3.63564067e-11j]
 [ 1.58180099e-10-4.09510739e-07j  3.65870326e-10+6.40459652e-04j
  -4.10258853e-11+4.10720294e-07j -1.07932192e-11-5.55973320e-11j
  -4.03352056e-07-3.41366425e-13j -1.53587304e-11+3.07429911e-11j]
 [-4.32419603e-11+3.27917755e-10j  5.84889294e-11-4.09575834e-07j
  -2.52286157e-09+6.40458524e-04j  1.34243712e-11-3.63073791e-11j
  -1.53615221e-11-3.07773396e-11j -4.02299169e-07+7.33238996e-13j]
 [-4.03222517e-07+4.48533985e-13j -3.58100869e-11-1.06436241e-10j
  -2.76199742e-11-3.24131044e-11j -1.85098341e-10+6.40459312e-04j
  -1.57793026e-10-4.09510768e-07j  4.32356504e-11+3.27923256e-10j]
 [-3.57775708e-11+1.06352966e-10j -4.00536529e-07-2.42334733e-13j
  -2.63440975e-11-5.35887523e-11j  1.27746946e-10+4.10619161e-07j
  -5.96991630e-10+6.40459652e-04j -5.81984666e-11-4.09575832e-07j]
 [-2.75633898e-11+3.24047451e-11j -2.63420089e-11+5.36108856e-11j
  -4.06586445e-07-1.28986577e-12j  2.74454824e-11+3.17345372e-10j
   4.07673813e-11+4.10720291e-07j  2.29254030e-09+6.40458524e-04j]]"
-1559.277153731734j,"[[-6.12994231e-10+6.41319456e-04j -1.16584386e-11+4.11810843e-07j
   1.53343990e-11+2.36600395e-10j -4.06504169e-07-1.35587158e-12j
  -4.66240702e-12+7.49787874e-11j -2.20500277e-11+6.58452516e-11j]
 [-8.43467890e-12-4.10776482e-07j  1.19348005e-10+6.41319705e-04j
  -2.18517022e-13+4.11886544e-07j -4.64675492e-12-7.50003777e-11j
  -4.04642019e-07-3.49217151e-13j  3.00982475e-11-6.73776858e-12j]
 [-9.48427146e-11+1.92404659e-10j -2.11455127e-11-4.10779344e-07j
  -1.77744226e-09+6.41319297e-04j -2.20761722e-11-6.58859512e-11j
   3.00316752e-11+6.75421275e-12j -4.03465069e-07+8.40596234e-13j]
 [-4.04301503e-07+7.34375959e-13j -7.04250864e-11-1.41592992e-11j
   2.80019686e-12+6.83556477e-11j  3.82304241e-10+6.41319456e-04j
   8.65636758e-12-4.10776412e-07j  9.47848474e-11+1.92308290e-10j]
 [-7.04608025e-11+1.41846113e-11j -4.01777394e-07-2.80412848e-13j
  -4.14302388e-11-7.03102042e-11j  1.14388081e-11+4.11810986e-07j
  -3.50877196e-10+6.41319706e-04j  2.15147843e-11-4.10779302e-07j]
 [ 2.80861978e-12-6.83444090e-11j -4.14366521e-11+7.02823816e-11j
  -4.07772993e-07-1.14924242e-12j -1.53276344e-11+2.36629370e-10j
  -1.84729279e-13+4.11886391e-07j  1.54657047e-09+6.41319297e-04j]]"
-1557.182758629341j,"[[-4.72575898e-10+6.42182717e-04j -9.85337392e-12+4.12750346e-07j
   4.99114671e-11+2.31002453e-10j -4.07531137e-07-1.07667610e-12j
  -1.82481782e-11+1.05112495e-10j -2.65120226e-11+1.88005651e-11j]
 [ 1.79802691e-11-4.11835407e-07j -5.85606687e-10+6.42181857e-04j
  -6.02148931e-11+4.13022022e-07j -1.83061605e-11-1.05148466e-10j
  -4.05973739e-07-3.43671093e-13j  5.84523653e-12-1.39656200e-11j]
 [-4.12901665e-11+3.39721389e-10j  2.35760067e-11-4.11916036e-07j
  -2.50806785e-09+6.42182406e-04j -2.65062184e-11-1.87663502e-11j
   5.89236631e-12+1.40309481e-11j -4.04661463e-07+7.14999769e-13j]
 [-4.05313956e-07+1.00542534e-12j -8.71649764e-11+5.25288498e-11j
   5.60102930e-12+1.78084754e-11j  2.41148223e-10+6.42182717e-04j
  -1.77804361e-11-4.11835483e-07j  4.13260481e-11+3.39705452e-10j]
 [-8.71264820e-11-5.25207910e-11j -4.03096919e-07-2.93503577e-13j
  -6.24009130e-12-3.54755185e-11j  9.65163648e-12+4.12750340e-07j
   3.53575236e-10+6.42181857e-04j -2.31806117e-11-4.11916073e-07j]
 [ 5.62883193e-12-1.77949816e-11j -6.23346743e-12+3.55481251e-11j
  -4.08962112e-07-1.28996174e-12j -4.99385090e-11+2.30990193e-10j
   5.98209849e-11+4.13022119e-07j  2.27709743e-09+6.42182406e-04j]]"
-1555.0883635269477j,"[[-5.17453587e-10+6.43047076e-04j -8.30560710e-11+4.13877506e-07j
  -3.88386922e-11+2.01353173e-10j -4.08477866e-07-9.31309359e-13j
   4.67978964e-11+7.41439773e-11j  3.93582326e-12+4.72124388e-11j]
 [-9.42527601e-11-4.12780031e-07j  5.23341728e-12+6.43046654e-04j
   5.79034408e-11+4.14084047e-07j  4.68029917e-11-7.42488983e-11j
  -4.07107901e-07-3.32671969e-13j -3.90708250e-11+1.54739661e-11j]
 [ 1.94048554e-11+2.50980804e-10j -2.05797889e-10-4.12958187e-07j
  -2.34252164e-09+6.43046740e-04j  3.90901635e-12-4.72226832e-11j
  -3.91261182e-11-1.53911218e-11j -4.06092483e-07+6.46628060e-13j]
 [-4.06266904e-07+1.16134962e-12j -3.47616554e-11+1.61678286e-11j
   1.82434616e-11+2.14820193e-11j  2.85529936e-10+6.43047076e-04j
   9.45341448e-11-4.12779930e-07j -1.93829761e-11+2.50964171e-10j]
 [-3.48287032e-11-1.61477901e-11j -4.04301539e-07-2.84591631e-13j
   8.12100685e-11-5.69184223e-11j  8.28941815e-11+4.13877483e-07j
  -2.37648381e-10+6.43046655e-04j  2.06248519e-10-4.12958327e-07j]
 [ 1.82401976e-11-2.14533946e-11j  8.11557642e-11+5.69038944e-11j
  -4.10426453e-07-1.34873599e-12j  3.89416914e-11+2.01342917e-10j
  -5.83449341e-11+4.14084097e-07j  2.11099764e-09+6.43046739e-04j]]"
-1552.9939684245544j,"[[-6.86014672e-10+6.43914645e-04j  2.19378905e-11+4.15106062e-07j
  -5.05237461e-11+2.68014609e-10j -4.09649317e-07-7.70357794e-13j
  -2.63018132e-11+7.27488531e-11j  1.62542131e-11+4.17257426e-11j]
 [-4.86095815e-11-4.14006339e-07j -2.27479603e-10+6.43914484e-04j
   1.09832882e-10+4.15259246e-07j -2.63224926e-11-7.27687085e-11j
  -4.08122015e-07-2.07641123e-13j  1.69638509e-11+1.75805216e-11j]
 [-1.18088431e-11+2.42514374e-10j -2.20536958e-10-4.14214562e-07j
  -2.04683060e-09+6.43914241e-04j  1.62578421e-11-4.17261318e-11j
   1.68353938e-11-1.75594896e-11j -4.07397673e-07+8.09843754e-13j]
 [-4.07453387e-07+1.31859493e-12j  1.00583054e-11+7.66671455e-12j
   4.67734135e-12-3.78745076e-11j  4.53489688e-10+6.43914645e-04j
   4.87519174e-11-4.14006264e-07j  1.17395893e-11+2.42496399e-10j]
 [ 9.98565055e-12-7.67355938e-12j -4.05345633e-07-1.53403018e-13j
  -3.44063998e-11-9.23941794e-11j -2.22370352e-11+4.15105998e-07j
  -6.13791985e-12+6.43914484e-04j  2.20909833e-10-4.14214684e-07j]
 [ 4.72170061e-12+3.78423922e-11j -3.44871939e-11+9.24350901e-11j
  -4.11732822e-07-1.21946375e-12j  5.04876192e-11+2.67946678e-10j
  -1.10191095e-10+4.15259255e-07j  1.81458252e-09+6.43914241e-04j]]"
-1550.8995733221611j,"[[-8.40886317e-10+6.44784307e-04j  7.79800244e-11+4.16281009e-07j
   2.43371413e-11+2.89517278e-10j -4.10618225e-07-4.32430095e-13j
  -5.24150568e-12+2.97712872e-11j  1.46802962e-11+2.89700319e-12j]
 [-1.44027145e-10-4.15226203e-07j -3.18672952e-10+6.44783704e-04j
  -7.87064799e-11+4.16338701e-07j -5.25767523e-12-2.97307691e-11j
  -4.09169797e-07-2.48352248e-13j  5.74799470e-11-7.61689947e-11j]
 [-2.62705148e-11+2.73701436e-10j  7.23647582e-11-4.15347331e-07j
  -2.19395542e-09+6.44784113e-04j  1.46676068e-11-2.89376542e-12j
   5.74063596e-11+7.62032072e-11j -4.08505050e-07+7.91321431e-13j]
 [-4.08394714e-07+1.65457002e-12j -1.00469159e-11-1.69851653e-11j
  -2.52370660e-11+1.18197643e-11j  6.07700182e-10+6.44784307e-04j
   1.44321119e-10-4.15226166e-07j  2.63151729e-11+2.73781434e-10j]
 [-1.00726380e-11+1.69590096e-11j -4.06345279e-07-1.71427646e-13j
   4.82863259e-11-7.52812474e-11j -7.81151388e-11+4.16280967e-07j
   8.52487309e-11+6.44783705e-04j -7.20294576e-11-4.15347456e-07j]
 [-2.51876804e-11-1.17896459e-11j  4.82849082e-11+7.52723084e-11j
  -4.12865618e-07-1.22390517e-12j -2.43113163e-11+2.89506395e-10j
   7.83075327e-11+4.16338779e-07j  1.96136362e-09+6.44784112e-04j]]"
