iw_n,G_iw_n
-2930.0587482480805j,[[2.22847385e-14+0.00034129j]]
-2925.8699580432935j,[[-1.9833178e-14+0.00034178j]]
-2921.6811678385075j,[[-1.16086727e-14+0.00034227j]]
-2917.4923776337214j,[[1.24454268e-15+0.00034276j]]
-2913.303587428935j,[[-3.74446194e-14+0.00034325j]]
-2909.1147972241483j,[[-5.02628542e-14+0.00034375j]]
-2904.926007019362j,[[-3.65854675e-14+0.00034424j]]
-2900.7372168145757j,[[1.72715789e-15+0.00034474j]]
-2896.5484266097897j,[[-3.4950971e-14+0.00034524j]]
-2892.3596364050027j,[[-1.27795586e-14+0.00034574j]]
-2888.1708462002166j,[[-1.28540043e-14+0.00034624j]]
-2883.98205599543j,[[3.01100227e-14+0.00034674j]]
-2879.7932657906435j,[[8.66545064e-15+0.00034725j]]
-2875.604475585857j,[[-8.94423143e-15+0.00034775j]]
-2871.415685381071j,[[1.5809206e-14+0.00034826j]]
-2867.226895176285j,[[-8.79278998e-15+0.00034877j]]
-2863.038104971498j,[[8.09502422e-15+0.00034928j]]
-2858.849314766712j,[[-2.69859255e-14+0.00034979j]]
-2854.6605245619253j,[[-5.06490847e-15+0.0003503j]]
-2850.471734357139j,[[-7.74323515e-15+0.00035082j]]
-2846.2829441523522j,[[-3.26748593e-14+0.00035133j]]
-2842.094153947566j,[[-2.03344148e-14+0.00035185j]]
-2837.90536374278j,[[-2.38255744e-14+0.00035237j]]
-2833.716573537993j,[[6.70358954e-15+0.00035289j]]
-2829.527783333207j,[[-1.58852529e-16+0.00035342j]]
-2825.3389931284205j,[[2.94997724e-14+0.00035394j]]
-2821.1502029236344j,[[-3.41585183e-15+0.00035446j]]
-2816.9614127188474j,[[2.33262424e-14+0.00035499j]]
-2812.7726225140614j,[[-1.2337013e-14+0.00035552j]]
-2808.5838323092753j,[[-2.43087526e-14+0.00035605j]]
-2804.3950421044888j,[[-3.60665987e-15+0.00035658j]]
-2800.2062518997022j,[[-4.7364765e-14+0.00035712j]]
-2796.0174616949157j,[[5.49333984e-15+0.00035765j]]
-2791.8286714901296j,[[-1.54717605e-14+0.00035819j]]
-2787.6398812853427j,[[9.06342646e-15+0.00035873j]]
-2783.4510910805566j,[[1.44546761e-14+0.00035927j]]
-2779.2623008757705j,[[2.97586194e-14+0.00035981j]]
-2775.073510670984j,[[3.61586665e-14+0.00036035j]]
-2770.8847204661975j,[[9.61645967e-15+0.00036089j]]
