iw_n,G_iw_n
-1569.7491292436998j,[[-5.17226719e-14+0.00063704j]]
-1567.6547341413068j,[[-9.59953194e-15+0.00063789j]]
-1565.5603390389135j,[[-1.58981922e-13+0.00063875j]]
-1563.4659439365205j,[[-2.21744029e-13+0.0006396j]]
-1561.371548834127j,[[5.21753277e-15+0.00064046j]]
-1559.277153731734j,[[1.43590754e-13+0.00064132j]]
-1557.182758629341j,[[1.17536876e-13+0.00064218j]]
-1555.0883635269477j,[[-2.35209676e-13+0.00064305j]]
-1552.9939684245544j,[[-1.60505648e-13+0.00064391j]]
-1550.8995733221611j,[[1.25866828e-13+0.00064478j]]
-1548.805178219768j,[[1.23991524e-14+0.00064566j]]
-1546.7107831173746j,[[-2.7878702e-13+0.00064653j]]
-1544.6163880149816j,[[-3.2457059e-13+0.00064741j]]
-1542.5219929125885j,[[-1.20100093e-13+0.00064829j]]
-1540.4275978101953j,[[-1.11343993e-13+0.00064917j]]
-1538.333202707802j,[[-9.20251579e-14+0.00065005j]]
-1536.2388076054087j,[[-1.38752058e-14+0.00065094j]]
-1534.1444125030157j,[[1.47573526e-14+0.00065183j]]
-1532.0500174006227j,[[2.89484717e-14+0.00065272j]]
-1529.9556222982292j,[[1.11130893e-13+0.00065361j]]
-1527.8612271958361j,[[2.01360727e-13+0.00065451j]]
-1525.7668320934429j,[[1.51004926e-13+0.00065541j]]
-1523.6724369910496j,[[9.12651617e-14+0.00065631j]]
-1521.5780418886563j,[[-4.72713768e-15+0.00065721j]]
-1519.4836467862633j,[[6.48355775e-14+0.00065811j]]
-1517.3892516838703j,[[-3.85612232e-15+0.00065902j]]
-1515.2948565814768j,[[-3.48278876e-14+0.00065993j]]
-1513.2004614790837j,[[5.08981163e-14+0.00066085j]]
-1511.1060663766905j,[[-5.08601606e-14+0.00066176j]]
-1509.0116712742974j,[[-1.49887674e-13+0.00066268j]]
-1506.917276171904j,[[-1.51962598e-13+0.0006636j]]
-1504.822881069511j,[[1.05997096e-14+0.00066453j]]
-1502.7284859671179j,[[-1.26635671e-15+0.00066545j]]
-1500.6340908647244j,[[-7.37495325e-14+0.00066638j]]
-1498.5396957623313j,[[-1.22869369e-13+0.00066731j]]
-1496.445300659938j,[[8.33442965e-14+0.00066825j]]
-1494.350905557545j,[[1.81201869e-13+0.00066918j]]
-1492.2565104551516j,[[-1.44105179e-13+0.00067012j]]
-1490.1621153527585j,[[-2.13753783e-13+0.00067106j]]
-1488.0677202503655j,[[-6.51807869e-14+0.00067201j]]
-1485.9733251479722j,[[7.65248605e-14+0.00067296j]]
-1483.878930045579j,[[-1.20253324e-14+0.00067391j]]
-1481.7845349431857j,[[-2.73541515e-13+0.00067486j]]
-1479.6901398407927j,[[-2.83446093e-13+0.00067581j]]
-1477.5957447383992j,[[-7.37964876e-14+0.00067677j]]
-1475.5013496360061j,[[1.06163287e-13+0.00067773j]]
-1473.406954533613j,[[9.60332107e-14+0.0006787j]]
-1471.3125594312198j,[[1.47199783e-13+0.00067966j]]
-1469.2181643288266j,[[-2.60330109e-14+0.00068063j]]
-1467.1237692264333j,[[-1.30616838e-13+0.0006816j]]
-1465.0293741240403j,[[6.7157187e-14+0.00068258j]]
-1462.9349790216468j,[[1.39374023e-13+0.00068355j]]
-1460.8405839192537j,[[-8.02007438e-14+0.00068453j]]
-1458.7461888168607j,[[-2.29181629e-13+0.00068552j]]
-1456.6517937144674j,[[-1.01164057e-13+0.0006865j]]
-1454.5573986120742j,[[-1.4626738e-13+0.00068749j]]
-1452.463003509681j,[[-1.98659925e-13+0.00068848j]]
-1450.3686084072879j,[[-2.58208721e-13+0.00068948j]]
-1448.2742133048948j,[[-1.24544566e-13+0.00069047j]]
-1446.1798182025013j,[[-1.27706811e-15+0.00069147j]]
-1444.0854231001083j,[[-1.14724788e-13+0.00069248j]]
-1441.991027997715j,[[-1.66973446e-13+0.00069348j]]
-1439.8966328953218j,[[1.05921865e-13+0.00069449j]]
-1437.8022377929285j,[[1.87849775e-13+0.0006955j]]
-1435.7078426905355j,[[-5.83642673e-14+0.00069652j]]
-1433.6134475881424j,[[3.93678059e-14+0.00069753j]]
-1431.519052485749j,[[1.53910968e-13+0.00069855j]]
-1429.424657383356j,[[2.02636244e-14+0.00069958j]]
-1427.3302622809626j,[[-2.23631216e-14+0.0007006j]]
-1425.2358671785696j,[[-1.06083594e-13+0.00070163j]]
-1423.1414720761761j,[[-2.59904684e-13+0.00070267j]]
-1421.047076973783j,[[-2.11298711e-13+0.0007037j]]
-1418.95268187139j,[[-8.29487522e-14+0.00070474j]]
-1416.8582867689965j,[[-1.02336385e-13+0.00070578j]]
-1414.7638916666035j,[[-1.71010324e-13+0.00070683j]]
-1412.6694965642102j,[[-2.20275671e-13+0.00070788j]]
-1410.5751014618172j,[[-8.16512212e-14+0.00070893j]]
-1408.4807063594237j,[[4.09315392e-13+0.00070998j]]
-1406.3863112570307j,[[2.33211509e-13+0.00071104j]]
-1404.2919161546376j,[[-1.65941759e-13+0.0007121j]]
-1402.1975210522444j,[[-7.42112264e-14+0.00071316j]]
-1400.1031259498511j,[[2.55876427e-13+0.00071423j]]
-1398.0087308474579j,[[1.80374937e-13+0.0007153j]]
-1395.9143357450648j,[[-2.20219253e-14+0.00071637j]]
-1393.8199406426713j,[[-1.89423305e-13+0.00071745j]]
-1391.7255455402783j,[[-1.34093462e-13+0.00071853j]]
-1389.6311504378853j,[[1.27558431e-13+0.00071961j]]
-1387.536755335492j,[[1.21539352e-13+0.0007207j]]
-1385.4423602330987j,[[-1.50773145e-13+0.00072179j]]
-1383.3479651307055j,[[-1.88319445e-13+0.00072288j]]
-1381.2535700283124j,[[-3.70313577e-14+0.00072398j]]
-1379.1591749259194j,[[8.03782016e-14+0.00072508j]]
-1377.064779823526j,[[2.03745506e-13+0.00072618j]]
-1374.9703847211329j,[[9.75125815e-14+0.00072728j]]
-1372.8759896187396j,[[-5.91469496e-14+0.00072839j]]
-1370.7815945163463j,[[4.50855451e-14+0.00072951j]]
-1368.687199413953j,[[1.51337859e-13+0.00073062j]]
-1366.59280431156j,[[-3.21376497e-14+0.00073174j]]
-1364.4984092091668j,[[-3.98009415e-14+0.00073286j]]
-1362.4040141067737j,[[-1.89607234e-14+0.00073399j]]
-1360.3096190043805j,[[-1.87273532e-13+0.00073512j]]
-1358.2152239019872j,[[-2.71373458e-13+0.00073625j]]
-1356.120828799594j,[[-2.37686045e-13+0.00073739j]]
-1354.026433697201j,[[-1.21817185e-13+0.00073853j]]
-1351.9320385948076j,[[1.32685549e-13+0.00073968j]]
-1349.8376434924144j,[[1.79429152e-14+0.00074082j]]
-1347.7432483900213j,[[-2.95569506e-13+0.00074198j]]
-1345.648853287628j,[[-9.10369774e-14+0.00074313j]]
