iw_n,G_iw_n
-1255.7394635348917j,[[-1.87822813e-12+0.00079633j]]
-1253.9442677328402j,[[3.99933677e-13+0.00079747j]]
-1252.149071930789j,[[2.52853276e-12+0.00079862j]]
-1250.3538761287377j,[[1.34186744e-13+0.00079976j]]
-1248.5586803266865j,[[-2.28607568e-12+0.00080091j]]
-1246.763484524635j,[[-2.9387452e-13+0.00080207j]]
-1244.9682887225838j,[[1.71726663e-12+0.00080322j]]
-1243.1730929205326j,[[-3.4596389e-13+0.00080438j]]
-1241.3778971184813j,[[-1.88249662e-12+0.00080554j]]
-1239.5827013164296j,[[-1.46984428e-13+0.00080671j]]
-1237.7875055143784j,[[8.72558163e-13+0.00080788j]]
-1235.9923097123271j,[[-8.36344646e-13+0.00080906j]]
-1234.1971139102757j,[[-9.58801054e-13+0.00081023j]]
-1232.4019181082244j,[[1.25070088e-12+0.00081141j]]
-1230.6067223061732j,[[9.47568176e-13+0.00081259j]]
-1228.811526504122j,[[-1.04276003e-12+0.00081378j]]
-1227.0163307020705j,[[1.70916195e-13+0.00081497j]]
-1225.2211349000193j,[[2.66007124e-12+0.00081616j]]
-1223.425939097968j,[[8.56225162e-13+0.00081737j]]
-1221.6307432959168j,[[-2.14684495e-12+0.00081857j]]
-1219.8355474938653j,[[-2.51255145e-13+0.00081977j]]
-1218.040351691814j,[[2.5252853e-12+0.00082098j]]
-1216.2451558897628j,[[4.9898951e-13+0.00082219j]]
-1214.4499600877114j,[[-2.56641699e-12+0.00082341j]]
-1212.6547642856601j,[[-6.51221231e-13+0.00082462j]]
-1210.8595684836089j,[[2.11265374e-12+0.00082585j]]
-1209.0643726815576j,[[3.54431272e-13+0.00082707j]]
-1207.2691768795062j,[[-1.6545465e-12+0.0008283j]]
-1205.473981077455j,[[1.94353029e-13+0.00082954j]]
-1203.6787852754037j,[[1.65287318e-12+0.00083077j]]
-1201.8835894733525j,[[-7.27048529e-14+0.00083201j]]
