iw_n,G_iw_n
-1177.3118469327749j,[[3.83827978e-14+0.00084937j]]
-1175.74105060598j,[[2.66031008e-13+0.00085051j]]
-1174.1702542791852j,[[1.60659068e-13+0.00085165j]]
-1172.5994579523904j,[[-4.56030351e-13+0.00085279j]]
-1171.0286616255953j,[[-1.74020437e-13+0.00085393j]]
-1169.4578652988005j,[[6.66776825e-13+0.00085508j]]
-1167.8870689720056j,[[1.58951487e-13+0.00085623j]]
-1166.3162726452108j,[[-1.67300352e-13+0.00085739j]]
-1164.7454763184157j,[[2.3417167e-14+0.00085854j]]
-1163.174679991621j,[[2.43335163e-13+0.0008597j]]
-1161.603883664826j,[[5.65902606e-13+0.00086086j]]
-1160.033087338031j,[[2.5148659e-14+0.00086203j]]
-1158.4622910112362j,[[-5.59817708e-13+0.0008632j]]
-1156.8914946844413j,[[3.4384541e-13+0.00086436j]]
-1155.3206983576465j,[[3.87692134e-13+0.00086554j]]
-1153.7499020308514j,[[-1.14254933e-13+0.00086672j]]
-1152.1791057040566j,[[-2.65349396e-13+0.0008679j]]
-1150.6083093772618j,[[-1.54197734e-13+0.00086909j]]
-1149.037513050467j,[[3.69650684e-13+0.00087028j]]
-1147.4667167236719j,[[1.01005417e-13+0.00087147j]]
-1145.895920396877j,[[-5.4606707e-13+0.00087266j]]
-1144.3251240700822j,[[-1.92472725e-13+0.00087386j]]
-1142.7543277432871j,[[3.34179748e-13+0.00087506j]]
-1141.1835314164923j,[[-1.11800142e-14+0.00087627j]]
-1139.6127350896975j,[[-2.74489877e-13+0.00087747j]]
-1138.0419387629026j,[[-5.32420978e-13+0.00087868j]]
-1136.4711424361076j,[[-3.09657234e-14+0.0008799j]]
-1134.9003461093127j,[[5.18827455e-13+0.00088112j]]
-1133.329549782518j,[[-1.97076773e-13+0.00088233j]]
-1131.758753455723j,[[-3.94883879e-13+0.00088356j]]
-1130.187957128928j,[[2.11389422e-13+0.00088479j]]
-1128.6171608021332j,[[4.23587798e-13+0.00088602j]]
-1127.0463644753384j,[[1.23118277e-13+0.00088726j]]
-1125.4755681485433j,[[-1.73852104e-13+0.00088849j]]
-1123.9047718217485j,[[-3.81606533e-13+0.00088974j]]
-1122.3339754949536j,[[5.24647238e-13+0.00089098j]]
-1120.7631791681588j,[[3.36310419e-13+0.00089223j]]
-1119.1923828413637j,[[-5.91225464e-13+0.00089348j]]
-1117.621586514569j,[[-5.13227194e-13+0.00089474j]]
-1116.050790187774j,[[1.85440873e-14+0.000896j]]
-1114.4799938609792j,[[1.71033255e-13+0.00089726j]]
-1112.9091975341842j,[[-1.53538745e-13+0.00089853j]]
-1111.3384012073893j,[[-7.22629748e-13+0.0008998j]]
-1109.7676048805945j,[[-4.4604545e-14+0.00090107j]]
-1108.1968085537994j,[[7.01045977e-13+0.00090235j]]
-1106.6260122270046j,[[2.1950481e-13+0.00090363j]]
-1105.0552159002098j,[[1.12755987e-13+0.00090491j]]
-1103.484419573415j,[[3.12264426e-13+0.0009062j]]
-1101.9136232466199j,[[6.22361734e-13+0.0009075j]]
-1100.342826919825j,[[7.90141113e-13+0.00090879j]]
-1098.7720305930302j,[[1.93472497e-14+0.00091008j]]
-1097.2012342662351j,[[-8.78079974e-15+0.00091139j]]
-1095.6304379394403j,[[8.93008462e-13+0.00091269j]]
-1094.0596416126455j,[[7.76165037e-13+0.00091401j]]
-1092.4888452858506j,[[1.27349103e-13+0.00091532j]]
-1090.9180489590556j,[[2.07703281e-13+0.00091663j]]
-1089.3472526322607j,[[4.40346406e-13+0.00091796j]]
-1087.776456305466j,[[9.88068327e-13+0.00091929j]]
-1086.205659978671j,[[4.831498e-13+0.00092062j]]
-1084.634863651876j,[[-3.05351608e-13+0.00092195j]]
-1083.0640673250812j,[[-1.3574263e-13+0.00092328j]]
-1081.4932709982863j,[[5.58043765e-13+0.00092463j]]
-1079.9224746714913j,[[1.10633886e-13+0.00092597j]]
-1078.3516783446964j,[[-5.84818193e-13+0.00092732j]]
-1076.7808820179016j,[[-7.17775529e-13+0.00092868j]]
-1075.2100856911068j,[[-3.92005561e-14+0.00093003j]]
-1073.6392893643117j,[[5.17523194e-13+0.00093139j]]
-1072.0684930375169j,[[-3.62704815e-13+0.00093276j]]
-1070.497696710722j,[[-4.43958691e-13+0.00093412j]]
-1068.9269003839272j,[[5.97496049e-14+0.00093549j]]
-1067.3561040571321j,[[1.24705019e-14+0.00093687j]]
-1065.7853077303373j,[[-6.67425203e-14+0.00093826j]]
