iw_n,G_iw_n
-941.8494775462199j,[[-5.25261055e-09+0.00106173j]]
-940.592840484784j,[[-5.26400561e-09+0.00106314j]]
-939.3362034233481j,[[-5.283835e-09+0.00106456j]]
-938.0795663619123j,[[-5.29583248e-09+0.00106599j]]
-936.8229293004763j,[[-5.31612866e-09+0.00106742j]]
-935.5662922390404j,[[-5.32582277e-09+0.00106885j]]
-934.3096551776046j,[[-5.33777085e-09+0.00107029j]]
-933.0530181161687j,[[-5.35519237e-09+0.00107173j]]
-931.7963810547326j,[[-5.3681388e-09+0.00107318j]]
-930.5397439932967j,[[-5.38741376e-09+0.00107463j]]
-929.2831069318609j,[[-5.40261552e-09+0.00107608j]]
-928.0264698704248j,[[-5.40606594e-09+0.00107754j]]
-926.7698328089889j,[[-5.42738159e-09+0.001079j]]
-925.513195747553j,[[-5.44163674e-09+0.00108046j]]
-924.2565586861172j,[[-5.4582849e-09+0.00108193j]]
-922.9999216246812j,[[-5.47027935e-09+0.0010834j]]
-921.7432845632453j,[[-5.4892442e-09+0.00108488j]]
-920.4866475018094j,[[-5.4999973e-09+0.00108636j]]
-919.2300104403736j,[[-5.51323201e-09+0.00108785j]]
-917.9733733789375j,[[-5.53154201e-09+0.00108934j]]
-916.7167363175016j,[[-5.54819829e-09+0.00109083j]]
-915.4600992560657j,[[-5.55382211e-09+0.00109233j]]
-914.2034621946298j,[[-5.56857486e-09+0.00109383j]]
-912.9468251331939j,[[-5.5946368e-09+0.00109534j]]
-911.690188071758j,[[-5.60409029e-09+0.00109684j]]
-910.4335510103222j,[[-5.62355644e-09+0.00109836j]]
-909.1769139488861j,[[-5.6425218e-09+0.00109987j]]
-907.9202768874502j,[[-5.64840111e-09+0.0011014j]]
-906.6636398260143j,[[-5.6653758e-09+0.00110292j]]
-905.4070027645785j,[[-5.67966043e-09+0.00110446j]]
-904.1503657031424j,[[-5.69085066e-09+0.00110599j]]
-902.8937286417065j,[[-5.71507651e-09+0.00110753j]]
-901.6370915802706j,[[-5.7327867e-09+0.00110907j]]
-900.3804545188347j,[[-5.75413185e-09+0.00111062j]]
-899.1238174573988j,[[-5.75879295e-09+0.00111217j]]
-897.8671803959629j,[[-5.77535909e-09+0.00111373j]]
-896.610543334527j,[[-5.79413823e-09+0.00111529j]]
-895.353906273091j,[[-5.81269089e-09+0.00111686j]]
-894.0972692116551j,[[-5.83095272e-09+0.00111843j]]
-892.8406321502192j,[[-5.84490898e-09+0.00112j]]
-891.5839950887834j,[[-5.85903727e-09+0.00112158j]]
-890.3273580273474j,[[-5.87781905e-09+0.00112316j]]
-889.0707209659115j,[[-5.89435217e-09+0.00112475j]]
-887.8140839044756j,[[-5.90604488e-09+0.00112634j]]
-886.5574468430395j,[[-5.92146362e-09+0.00112794j]]
-885.3008097816037j,[[-5.94113633e-09+0.00112954j]]
-884.0441727201678j,[[-5.95949707e-09+0.00113114j]]
-882.7875356587319j,[[-5.97469897e-09+0.00113275j]]
-881.5308985972958j,[[-5.99475436e-09+0.00113437j]]
-880.27426153586j,[[-6.01386276e-09+0.00113599j]]
-879.0176244744241j,[[-6.03242434e-09+0.00113761j]]
-877.7609874129881j,[[-6.04027445e-09+0.00113924j]]
-876.5043503515523j,[[-6.06240712e-09+0.00114088j]]
-875.2477132901164j,[[-6.08086502e-09+0.00114251j]]
-873.9910762286805j,[[-6.10122285e-09+0.00114416j]]
-872.7344391672444j,[[-6.11755934e-09+0.0011458j]]
-871.4778021058086j,[[-6.13318748e-09+0.00114746j]]
-870.2211650443727j,[[-6.15581249e-09+0.00114911j]]
-868.9645279829368j,[[-6.16938527e-09+0.00115077j]]
-867.7078909215008j,[[-6.19187718e-09+0.00115244j]]
-866.451253860065j,[[-6.19410584e-09+0.00115411j]]
-865.1946167986291j,[[-6.2334728e-09+0.00115579j]]
-863.937979737193j,[[-6.24311188e-09+0.00115747j]]
-862.6813426757572j,[[-6.25918331e-09+0.00115915j]]
-861.4247056143213j,[[-6.2687084e-09+0.00116085j]]
-860.1680685528854j,[[-6.2965487e-09+0.00116254j]]
-858.9114314914493j,[[-6.31095749e-09+0.00116424j]]
-857.6547944300135j,[[-6.32464474e-09+0.00116595j]]
-856.3981573685776j,[[-6.34529954e-09+0.00116766j]]
-855.1415203071417j,[[-6.36861739e-09+0.00116937j]]
-853.8848832457057j,[[-6.38561362e-09+0.00117109j]]
-852.6282461842699j,[[-6.40345619e-09+0.00117282j]]
-851.371609122834j,[[-6.42742111e-09+0.00117455j]]
-850.1149720613979j,[[-6.45363982e-09+0.00117629j]]
-848.858334999962j,[[-6.46408029e-09+0.00117803j]]
-847.6016979385262j,[[-6.48817797e-09+0.00117978j]]
-846.3450608770903j,[[-6.52042878e-09+0.00118153j]]
-845.0884238156543j,[[-6.52622585e-09+0.00118328j]]
-843.8317867542185j,[[-6.53833774e-09+0.00118505j]]
-842.5751496927826j,[[-6.55955432e-09+0.00118682j]]
-841.3185126313467j,[[-6.58961882e-09+0.00118858j]]
-840.0618755699106j,[[-6.59636987e-09+0.00119036j]]
-838.8052385084748j,[[-6.61832634e-09+0.00119215j]]
-837.5486014470389j,[[-6.63825469e-09+0.00119393j]]
-836.2919643856028j,[[-6.65706178e-09+0.00119573j]]
-835.0353273241669j,[[-6.67386807e-09+0.00119753j]]
-833.7786902627311j,[[-6.70190925e-09+0.00119933j]]
-832.5220532012952j,[[-6.71606418e-09+0.00120115j]]
-831.2654161398592j,[[-6.74441016e-09+0.00120296j]]
-830.0087790784233j,[[-6.75388542e-09+0.00120478j]]
-828.7521420169875j,[[-6.77866669e-09+0.00120661j]]
-827.4955049555516j,[[-6.81071368e-09+0.00120844j]]
-826.2388678941155j,[[-6.83333549e-09+0.00121028j]]
-824.9822308326796j,[[-6.84420075e-09+0.00121212j]]
-823.7255937712438j,[[-6.86683664e-09+0.00121397j]]
-822.4689567098078j,[[-6.87599512e-09+0.00121582j]]
-821.2123196483719j,[[-6.90572115e-09+0.00121769j]]
-819.9556825869361j,[[-6.92576276e-09+0.00121955j]]
-818.6990455255001j,[[-6.95328214e-09+0.00122143j]]
-817.4424084640642j,[[-6.97889685e-09+0.0012233j]]
-816.1857714026282j,[[-6.99779519e-09+0.00122519j]]
-814.9291343411924j,[[-7.01733215e-09+0.00122708j]]
-813.6724972797564j,[[-7.03361091e-09+0.00122897j]]
-812.4158602183205j,[[-7.07149258e-09+0.00123087j]]
-811.1592231568845j,[[-7.07420164e-09+0.00123278j]]
-809.9025860954487j,[[-7.08900048e-09+0.00123469j]]
-808.6459490340128j,[[-7.11792734e-09+0.00123661j]]
-807.3893119725768j,[[-7.15457382e-09+0.00123853j]]
-806.132674911141j,[[-7.17568694e-09+0.00124046j]]
-804.876037849705j,[[-7.19121782e-09+0.0012424j]]
-803.6194007882691j,[[-7.21443464e-09+0.00124434j]]
-802.3627637268331j,[[-7.2406818e-09+0.0012463j]]
