iw_n,G_iw_n
-4709.2473877310995j,[[-1.22950804e-10+0.00021235j]]
-4702.96420242392j,[[-1.23345189e-10+0.00021263j]]
-4696.681017116741j,[[-1.23668422e-10+0.00021292j]]
-4690.3978318095615j,[[-1.24029297e-10+0.0002132j]]
-4684.114646502381j,[[-1.24178175e-10+0.00021349j]]
-4677.831461195202j,[[-1.24632873e-10+0.00021377j]]
-4671.5482758880225j,[[-1.2505688e-10+0.00021406j]]
-4665.265090580843j,[[-1.25245929e-10+0.00021435j]]
-4658.981905273663j,[[-1.25716483e-10+0.00021464j]]
-4652.698719966484j,[[-1.25874672e-10+0.00021493j]]
-4646.415534659304j,[[-1.26338578e-10+0.00021522j]]
-4640.132349352124j,[[-1.26561476e-10+0.00021551j]]
-4633.849164044945j,[[-1.26891518e-10+0.0002158j]]
-4627.565978737765j,[[-1.27364543e-10+0.0002161j]]
-4621.282793430586j,[[-1.27698302e-10+0.00021639j]]
-4614.999608123406j,[[-1.28062356e-10+0.00021668j]]
-4608.716422816226j,[[-1.28318139e-10+0.00021698j]]
-4602.433237509047j,[[-1.28630922e-10+0.00021728j]]
-4596.150052201868j,[[-1.29153654e-10+0.00021757j]]
-4589.8668668946875j,[[-1.29460086e-10+0.00021787j]]
-4583.583681587508j,[[-1.298184e-10+0.00021817j]]
-4577.300496280329j,[[-1.30129794e-10+0.00021847j]]
-4571.017310973149j,[[-1.3062703e-10+0.00021877j]]
-4564.734125665969j,[[-1.30854993e-10+0.00021907j]]
-4558.45094035879j,[[-1.31279441e-10+0.00021937j]]
-4552.167755051611j,[[-1.31473516e-10+0.00021968j]]
-4545.88456974443j,[[-1.31962137e-10+0.00021998j]]
-4539.601384437251j,[[-1.3242882e-10+0.00022028j]]
-4533.318199130072j,[[-1.32752727e-10+0.00022059j]]
-4527.035013822892j,[[-1.33149491e-10+0.00022089j]]
-4520.751828515712j,[[-1.33542568e-10+0.0002212j]]
-4514.468643208533j,[[-1.33593321e-10+0.00022151j]]
-4508.185457901353j,[[-1.34292081e-10+0.00022182j]]
-4501.902272594173j,[[-1.34509524e-10+0.00022213j]]
-4495.619087286994j,[[-1.35005395e-10+0.00022244j]]
-4489.3359019798145j,[[-1.35287178e-10+0.00022275j]]
-4483.052716672635j,[[-1.35782139e-10+0.00022306j]]
-4476.769531365455j,[[-1.35966024e-10+0.00022338j]]
-4470.486346058276j,[[-1.36452811e-10+0.00022369j]]
-4464.203160751096j,[[-1.36856166e-10+0.000224j]]
-4457.919975443917j,[[-1.37393387e-10+0.00022432j]]
-4451.636790136737j,[[-1.37545485e-10+0.00022464j]]
-4445.353604829557j,[[-1.37978332e-10+0.00022495j]]
-4439.070419522378j,[[-1.38536374e-10+0.00022527j]]
-4432.787234215198j,[[-1.38732323e-10+0.00022559j]]
-4426.504048908018j,[[-1.3926902e-10+0.00022591j]]
-4420.220863600839j,[[-1.39564812e-10+0.00022623j]]
-4413.93767829366j,[[-1.39923121e-10+0.00022655j]]
-4407.654492986479j,[[-1.40377035e-10+0.00022688j]]
-4401.3713076793j,[[-1.40798821e-10+0.0002272j]]
-4395.088122372121j,[[-1.4113393e-10+0.00022753j]]
-4388.8049370649405j,[[-1.41670413e-10+0.00022785j]]
-4382.521751757761j,[[-1.41806691e-10+0.00022818j]]
-4376.238566450582j,[[-1.4247237e-10+0.00022851j]]
-4369.9553811434025j,[[-1.42975307e-10+0.00022884j]]
-4363.672195836222j,[[-1.43102839e-10+0.00022916j]]
-4357.389010529043j,[[-1.43710132e-10+0.00022949j]]
-4351.105825221864j,[[-1.44053798e-10+0.00022983j]]
-4344.822639914684j,[[-1.44370013e-10+0.00023016j]]
-4338.539454607504j,[[-1.44903294e-10+0.00023049j]]
-4332.256269300325j,[[-1.45531651e-10+0.00023083j]]
-4325.973083993145j,[[-1.45670626e-10+0.00023116j]]
-4319.689898685965j,[[-1.4615653e-10+0.0002315j]]
-4313.406713378786j,[[-1.4670736e-10+0.00023184j]]
-4307.123528071606j,[[-1.47035643e-10+0.00023217j]]
-4300.840342764427j,[[-1.47271227e-10+0.00023251j]]
-4294.557157457247j,[[-1.47937584e-10+0.00023285j]]
-4288.2739721500675j,[[-1.48216611e-10+0.00023319j]]
-4281.990786842888j,[[-1.48978095e-10+0.00023354j]]
-4275.707601535709j,[[-1.49279615e-10+0.00023388j]]
-4269.424416228529j,[[-1.49483788e-10+0.00023422j]]
-4263.141230921349j,[[-1.50176182e-10+0.00023457j]]
-4256.85804561417j,[[-1.50585757e-10+0.00023491j]]
-4250.57486030699j,[[-1.50702053e-10+0.00023526j]]
-4244.29167499981j,[[-1.51462175e-10+0.00023561j]]
-4238.008489692631j,[[-1.51839376e-10+0.00023596j]]
-4231.725304385452j,[[-1.52316344e-10+0.00023631j]]
-4225.442119078271j,[[-1.5266876e-10+0.00023666j]]
-4219.158933771092j,[[-1.53064939e-10+0.00023701j]]
-4212.875748463913j,[[-1.53663313e-10+0.00023737j]]
-4206.592563156733j,[[-1.53992099e-10+0.00023772j]]
-4200.309377849553j,[[-1.54679336e-10+0.00023808j]]
-4194.026192542374j,[[-1.54933154e-10+0.00023843j]]
-4187.743007235194j,[[-1.55541465e-10+0.00023879j]]
-4181.459821928014j,[[-1.56011303e-10+0.00023915j]]
-4175.176636620835j,[[-1.56630741e-10+0.00023951j]]
-4168.8934513136555j,[[-1.56892266e-10+0.00023987j]]
-4162.610266006476j,[[-1.57423577e-10+0.00024023j]]
-4156.327080699296j,[[-1.57986433e-10+0.0002406j]]
-4150.043895392117j,[[-1.58511116e-10+0.00024096j]]
-4143.760710084937j,[[-1.58607247e-10+0.00024133j]]
-4137.477524777758j,[[-1.59371238e-10+0.00024169j]]
-4131.194339470578j,[[-1.59759487e-10+0.00024206j]]
-4124.911154163398j,[[-1.60445304e-10+0.00024243j]]
-4118.627968856219j,[[-1.60977701e-10+0.0002428j]]
-4112.344783549039j,[[-1.61435157e-10+0.00024317j]]
-4106.061598241859j,[[-1.61650855e-10+0.00024354j]]
-4099.77841293468j,[[-1.62276722e-10+0.00024392j]]
-4093.4952276275003j,[[-1.62790988e-10+0.00024429j]]
-4087.212042320321j,[[-1.63298177e-10+0.00024467j]]
-4080.928857013141j,[[-1.63757664e-10+0.00024504j]]
-4074.645671705962j,[[-1.64278855e-10+0.00024542j]]
-4068.362486398782j,[[-1.64806936e-10+0.0002458j]]
-4062.0793010916027j,[[-1.65440736e-10+0.00024618j]]
-4055.796115784423j,[[-1.65775508e-10+0.00024656j]]
-4049.512930477243j,[[-1.66388981e-10+0.00024694j]]
-4043.229745170064j,[[-1.66825542e-10+0.00024733j]]
-4036.946559862884j,[[-1.67506428e-10+0.00024771j]]
-4030.6633745557046j,[[-1.67844722e-10+0.0002481j]]
-4024.380189248525j,[[-1.68456621e-10+0.00024848j]]
-4018.0970039413455j,[[-1.68993181e-10+0.00024887j]]
-4011.8138186341657j,[[-1.69431502e-10+0.00024926j]]
-4005.5306333269864j,[[-1.69949611e-10+0.00024965j]]
-3999.2474480198066j,[[-1.70675836e-10+0.00025005j]]
-3992.9642627126273j,[[-1.70997796e-10+0.00025044j]]
-3986.6810774054475j,[[-1.71539506e-10+0.00025083j]]
-3980.3978920982677j,[[-1.72239757e-10+0.00025123j]]
-3974.1147067910883j,[[-1.72532301e-10+0.00025163j]]
-3967.8315214839085j,[[-1.73228913e-10+0.00025203j]]
-3961.548336176729j,[[-1.7383657e-10+0.00025243j]]
-3955.2651508695494j,[[-1.74432187e-10+0.00025283j]]
-3948.98196556237j,[[-1.74689e-10+0.00025323j]]
-3942.6987802551903j,[[-1.75642525e-10+0.00025363j]]
-3936.415594948011j,[[-1.75948107e-10+0.00025404j]]
-3930.132409640831j,[[-1.76724037e-10+0.00025444j]]
-3923.849224333652j,[[-1.7717341e-10+0.00025485j]]
-3917.566039026472j,[[-1.77635446e-10+0.00025526j]]
-3911.2828537192922j,[[-1.78126565e-10+0.00025567j]]
-3904.999668412113j,[[-1.78778391e-10+0.00025608j]]
-3898.716483104933j,[[-1.79511356e-10+0.00025649j]]
-3892.4332977977538j,[[-1.80008116e-10+0.00025691j]]
-3886.150112490574j,[[-1.80572596e-10+0.00025732j]]
-3879.8669271833946j,[[-1.81177137e-10+0.00025774j]]
-3873.583741876215j,[[-1.81770317e-10+0.00025816j]]
-3867.3005565690355j,[[-1.82483689e-10+0.00025858j]]
-3861.0173712618557j,[[-1.82989917e-10+0.000259j]]
-3854.7341859546764j,[[-1.83609604e-10+0.00025942j]]
-3848.4510006474966j,[[-1.840186e-10+0.00025984j]]
-3842.167815340317j,[[-1.84625267e-10+0.00026027j]]
-3835.8846300331375j,[[-1.85483128e-10+0.0002607j]]
-3829.6014447259577j,[[-1.85976359e-10+0.00026112j]]
-3823.3182594187783j,[[-1.86596288e-10+0.00026155j]]
-3817.0350741115985j,[[-1.87296313e-10+0.00026198j]]
-3810.751888804419j,[[-1.87973551e-10+0.00026241j]]
-3804.4687034972394j,[[-1.88489197e-10+0.00026285j]]
-3798.18551819006j,[[-1.89074287e-10+0.00026328j]]
-3791.9023328828803j,[[-1.89796095e-10+0.00026372j]]
-3785.6191475757005j,[[-1.90211114e-10+0.00026416j]]
-3779.335962268521j,[[-1.90868395e-10+0.0002646j]]
-3773.0527769613414j,[[-1.91678132e-10+0.00026504j]]
-3766.769591654162j,[[-1.92127453e-10+0.00026548j]]
-3760.486406346982j,[[-1.92829626e-10+0.00026592j]]
-3754.203221039803j,[[-1.93694165e-10+0.00026637j]]
-3747.920035732623j,[[-1.94086328e-10+0.00026681j]]
-3741.6368504254438j,[[-1.94867188e-10+0.00026726j]]
-3735.353665118264j,[[-1.95318667e-10+0.00026771j]]
-3729.0704798110846j,[[-1.96349512e-10+0.00026816j]]
-3722.787294503905j,[[-1.96743199e-10+0.00026862j]]
-3716.504109196725j,[[-1.97428564e-10+0.00026907j]]
-3710.2209238895457j,[[-1.9825521e-10+0.00026953j]]
-3703.937738582366j,[[-1.98729727e-10+0.00026998j]]
-3697.6545532751866j,[[-1.99251226e-10+0.00027044j]]
-3691.371367968007j,[[-2.00328697e-10+0.0002709j]]
-3685.0881826608274j,[[-2.00892802e-10+0.00027136j]]
-3678.8049973536477j,[[-2.01358494e-10+0.00027183j]]
-3672.5218120464683j,[[-2.02273174e-10+0.00027229j]]
-3666.2386267392885j,[[-2.02943721e-10+0.00027276j]]
-3659.955441432109j,[[-2.03620086e-10+0.00027323j]]
-3653.6722561249294j,[[-2.0434139e-10+0.0002737j]]
-3647.3890708177496j,[[-2.04984747e-10+0.00027417j]]
-3641.1058855105703j,[[-2.0578101e-10+0.00027464j]]
-3634.8227002033905j,[[-2.06299597e-10+0.00027512j]]
-3628.539514896211j,[[-2.07169084e-10+0.00027559j]]
-3622.2563295890313j,[[-2.07707666e-10+0.00027607j]]
-3615.973144281852j,[[-2.08758114e-10+0.00027655j]]
-3609.689958974672j,[[-2.09255655e-10+0.00027703j]]
-3603.406773667493j,[[-2.10013257e-10+0.00027751j]]
-3597.123588360313j,[[-2.10821607e-10+0.000278j]]
-3590.8404030531337j,[[-2.11338807e-10+0.00027849j]]
-3584.557217745954j,[[-2.12217132e-10+0.00027897j]]
-3578.274032438774j,[[-2.13003289e-10+0.00027946j]]
-3571.990847131595j,[[-2.13861748e-10+0.00027996j]]
-3565.707661824415j,[[-2.14765022e-10+0.00028045j]]
-3559.4244765172357j,[[-2.15155829e-10+0.00028094j]]
-3553.141291210056j,[[-2.159456e-10+0.00028144j]]
-3546.8581059028766j,[[-2.1661627e-10+0.00028194j]]
-3540.5749205956968j,[[-2.17582159e-10+0.00028244j]]
-3534.2917352885174j,[[-2.18368989e-10+0.00028294j]]
-3528.0085499813376j,[[-2.19186734e-10+0.00028345j]]
