iw_n,G_iw_n
-2242.498756062428j,"[[6.33125229e-15+4.45930538e-04j 1.72363675e-07-9.95142138e-08j
  1.72060039e-07+9.93389114e-08j]
 [1.72060039e-07+9.93389114e-08j 6.33125229e-15+4.45930538e-04j
  1.72363675e-07-9.95142138e-08j]
 [1.72363675e-07-9.95142138e-08j 1.72060039e-07+9.93389114e-08j
  6.33125229e-15+4.45930538e-04j]]"
-2239.5067630590097j,"[[9.35424338e-15+4.46526336e-04j 1.72830546e-07-9.97837676e-08j
  1.72514251e-07+9.96011517e-08j]
 [1.72514251e-07+9.96011517e-08j 9.35424338e-15+4.46526336e-04j
  1.72830546e-07-9.97837676e-08j]
 [1.72830546e-07-9.97837676e-08j 1.72514251e-07+9.96011517e-08j
  9.35424338e-15+4.46526336e-04j]]"
-2236.514770055591j,"[[-7.07235817e-15+4.47123715e-04j  1.73294481e-07-1.00051610e-07j
   1.72983466e-07+9.98720452e-08j]
 [ 1.72983466e-07+9.98720452e-08j -7.07235817e-15+4.47123715e-04j
   1.73294481e-07-1.00051610e-07j]
 [ 1.73294481e-07-1.00051610e-07j  1.72983466e-07+9.98720452e-08j
  -7.07235817e-15+4.47123715e-04j]]"
-2233.522777052172j,"[[-4.36966459e-15+4.47722611e-04j  1.73754097e-07-1.00316976e-07j
   1.73453896e-07+1.00143659e-07j]
 [ 1.73453896e-07+1.00143659e-07j -4.36966459e-15+4.47722611e-04j
   1.73754097e-07-1.00316976e-07j]
 [ 1.73754097e-07-1.00316976e-07j  1.73453896e-07+1.00143659e-07j
  -4.36966459e-15+4.47722611e-04j]]"
-2230.530784048753j,"[[8.40051764e-15+4.48323218e-04j 1.74227050e-07-1.00590032e-07j
  1.73909082e-07+1.00406453e-07j]
 [1.73909082e-07+1.00406453e-07j 8.40051764e-15+4.48323218e-04j
  1.74227050e-07-1.00590032e-07j]
 [1.74227050e-07-1.00590032e-07j 1.73909082e-07+1.00406453e-07j
  8.40051764e-15+4.48323218e-04j]]"
-2227.538791045334j,"[[1.78938610e-15+4.48925411e-04j 1.74700995e-07-1.00863666e-07j
  1.74380946e-07+1.00678886e-07j]
 [1.74380946e-07+1.00678886e-07j 1.78938610e-15+4.48925411e-04j
  1.74700995e-07-1.00863666e-07j]
 [1.74700995e-07-1.00863666e-07j 1.74380946e-07+1.00678886e-07j
  1.78938610e-15+4.48925411e-04j]]"
-2224.5467980419153j,"[[-8.02481703e-15+4.49529173e-04j  1.75160786e-07-1.01129127e-07j
   1.74852439e-07+1.00951105e-07j]
 [ 1.74852439e-07+1.00951105e-07j -8.02481703e-15+4.49529173e-04j
   1.75160786e-07-1.01129127e-07j]
 [ 1.75160786e-07-1.01129127e-07j  1.74852439e-07+1.00951105e-07j
  -8.02481703e-15+4.49529173e-04j]]"
-2221.554805038497j,"[[1.60243894e-15+4.50134604e-04j 1.75625434e-07-1.01397394e-07j
  1.75321128e-07+1.01221701e-07j]
 [1.75321128e-07+1.01221701e-07j 1.60243894e-15+4.50134604e-04j
  1.75625434e-07-1.01397394e-07j]
 [1.75625434e-07-1.01397394e-07j 1.75321128e-07+1.01221701e-07j
  1.60243894e-15+4.50134604e-04j]]"
-2218.5628120350775j,"[[4.40383762e-15+4.50741642e-04j 1.76110914e-07-1.01677687e-07j
  1.75782379e-07+1.01488002e-07j]
 [1.75782379e-07+1.01488002e-07j 4.40383762e-15+4.50741642e-04j
  1.76110914e-07-1.01677687e-07j]
 [1.76110914e-07-1.01677687e-07j 1.75782379e-07+1.01488002e-07j
  4.40383762e-15+4.50741642e-04j]]"
-2215.5708190316586j,"[[-2.94118959e-15+4.51350350e-04j  1.76587257e-07-1.01952694e-07j
   1.76265283e-07+1.01766802e-07j]
 [ 1.76265283e-07+1.01766802e-07j -2.94118959e-15+4.51350350e-04j
   1.76587257e-07-1.01952694e-07j]
 [ 1.76587257e-07-1.01952694e-07j  1.76265283e-07+1.01766802e-07j
  -2.94118959e-15+4.51350350e-04j]]"
