iw_n,G_iw_n
-941.8494775462199j,"[[1.15133959e-13+1.06170315e-03j 9.77888513e-07-5.64584353e-07j
  9.73979559e-07+5.62326492e-07j]
 [9.73979559e-07+5.62326492e-07j 1.15133959e-13+1.06170315e-03j
  9.77888513e-07-5.64584353e-07j]
 [9.77888513e-07-5.64584353e-07j 9.73979559e-07+5.62326492e-07j
  1.15133959e-13+1.06170315e-03j]]"
-940.592840484784j,"[[7.37827729e-14+1.06312176e-03j 9.80169954e-07-5.65901653e-07j
  9.76433952e-07+5.63744205e-07j]
 [9.76433952e-07+5.63744205e-07j 7.37827729e-14+1.06312176e-03j
  9.80169954e-07-5.65901653e-07j]
 [9.80169954e-07-5.65901653e-07j 9.76433952e-07+5.63744205e-07j
  7.37827729e-14+1.06312176e-03j]]"
-939.3362034233481j,"[[3.03929637e-14+1.06454587e-03j 9.83447855e-07-5.67793696e-07j
  9.79623258e-07+5.65585941e-07j]
 [9.79623258e-07+5.65585941e-07j 3.03929637e-14+1.06454587e-03j
  9.83447855e-07-5.67793696e-07j]
 [9.83447855e-07-5.67793696e-07j 9.79623258e-07+5.65585941e-07j
  3.03929637e-14+1.06454587e-03j]]"
-938.0795663619123j,"[[7.12105038e-14+1.06597059e-03j 9.86083984e-07-5.69315317e-07j
  9.81542579e-07+5.66694183e-07j]
 [9.81542579e-07+5.66694183e-07j 7.12105038e-14+1.06597059e-03j
  9.86083984e-07-5.69315317e-07j]
 [9.86083984e-07-5.69315317e-07j 9.81542579e-07+5.66694183e-07j
  7.12105038e-14+1.06597059e-03j]]"
-936.8229293004763j,"[[-4.44316658e-14+1.06740157e-03j  9.89337233e-07-5.71194872e-07j
   9.84649080e-07+5.68486861e-07j]
 [ 9.84649080e-07+5.68486861e-07j -4.44316658e-14+1.06740157e-03j
   9.89337233e-07-5.71194872e-07j]
 [ 9.89337233e-07-5.71194872e-07j  9.84649080e-07+5.68486861e-07j
  -4.44316658e-14+1.06740157e-03j]]"
-935.5662922390404j,"[[8.76425757e-14+1.06883598e-03j 9.91575671e-07-5.72487154e-07j
  9.86701408e-07+5.69671984e-07j]
 [9.86701408e-07+5.69671984e-07j 8.76425757e-14+1.06883598e-03j
  9.91575671e-07-5.72487154e-07j]
 [9.91575671e-07-5.72487154e-07j 9.86701408e-07+5.69671984e-07j
  8.76425757e-14+1.06883598e-03j]]"
-934.3096551776046j,"[[2.52277851e-13+1.07027500e-03j 9.93762015e-07-5.73748942e-07j
  9.89165400e-07+5.71095482e-07j]
 [9.89165400e-07+5.71095482e-07j 2.52277851e-13+1.07027500e-03j
  9.93762015e-07-5.73748942e-07j]
 [9.93762015e-07-5.73748942e-07j 9.89165400e-07+5.71095482e-07j
  2.52277851e-13+1.07027500e-03j]]"
-933.0530181161687j,"[[5.33222277e-13+1.07171308e-03j 9.96499009e-07-5.75328339e-07j
  9.92922985e-07+5.73264627e-07j]
 [9.92922985e-07+5.73264627e-07j 5.33222277e-13+1.07171308e-03j
  9.96499009e-07-5.75328339e-07j]
 [9.96499009e-07-5.75328339e-07j 9.92922985e-07+5.73264627e-07j
  5.33222277e-13+1.07171308e-03j]]"
-931.7963810547326j,"[[4.33756863e-13+1.07315972e-03j 9.99190081e-07-5.76882748e-07j
  9.95357517e-07+5.74669653e-07j]
 [9.95357517e-07+5.74669653e-07j 4.33756863e-13+1.07315972e-03j
  9.99190081e-07-5.76882748e-07j]
 [9.99190081e-07-5.76882748e-07j 9.95357517e-07+5.74669653e-07j
  4.33756863e-13+1.07315972e-03j]]"
-930.5397439932967j,"[[2.97420122e-13+1.07460771e-03j 1.00267330e-06-5.78894169e-07j
  9.98450273e-07+5.76454741e-07j]
 [9.98450273e-07+5.76454741e-07j 2.97420122e-13+1.07460771e-03j
  1.00267330e-06-5.78894169e-07j]
 [1.00267330e-06-5.78894169e-07j 9.98450273e-07+5.76454741e-07j
  2.97420122e-13+1.07460771e-03j]]"
-929.2831069318609j,"[[3.50645181e-14+1.07606207e-03j 1.00501208e-06-5.80244018e-07j
  1.00057598e-06+5.77683154e-07j]
 [1.00057598e-06+5.77683154e-07j 3.50645181e-14+1.07606207e-03j
  1.00501208e-06-5.80244018e-07j]
 [1.00501208e-06-5.80244018e-07j 1.00057598e-06+5.77683154e-07j
  3.50645181e-14+1.07606207e-03j]]"
-928.0264698704248j,"[[4.91899550e-14+1.07751927e-03j 1.00781415e-06-5.81861558e-07j
  1.00311058e-06+5.79146338e-07j]
 [1.00311058e-06+5.79146338e-07j 4.91899550e-14+1.07751927e-03j
  1.00781415e-06-5.81861558e-07j]
 [1.00781415e-06-5.81861558e-07j 1.00311058e-06+5.79146338e-07j
  4.91899550e-14+1.07751927e-03j]]"
-926.7698328089889j,"[[-1.22559861e-14+1.07898217e-03j  1.01051366e-06-5.83420371e-07j
   1.00539516e-06+5.80464906e-07j]
 [ 1.00539516e-06+5.80464906e-07j -1.22559861e-14+1.07898217e-03j
   1.01051366e-06-5.83420371e-07j]
 [ 1.01051366e-06-5.83420371e-07j  1.00539516e-06+5.80464906e-07j
  -1.22559861e-14+1.07898217e-03j]]"
-925.513195747553j,"[[-1.13553484e-14+1.08044465e-03j  1.01298215e-06-5.84846604e-07j
   1.00871623e-06+5.82381861e-07j]
 [ 1.00871623e-06+5.82381861e-07j -1.13553484e-14+1.08044465e-03j
   1.01298215e-06-5.84846604e-07j]
 [ 1.01298215e-06-5.84846604e-07j  1.00871623e-06+5.82381861e-07j
  -1.13553484e-14+1.08044465e-03j]]"
-924.2565586861172j,"[[-1.05939866e-13+1.08191649e-03j  1.01557877e-06-5.86344850e-07j
   1.01199782e-06+5.84277197e-07j]
 [ 1.01199782e-06+5.84277197e-07j -1.05939866e-13+1.08191649e-03j
   1.01557877e-06-5.86344850e-07j]
 [ 1.01557877e-06-5.86344850e-07j  1.01199782e-06+5.84277197e-07j
  -1.05939866e-13+1.08191649e-03j]]"
-922.9999216246812j,"[[-1.48510987e-13+1.08338702e-03j  1.01876674e-06-5.88184923e-07j
   1.01398425e-06+5.85424631e-07j]
 [ 1.01398425e-06+5.85424631e-07j -1.48510987e-13+1.08338702e-03j
   1.01876674e-06-5.88184923e-07j]
 [ 1.01876674e-06-5.88184923e-07j  1.01398425e-06+5.85424631e-07j
  -1.48510987e-13+1.08338702e-03j]]"
-921.7432845632453j,"[[-3.17570724e-13+1.08486609e-03j  1.02142716e-06-5.89720869e-07j
   1.01799782e-06+5.87740907e-07j]
 [ 1.01799782e-06+5.87740907e-07j -3.17570724e-13+1.08486609e-03j
   1.02142716e-06-5.89720869e-07j]
 [ 1.02142716e-06-5.89720869e-07j  1.01799782e-06+5.87740907e-07j
  -3.17570724e-13+1.08486609e-03j]]"
-920.4866475018094j,"[[-2.96985898e-13+1.08634573e-03j  1.02384924e-06-5.91120288e-07j
   1.01949732e-06+5.88606494e-07j]
 [ 1.01949732e-06+5.88606494e-07j -2.96985898e-13+1.08634573e-03j
   1.02384924e-06-5.91120288e-07j]
 [ 1.02384924e-06-5.91120288e-07j  1.01949732e-06+5.88606494e-07j
  -2.96985898e-13+1.08634573e-03j]]"
-919.2300104403736j,"[[-3.13477405e-13+1.08783089e-03j  1.02670573e-06-5.92769267e-07j
   1.02223028e-06+5.90184606e-07j]
 [ 1.02223028e-06+5.90184606e-07j -3.13477405e-13+1.08783089e-03j
   1.02670573e-06-5.92769267e-07j]
 [ 1.02670573e-06-5.92769267e-07j  1.02223028e-06+5.90184606e-07j
  -3.13477405e-13+1.08783089e-03j]]"
-917.9733733789375j,"[[-3.32147117e-13+1.08932223e-03j  1.03061550e-06-5.95025790e-07j
   1.02555318e-06+5.92104110e-07j]
 [ 1.02555318e-06+5.92104110e-07j -3.32147117e-13+1.08932223e-03j
   1.03061550e-06-5.95025790e-07j]
 [ 1.03061550e-06-5.95025790e-07j  1.02555318e-06+5.92104110e-07j
  -3.32147117e-13+1.08932223e-03j]]"
-916.7167363175016j,"[[-2.96877522e-13+1.09081203e-03j  1.03290411e-06-5.96347532e-07j
   1.02787300e-06+5.93442562e-07j]
 [ 1.02787300e-06+5.93442562e-07j -2.96877522e-13+1.09081203e-03j
   1.03290411e-06-5.96347532e-07j]
 [ 1.03290411e-06-5.96347532e-07j  1.02787300e-06+5.93442562e-07j
  -2.96877522e-13+1.09081203e-03j]]"
-915.4600992560657j,"[[-6.37460955e-14+1.09230878e-03j  1.03551552e-06-5.97855617e-07j
   1.03093913e-06+5.95212455e-07j]
 [ 1.03093913e-06+5.95212455e-07j -6.37460955e-14+1.09230878e-03j
   1.03551552e-06-5.97855617e-07j]
 [ 1.03551552e-06-5.97855617e-07j  1.03093913e-06+5.95212455e-07j
  -6.37460955e-14+1.09230878e-03j]]"
-914.2034621946298j,"[[1.48540207e-13+1.09380936e-03j 1.03782837e-06-5.99191190e-07j
  1.03358551e-06+5.96740639e-07j]
 [1.03358551e-06+5.96740639e-07j 1.48540207e-13+1.09380936e-03j
  1.03782837e-06-5.99191190e-07j]
 [1.03782837e-06-5.99191190e-07j 1.03358551e-06+5.96740639e-07j
  1.48540207e-13+1.09380936e-03j]]"
-912.9468251331939j,"[[2.27111764e-13+1.09531634e-03j 1.04085136e-06-6.00935147e-07j
  1.03744567e-06+5.98969894e-07j]
 [1.03744567e-06+5.98969894e-07j 2.27111764e-13+1.09531634e-03j
  1.04085136e-06-6.00935147e-07j]
 [1.04085136e-06-6.00935147e-07j 1.03744567e-06+5.98969894e-07j
  2.27111764e-13+1.09531634e-03j]]"
-911.690188071758j,"[[1.76582294e-13+1.09682477e-03j 1.04474077e-06-6.03180919e-07j
  1.03944030e-06+6.00121290e-07j]
 [1.03944030e-06+6.00121290e-07j 1.76582294e-13+1.09682477e-03j
  1.04474077e-06-6.03180919e-07j]
 [1.04474077e-06-6.03180919e-07j 1.03944030e-06+6.00121290e-07j
  1.76582294e-13+1.09682477e-03j]]"
-910.4335510103222j,"[[2.98780533e-14+1.09833872e-03j 1.04670975e-06-6.04318180e-07j
  1.04249623e-06+6.01884621e-07j]
 [1.04249623e-06+6.01884621e-07j 2.98780533e-14+1.09833872e-03j
  1.04670975e-06-6.04318180e-07j]
 [1.04670975e-06-6.04318180e-07j 1.04249623e-06+6.01884621e-07j
  2.98780533e-14+1.09833872e-03j]]"
-909.1769139488861j,"[[-4.31713129e-14+1.09985710e-03j  1.05010550e-06-6.06279187e-07j
   1.04573619e-06+6.03755918e-07j]
 [ 1.04573619e-06+6.03755918e-07j -4.31713129e-14+1.09985710e-03j
   1.05010550e-06-6.06279187e-07j]
 [ 1.05010550e-06-6.06279187e-07j  1.04573619e-06+6.03755918e-07j
  -4.31713129e-14+1.09985710e-03j]]"
-907.9202768874502j,"[[-1.19734910e-13+1.10138007e-03j  1.05299557e-06-6.07947083e-07j
   1.04796065e-06+6.05040648e-07j]
 [ 1.04796065e-06+6.05040648e-07j -1.19734910e-13+1.10138007e-03j
   1.05299557e-06-6.07947083e-07j]
 [ 1.05299557e-06-6.07947083e-07j  1.04796065e-06+6.05040648e-07j
  -1.19734910e-13+1.10138007e-03j]]"
-906.6636398260143j,"[[-1.52619733e-13+1.10290418e-03j  1.05541148e-06-6.09341572e-07j
   1.05075778e-06+6.06655829e-07j]
 [ 1.05075778e-06+6.06655829e-07j -1.52619733e-13+1.10290418e-03j
   1.05541148e-06-6.09341572e-07j]
 [ 1.05541148e-06-6.09341572e-07j  1.05075778e-06+6.06655829e-07j
  -1.52619733e-13+1.10290418e-03j]]"
-905.4070027645785j,"[[-3.12035115e-13+1.10443648e-03j  1.05801133e-06-6.10843538e-07j
   1.05352380e-06+6.08251661e-07j]
 [ 1.05352380e-06+6.08251661e-07j -3.12035115e-13+1.10443648e-03j
   1.05801133e-06-6.10843538e-07j]
 [ 1.05801133e-06-6.10843538e-07j  1.05352380e-06+6.08251661e-07j
  -3.12035115e-13+1.10443648e-03j]]"
-904.1503657031424j,"[[-4.07244282e-13+1.10596926e-03j  1.06141815e-06-6.12810340e-07j
   1.05707718e-06+6.10303527e-07j]
 [ 1.05707718e-06+6.10303527e-07j -4.07244282e-13+1.10596926e-03j
   1.06141815e-06-6.12810340e-07j]
 [ 1.06141815e-06-6.12810340e-07j  1.05707718e-06+6.10303527e-07j
  -4.07244282e-13+1.10596926e-03j]]"
-902.8937286417065j,"[[-5.35816246e-13+1.10751153e-03j  1.06361491e-06-6.14078187e-07j
   1.05912973e-06+6.11489241e-07j]
 [ 1.05912973e-06+6.11489241e-07j -5.35816246e-13+1.10751153e-03j
   1.06361491e-06-6.14078187e-07j]
 [ 1.06361491e-06-6.14078187e-07j  1.05912973e-06+6.11489241e-07j
  -5.35816246e-13+1.10751153e-03j]]"
-901.6370915802706j,"[[-4.33828695e-13+1.10905269e-03j  1.06740948e-06-6.16268068e-07j
   1.06318370e-06+6.13829700e-07j]
 [ 1.06318370e-06+6.13829700e-07j -4.33828695e-13+1.10905269e-03j
   1.06740948e-06-6.16268068e-07j]
 [ 1.06740948e-06-6.16268068e-07j  1.06318370e-06+6.13829700e-07j
  -4.33828695e-13+1.10905269e-03j]]"
-900.3804545188347j,"[[-3.48129857e-13+1.11060350e-03j  1.07069037e-06-6.18163351e-07j
   1.06620827e-06+6.15575338e-07j]
 [ 1.06620827e-06+6.15575338e-07j -3.48129857e-13+1.11060350e-03j
   1.07069037e-06-6.18163351e-07j]
 [ 1.07069037e-06-6.18163351e-07j  1.06620827e-06+6.15575338e-07j
  -3.48129857e-13+1.11060350e-03j]]"
-899.1238174573988j,"[[-1.33047065e-13+1.11215488e-03j  1.07360843e-06-6.19848519e-07j
   1.06851530e-06+6.16906959e-07j]
 [ 1.06851530e-06+6.16906959e-07j -1.33047065e-13+1.11215488e-03j
   1.07360843e-06-6.19848519e-07j]
 [ 1.07360843e-06-6.19848519e-07j  1.06851530e-06+6.16906959e-07j
  -1.33047065e-13+1.11215488e-03j]]"
-897.8671803959629j,"[[-2.39788130e-13+1.11371004e-03j  1.07670115e-06-6.21633815e-07j
   1.07221207e-06+6.19042573e-07j]
 [ 1.07221207e-06+6.19042573e-07j -2.39788130e-13+1.11371004e-03j
   1.07670115e-06-6.21633815e-07j]
 [ 1.07670115e-06-6.21633815e-07j  1.07221207e-06+6.19042573e-07j
  -2.39788130e-13+1.11371004e-03j]]"
-896.610543334527j,"[[-2.65533882e-13+1.11527172e-03j  1.07992801e-06-6.23496211e-07j
   1.07430549e-06+6.20251092e-07j]
 [ 1.07430549e-06+6.20251092e-07j -2.65533882e-13+1.11527172e-03j
   1.07992801e-06-6.23496211e-07j]
 [ 1.07992801e-06-6.23496211e-07j  1.07430549e-06+6.20251092e-07j
  -2.65533882e-13+1.11527172e-03j]]"
-895.353906273091j,"[[-3.68900415e-13+1.11683668e-03j  1.08291633e-06-6.25221838e-07j
   1.07774454e-06+6.22236252e-07j]
 [ 1.07774454e-06+6.22236252e-07j -3.68900415e-13+1.11683668e-03j
   1.08291633e-06-6.25221838e-07j]
 [ 1.08291633e-06-6.25221838e-07j  1.07774454e-06+6.22236252e-07j
  -3.68900415e-13+1.11683668e-03j]]"
