iw_n,G_iw_n
-1883.6989550924397j,"[[-2.07558930e-14+5.30869264e-04j  2.44327095e-07-1.41062320e-07j
   2.43807273e-07+1.40762179e-07j]
 [ 2.43807273e-07+1.40762179e-07j -2.07558930e-14+5.30869264e-04j
   2.44327095e-07-1.41062320e-07j]
 [ 2.44327095e-07-1.41062320e-07j  2.43807273e-07+1.40762179e-07j
  -2.07558930e-14+5.30869264e-04j]]"
-1881.185680969568j,"[[5.36323201e-14+5.31578540e-04j 2.44966351e-07-1.41431383e-07j
  2.44464278e-07+1.41141509e-07j]
 [2.44464278e-07+1.41141509e-07j 5.36323201e-14+5.31578540e-04j
  2.44966351e-07-1.41431383e-07j]
 [2.44966351e-07-1.41431383e-07j 2.44464278e-07+1.41141509e-07j
  5.36323201e-14+5.31578540e-04j]]"
-1878.6724068466963j,"[[6.99247624e-14+5.32289796e-04j 2.45638781e-07-1.41819615e-07j
  2.45110195e-07+1.41514444e-07j]
 [2.45110195e-07+1.41514444e-07j 6.99247624e-14+5.32289796e-04j
  2.45638781e-07-1.41819615e-07j]
 [2.45638781e-07-1.41819615e-07j 2.45110195e-07+1.41514444e-07j
  6.99247624e-14+5.32289796e-04j]]"
-1876.1591327238245j,"[[3.16591656e-14+5.33002816e-04j 2.46276813e-07-1.42187975e-07j
  2.45771211e-07+1.41896083e-07j]
 [2.45771211e-07+1.41896083e-07j 3.16591656e-14+5.33002816e-04j
  2.46276813e-07-1.42187975e-07j]
 [2.46276813e-07-1.42187975e-07j 2.45771211e-07+1.41896083e-07j
  3.16591656e-14+5.33002816e-04j]]"
-1873.6458586009526j,"[[2.79808154e-14+5.33717788e-04j 2.46948647e-07-1.42575853e-07j
  2.46406319e-07+1.42262769e-07j]
 [2.46406319e-07+1.42262769e-07j 2.79808154e-14+5.33717788e-04j
  2.46948647e-07-1.42575853e-07j]
 [2.46948647e-07-1.42575853e-07j 2.46406319e-07+1.42262769e-07j
  2.79808154e-14+5.33717788e-04j]]"
-1871.1325844780808j,"[[-1.98798611e-14+5.34434623e-04j  2.47604518e-07-1.42954531e-07j
   2.47094297e-07+1.42659973e-07j]
 [ 2.47094297e-07+1.42659973e-07j -1.98798611e-14+5.34434623e-04j
   2.47604518e-07-1.42954531e-07j]
 [ 2.47604518e-07-1.42954531e-07j  2.47094297e-07+1.42659973e-07j
  -1.98798611e-14+5.34434623e-04j]]"
-1868.619310355209j,"[[-1.05567278e-14+5.35153426e-04j  2.48272674e-07-1.43340288e-07j
   2.47740282e-07+1.43032916e-07j]
 [ 2.47740282e-07+1.43032916e-07j -1.05567278e-14+5.35153426e-04j
   2.48272674e-07-1.43340288e-07j]
 [ 2.48272674e-07-1.43340288e-07j  2.47740282e-07+1.43032916e-07j
  -1.05567278e-14+5.35153426e-04j]]"
-1866.1060362323374j,"[[-1.64566529e-16+5.35874147e-04j  2.48939492e-07-1.43725276e-07j
   2.48408380e-07+1.43418646e-07j]
 [ 2.48408380e-07+1.43418646e-07j -1.64566529e-16+5.35874147e-04j
   2.48939492e-07-1.43725276e-07j]
 [ 2.48939492e-07-1.43725276e-07j  2.48408380e-07+1.43418646e-07j
  -1.64566529e-16+5.35874147e-04j]]"
-1863.5927621094652j,"[[2.63840881e-14+5.36596812e-04j 2.49623009e-07-1.44119913e-07j
  2.49083546e-07+1.43808455e-07j]
 [2.49083546e-07+1.43808455e-07j 2.63840881e-14+5.36596812e-04j
  2.49623009e-07-1.44119913e-07j]
 [2.49623009e-07-1.44119913e-07j 2.49083546e-07+1.43808455e-07j
  2.63840881e-14+5.36596812e-04j]]"
-1861.0794879865934j,"[[3.79008368e-14+5.37321491e-04j 2.50309192e-07-1.44516085e-07j
  2.49769150e-07+1.44204277e-07j]
 [2.49769150e-07+1.44204277e-07j 3.79008368e-14+5.37321491e-04j
  2.50309192e-07-1.44516085e-07j]
 [2.50309192e-07-1.44516085e-07j 2.49769150e-07+1.44204277e-07j
  3.79008368e-14+5.37321491e-04j]]"
-1858.5662138637217j,"[[1.96133270e-15+5.38048063e-04j 2.50986301e-07-1.44907017e-07j
  2.50446372e-07+1.44595271e-07j]
 [2.50446372e-07+1.44595271e-07j 1.96133270e-15+5.38048063e-04j
  2.50986301e-07-1.44907017e-07j]
 [2.50986301e-07-1.44907017e-07j 2.50446372e-07+1.44595271e-07j
  1.96133270e-15+5.38048063e-04j]]"
-1856.0529397408495j,"[[4.50330223e-14+5.38776593e-04j 2.51658203e-07-1.45294941e-07j
  2.51124298e-07+1.44986675e-07j]
 [2.51124298e-07+1.44986675e-07j 4.50330223e-14+5.38776593e-04j
  2.51658203e-07-1.45294941e-07j]
 [2.51658203e-07-1.45294941e-07j 2.51124298e-07+1.44986675e-07j
  4.50330223e-14+5.38776593e-04j]]"
-1853.5396656179778j,"[[1.64627044e-14+5.39507143e-04j 2.52341316e-07-1.45689332e-07j
  2.51807142e-07+1.45380911e-07j]
 [2.51807142e-07+1.45380911e-07j 1.64627044e-14+5.39507143e-04j
  2.52341316e-07-1.45689332e-07j]
 [2.52341316e-07-1.45689332e-07j 2.51807142e-07+1.45380911e-07j
  1.64627044e-14+5.39507143e-04j]]"
-1851.026391495106j,"[[-2.02020608e-14+5.40239628e-04j  2.53028800e-07-1.46086246e-07j
   2.52495950e-07+1.45778602e-07j]
 [ 2.52495950e-07+1.45778602e-07j -2.02020608e-14+5.40239628e-04j
   2.53028800e-07-1.46086246e-07j]
 [ 2.53028800e-07-1.46086246e-07j  2.52495950e-07+1.45778602e-07j
  -2.02020608e-14+5.40239628e-04j]]"
-1848.5131173722343j,"[[-2.56249054e-15+5.40974242e-04j  2.53719384e-07-1.46484950e-07j
   2.53168293e-07+1.46166789e-07j]
 [ 2.53168293e-07+1.46166789e-07j -2.56249054e-15+5.40974242e-04j
   2.53719384e-07-1.46484950e-07j]
 [ 2.53719384e-07-1.46484950e-07j  2.53168293e-07+1.46166789e-07j
  -2.56249054e-15+5.40974242e-04j]]"
-1845.9998432493624j,"[[6.88810499e-15+5.41710692e-04j 2.54403878e-07-1.46880146e-07j
  2.53868225e-07+1.46570896e-07j]
 [2.53868225e-07+1.46570896e-07j 6.88810499e-15+5.41710692e-04j
  2.54403878e-07-1.46880146e-07j]
 [2.54403878e-07-1.46880146e-07j 2.53868225e-07+1.46570896e-07j
  6.88810499e-15+5.41710692e-04j]]"
-1843.4865691264906j,"[[7.37584816e-14+5.42449340e-04j 2.55096496e-07-1.47280033e-07j
  2.54551071e-07+1.46965135e-07j]
 [2.54551071e-07+1.46965135e-07j 7.37584816e-14+5.42449340e-04j
  2.55096496e-07-1.47280033e-07j]
 [2.55096496e-07-1.47280033e-07j 2.54551071e-07+1.46965135e-07j
  7.37584816e-14+5.42449340e-04j]]"
-1840.973295003619j,"[[7.45722506e-14+5.43189771e-04j 2.55813338e-07-1.47693890e-07j
  2.55236019e-07+1.47360583e-07j]
 [2.55236019e-07+1.47360583e-07j 7.45722506e-14+5.43189771e-04j
  2.55813338e-07-1.47693890e-07j]
 [2.55813338e-07-1.47693890e-07j 2.55236019e-07+1.47360583e-07j
  7.45722506e-14+5.43189771e-04j]]"
-1838.4600208807472j,"[[7.38573067e-14+5.43932337e-04j 2.56513120e-07-1.48097910e-07j
  2.55947723e-07+1.47771485e-07j]
 [2.55947723e-07+1.47771485e-07j 7.38573067e-14+5.43932337e-04j
  2.56513120e-07-1.48097910e-07j]
 [2.56513120e-07-1.48097910e-07j 2.55947723e-07+1.47771485e-07j
  7.38573067e-14+5.43932337e-04j]]"
