iw_n,G_iw_n
-941.8494775462199j,"[[4.73203363e-13+1.06171399e-03j 9.78688124e-07-5.65045457e-07j
  9.74503028e-07+5.62629994e-07j]
 [9.74503028e-07+5.62629994e-07j 4.73203363e-13+1.06171399e-03j
  9.78688124e-07-5.65045457e-07j]
 [9.78688124e-07-5.65045457e-07j 9.74503028e-07+5.62629994e-07j
  4.73203363e-13+1.06171399e-03j]]"
-940.592840484784j,"[[1.69835596e-13+1.06313125e-03j 9.80692641e-07-5.66203279e-07j
  9.76981260e-07+5.64060185e-07j]
 [9.76981260e-07+5.64060185e-07j 1.69835596e-13+1.06313125e-03j
  9.80692641e-07-5.66203279e-07j]
 [9.80692641e-07-5.66203279e-07j 9.76981260e-07+5.64060185e-07j
  1.69835596e-13+1.06313125e-03j]]"
-939.3362034233481j,"[[9.35482502e-14+1.06455427e-03j 9.83841663e-07-5.68021627e-07j
  9.79782813e-07+5.65677628e-07j]
 [9.79782813e-07+5.65677628e-07j 9.35482502e-14+1.06455427e-03j
  9.83841663e-07-5.68021627e-07j]
 [9.83841663e-07-5.68021627e-07j 9.79782813e-07+5.65677628e-07j
  9.35482502e-14+1.06455427e-03j]]"
-938.0795663619123j,"[[-1.94875733e-13+1.06597984e-03j  9.86561298e-07-5.69591511e-07j
   9.82472760e-07+5.67230871e-07j]
 [ 9.82472760e-07+5.67230871e-07j -1.94875733e-13+1.06597984e-03j
   9.86561298e-07-5.69591511e-07j]
 [ 9.86561298e-07-5.69591511e-07j  9.82472760e-07+5.67230871e-07j
  -1.94875733e-13+1.06597984e-03j]]"
-936.8229293004763j,"[[1.01240170e-14+1.06740974e-03j 9.88742644e-07-5.70850473e-07j
  9.85018590e-07+5.68700892e-07j]
 [9.85018590e-07+5.68700892e-07j 1.01240170e-14+1.06740974e-03j
  9.88742644e-07-5.70850473e-07j]
 [9.88742644e-07-5.70850473e-07j 9.85018590e-07+5.68700892e-07j
  1.01240170e-14+1.06740974e-03j]]"
-935.5662922390404j,"[[-1.72898341e-13+1.06884278e-03j  9.92320725e-07-5.72916317e-07j
   9.88526518e-07+5.70726175e-07j]
 [ 9.88526518e-07+5.70726175e-07j -1.72898341e-13+1.06884278e-03j
   9.92320725e-07-5.72916317e-07j]
 [ 9.92320725e-07-5.72916317e-07j  9.88526518e-07+5.70726175e-07j
  -1.72898341e-13+1.06884278e-03j]]"
-934.3096551776046j,"[[-1.28069530e-13+1.07028096e-03j  9.93838096e-07-5.73792557e-07j
   9.90541402e-07+5.71889579e-07j]
 [ 9.90541402e-07+5.71889579e-07j -1.28069530e-13+1.07028096e-03j
   9.93838096e-07-5.73792557e-07j]
 [ 9.93838096e-07-5.73792557e-07j  9.90541402e-07+5.71889579e-07j
  -1.28069530e-13+1.07028096e-03j]]"
-933.0530181161687j,"[[3.34198521e-13+1.07172121e-03j 9.97332598e-07-5.75810544e-07j
  9.93001375e-07+5.73309609e-07j]
 [9.93001375e-07+5.73309609e-07j 3.34198521e-13+1.07172121e-03j
  9.97332598e-07-5.75810544e-07j]
 [9.97332598e-07-5.75810544e-07j 9.93001375e-07+5.73309609e-07j
  3.34198521e-13+1.07172121e-03j]]"
-931.7963810547326j,"[[2.57995144e-13+1.07316665e-03j 9.99316763e-07-5.76955803e-07j
  9.95341527e-07+5.74661041e-07j]
 [9.95341527e-07+5.74661041e-07j 2.57995144e-13+1.07316665e-03j
  9.99316763e-07-5.76955803e-07j]
 [9.99316763e-07-5.76955803e-07j 9.95341527e-07+5.74661041e-07j
  2.57995144e-13+1.07316665e-03j]]"
-930.5397439932967j,"[[5.33539437e-14+1.07461612e-03j 1.00227032e-06-5.78660742e-07j
  9.97596996e-07+5.75963145e-07j]
 [9.97596996e-07+5.75963145e-07j 5.33539437e-14+1.07461612e-03j
  1.00227032e-06-5.78660742e-07j]
 [1.00227032e-06-5.78660742e-07j 9.97596996e-07+5.75963145e-07j
  5.33539437e-14+1.07461612e-03j]]"
-929.2831069318609j,"[[-7.99918788e-14+1.07606970e-03j  1.00473872e-06-5.80085951e-07j
   1.00110221e-06+5.77986518e-07j]
 [ 1.00110221e-06+5.77986518e-07j -7.99918788e-14+1.07606970e-03j
   1.00473872e-06-5.80085951e-07j]
 [ 1.00473872e-06-5.80085951e-07j  1.00110221e-06+5.77986518e-07j
  -7.99918788e-14+1.07606970e-03j]]"
-928.0264698704248j,"[[1.65061404e-13+1.07752757e-03j 1.00817417e-06-5.82069605e-07j
  1.00334636e-06+5.79282284e-07j]
 [1.00334636e-06+5.79282284e-07j 1.65061404e-13+1.07752757e-03j
  1.00817417e-06-5.82069605e-07j]
 [1.00817417e-06-5.82069605e-07j 1.00334636e-06+5.79282284e-07j
  1.65061404e-13+1.07752757e-03j]]"
-926.7698328089889j,"[[-4.17560222e-14+1.07898786e-03j  1.01067094e-06-5.83511281e-07j
   1.00642100e-06+5.81057563e-07j]
 [ 1.00642100e-06+5.81057563e-07j -4.17560222e-14+1.07898786e-03j
   1.01067094e-06-5.83511281e-07j]
 [ 1.01067094e-06-5.83511281e-07j  1.00642100e-06+5.81057563e-07j
  -4.17560222e-14+1.07898786e-03j]]"
-925.513195747553j,"[[-1.67513910e-13+1.08045234e-03j  1.01315340e-06-5.84944191e-07j
   1.00889465e-06+5.82486058e-07j]
 [ 1.00889465e-06+5.82486058e-07j -1.67513910e-13+1.08045234e-03j
   1.01315340e-06-5.84944191e-07j]
 [ 1.01315340e-06-5.84944191e-07j  1.00889465e-06+5.82486058e-07j
  -1.67513910e-13+1.08045234e-03j]]"
-924.2565586861172j,"[[-5.24903007e-14+1.08192163e-03j  1.01598209e-06-5.86577202e-07j
   1.01197767e-06+5.84265839e-07j]
 [ 1.01197767e-06+5.84265839e-07j -5.24903007e-14+1.08192163e-03j
   1.01598209e-06-5.86577202e-07j]
 [ 1.01598209e-06-5.86577202e-07j  1.01197767e-06+5.84265839e-07j
  -5.24903007e-14+1.08192163e-03j]]"
-922.9999216246812j,"[[4.27839582e-14+1.08339478e-03j 1.01908516e-06-5.88368916e-07j
  1.01480055e-06+5.85895167e-07j]
 [1.01480055e-06+5.85895167e-07j 4.27839582e-14+1.08339478e-03j
  1.01908516e-06-5.88368916e-07j]
 [1.01908516e-06-5.88368916e-07j 1.01480055e-06+5.85895167e-07j
  4.27839582e-14+1.08339478e-03j]]"
