iw_n,G_iw_n
-941.8494775462199j,"[[7.35132813e-08+1.06171173e-03j 1.12750743e-06-2.55710167e-09j
  1.12750742e-06-2.55710169e-09j]
 [1.12750742e-06-2.55710169e-09j 7.35132813e-08+1.06171173e-03j
  1.12750743e-06-2.55710167e-09j]
 [1.12750743e-06-2.55710167e-09j 1.12750742e-06-2.55710169e-09j
  7.35132813e-08+1.06171173e-03j]]"
-940.592840484784j,"[[7.41515218e-08+1.06312925e-03j 1.13045755e-06-2.65353453e-09j
  1.13045754e-06-2.65353455e-09j]
 [1.13045754e-06-2.65353455e-09j 7.41515218e-08+1.06312925e-03j
  1.13045755e-06-2.65353453e-09j]
 [1.13045755e-06-2.65353453e-09j 1.13045754e-06-2.65353455e-09j
  7.41515218e-08+1.06312925e-03j]]"
-939.3362034233481j,"[[7.32671356e-08+1.06455111e-03j 1.13287810e-06-2.48874776e-09j
  1.13287809e-06-2.48874779e-09j]
 [1.13287809e-06-2.48874779e-09j 7.32671356e-08+1.06455111e-03j
  1.13287810e-06-2.48874776e-09j]
 [1.13287810e-06-2.48874776e-09j 1.13287809e-06-2.48874779e-09j
  7.32671356e-08+1.06455111e-03j]]"
-938.0795663619123j,"[[7.38681573e-08+1.06597685e-03j 1.13667185e-06-2.44677478e-09j
  1.13667183e-06-2.44677480e-09j]
 [1.13667183e-06-2.44677480e-09j 7.38681573e-08+1.06597685e-03j
  1.13667185e-06-2.44677478e-09j]
 [1.13667185e-06-2.44677478e-09j 1.13667183e-06-2.44677480e-09j
  7.38681573e-08+1.06597685e-03j]]"
-936.8229293004763j,"[[7.42216031e-08+1.06740848e-03j 1.13927953e-06-2.71715574e-09j
  1.13927952e-06-2.71715577e-09j]
 [1.13927952e-06-2.71715577e-09j 7.42216031e-08+1.06740848e-03j
  1.13927953e-06-2.71715574e-09j]
 [1.13927953e-06-2.71715574e-09j 1.13927952e-06-2.71715577e-09j
  7.42216031e-08+1.06740848e-03j]]"
-935.5662922390404j,"[[7.37127469e-08+1.06884079e-03j 1.14237736e-06-2.82516416e-09j
  1.14237735e-06-2.82516418e-09j]
 [1.14237735e-06-2.82516418e-09j 7.37127469e-08+1.06884079e-03j
  1.14237736e-06-2.82516416e-09j]
 [1.14237736e-06-2.82516416e-09j 1.14237735e-06-2.82516418e-09j
  7.37127469e-08+1.06884079e-03j]]"
-934.3096551776046j,"[[7.38925881e-08+1.07027969e-03j 1.14538437e-06-2.19546352e-09j
  1.14538436e-06-2.19546354e-09j]
 [1.14538436e-06-2.19546354e-09j 7.38925881e-08+1.07027969e-03j
  1.14538437e-06-2.19546352e-09j]
 [1.14538437e-06-2.19546352e-09j 1.14538436e-06-2.19546354e-09j
  7.38925881e-08+1.07027969e-03j]]"
-933.0530181161687j,"[[7.52124620e-08+1.07172139e-03j 1.14891432e-06-2.59941606e-09j
  1.14891431e-06-2.59941609e-09j]
 [1.14891431e-06-2.59941609e-09j 7.52124620e-08+1.07172139e-03j
  1.14891432e-06-2.59941606e-09j]
 [1.14891432e-06-2.59941606e-09j 1.14891431e-06-2.59941609e-09j
  7.52124620e-08+1.07172139e-03j]]"
-931.7963810547326j,"[[7.50737990e-08+1.07316515e-03j 1.15103434e-06-2.45162549e-09j
  1.15103433e-06-2.45162551e-09j]
 [1.15103433e-06-2.45162551e-09j 7.50737990e-08+1.07316515e-03j
  1.15103434e-06-2.45162549e-09j]
 [1.15103434e-06-2.45162549e-09j 1.15103433e-06-2.45162551e-09j
  7.50737990e-08+1.07316515e-03j]]"
-930.5397439932967j,"[[7.51619738e-08+1.07461414e-03j 1.15451919e-06-2.75718040e-09j
  1.15451918e-06-2.75718043e-09j]
 [1.15451918e-06-2.75718043e-09j 7.51619738e-08+1.07461414e-03j
  1.15451919e-06-2.75718040e-09j]
 [1.15451919e-06-2.75718040e-09j 1.15451918e-06-2.75718043e-09j
  7.51619738e-08+1.07461414e-03j]]"
