iw_n,G_iw_n
-523.2497097478999j,"[[-1.05235452e-07+1.91093536e-03j  3.65652837e-06-1.29628524e-08j
   3.65652882e-06-1.29628507e-08j]
 [ 3.65652882e-06-1.29628507e-08j -1.05235452e-07+1.91093536e-03j
   3.65652837e-06-1.29628524e-08j]
 [ 3.65652837e-06-1.29628524e-08j  3.65652882e-06-1.29628507e-08j
  -1.05235452e-07+1.91093536e-03j]]"
-522.5515780471022j,"[[-9.96654625e-08+1.91349955e-03j  3.66403365e-06-7.21210660e-09j
   3.66403410e-06-7.21210482e-09j]
 [ 3.66403410e-06-7.21210482e-09j -9.96654625e-08+1.91349955e-03j
   3.66403365e-06-7.21210660e-09j]
 [ 3.66403365e-06-7.21210660e-09j  3.66403410e-06-7.21210482e-09j
  -9.96654625e-08+1.91349955e-03j]]"
-521.8534463463045j,"[[-9.59305201e-08+1.91604835e-03j  3.67350928e-06-1.21004255e-08j
   3.67350973e-06-1.21004237e-08j]
 [ 3.67350973e-06-1.21004237e-08j -9.59305201e-08+1.91604835e-03j
   3.67350928e-06-1.21004255e-08j]
 [ 3.67350928e-06-1.21004255e-08j  3.67350973e-06-1.21004237e-08j
  -9.59305201e-08+1.91604835e-03j]]"
-521.1553146455068j,"[[-1.03931801e-07+1.91861843e-03j  3.67857788e-06-1.13646839e-08j
   3.67857833e-06-1.13646821e-08j]
 [ 3.67857833e-06-1.13646821e-08j -1.03931801e-07+1.91861843e-03j
   3.67857788e-06-1.13646839e-08j]
 [ 3.67857788e-06-1.13646839e-08j  3.67857833e-06-1.13646821e-08j
  -1.03931801e-07+1.91861843e-03j]]"
-520.4571829447091j,"[[-1.01519666e-07+1.92118504e-03j  3.68864261e-06-9.01724857e-09j
   3.68864307e-06-9.01724678e-09j]
 [ 3.68864307e-06-9.01724678e-09j -1.01519666e-07+1.92118504e-03j
   3.68864261e-06-9.01724857e-09j]
 [ 3.68864261e-06-9.01724857e-09j  3.68864307e-06-9.01724678e-09j
  -1.01519666e-07+1.92118504e-03j]]"
-519.7590512439114j,"[[-1.03953075e-07+1.92376882e-03j  3.70171839e-06-1.22151643e-08j
   3.70171885e-06-1.22151625e-08j]
 [ 3.70171885e-06-1.22151625e-08j -1.03953075e-07+1.92376882e-03j
   3.70171839e-06-1.22151643e-08j]
 [ 3.70171839e-06-1.22151643e-08j  3.70171885e-06-1.22151625e-08j
  -1.03953075e-07+1.92376882e-03j]]"
-519.0609195431136j,"[[-1.08704026e-07+1.92635793e-03j  3.70667453e-06-1.51353310e-08j
   3.70667499e-06-1.51353292e-08j]
 [ 3.70667499e-06-1.51353292e-08j -1.08704026e-07+1.92635793e-03j
   3.70667453e-06-1.51353310e-08j]
 [ 3.70667453e-06-1.51353310e-08j  3.70667499e-06-1.51353292e-08j
  -1.08704026e-07+1.92635793e-03j]]"
-518.3627878423159j,"[[-9.63952268e-08+1.92895904e-03j  3.71564816e-06-1.09218512e-08j
   3.71564862e-06-1.09218493e-08j]
 [ 3.71564862e-06-1.09218493e-08j -9.63952268e-08+1.92895904e-03j
   3.71564816e-06-1.09218512e-08j]
 [ 3.71564816e-06-1.09218512e-08j  3.71564862e-06-1.09218493e-08j
  -9.63952268e-08+1.92895904e-03j]]"
-517.6646561415181j,"[[-1.01106567e-07+1.93154416e-03j  3.73234219e-06-1.14513777e-08j
   3.73234265e-06-1.14513759e-08j]
 [ 3.73234265e-06-1.14513759e-08j -1.01106567e-07+1.93154416e-03j
   3.73234219e-06-1.14513777e-08j]
 [ 3.73234219e-06-1.14513777e-08j  3.73234265e-06-1.14513759e-08j
  -1.01106567e-07+1.93154416e-03j]]"
-516.9665244407204j,"[[-1.07733871e-07+1.93415442e-03j  3.74167415e-06-1.61341050e-08j
   3.74167461e-06-1.61341032e-08j]
 [ 3.74167461e-06-1.61341032e-08j -1.07733871e-07+1.93415442e-03j
   3.74167415e-06-1.61341050e-08j]
 [ 3.74167415e-06-1.61341050e-08j  3.74167461e-06-1.61341032e-08j
  -1.07733871e-07+1.93415442e-03j]]"
