iw_n,G_iw_n
-383.6233695883536j,(1.9591661246845295e-08+0.002606499598868162j)
-382.9252378875559j,(1.4481368523546623e-08+0.002611257497560259j)
-382.22710618675814j,(1.3315171811793086e-08+0.0026160236815626734j)
-381.5289744859604j,(1.8844276689031658e-08+0.002620804137630026j)
-380.8308427851627j,(1.8259082242301786e-08+0.002625607066949103j)
-380.132711084365j,(1.7852331375407467e-08+0.0026304329702784442j)
-379.4345793835672j,(1.199933824996109e-08+0.0026352682804807177j)
-378.7364476827695j,(2.3570581823572454e-09+0.002640126175426854j)
-378.0383159819718j,(9.356312368448707e-09+0.0026449979981261387j)
-377.34018428117406j,(1.2485359466720636e-08+0.0026498927877727793j)
-376.6420525803763j,(1.6118838148702512e-08+0.002654802970213782j)
-375.94392087957857j,(1.7523666462187453e-08+0.0026597354516547846j)
-375.24578917878085j,(1.6069578917083428e-08+0.002664678615537599j)
-374.5476574779831j,(1.612770301991007e-08+0.0026696457469944012j)
-373.84952577718536j,(1.5651046872634287e-08+0.0026746297159072337j)
-373.15139407638765j,(1.9630518216074804e-08+0.0026796418739055915j)
-372.45326237558993j,(2.8394674147086645e-08+0.002684656677674457j)
-371.75513067479216j,(2.3114820707021595e-08+0.0026897034828353484j)
-371.0569989739945j,(2.9736409414455663e-08+0.002694755957039331j)
-370.3588672731967j,(2.268801534448359e-08+0.0026998397877845324j)
-369.660735572399j,(2.357016062924953e-08+0.0027049232933976136j)
-368.96260387160123j,(1.954330910045298e-08+0.0027100446945388166j)
-368.2644721708035j,(1.7538338970069485e-08+0.0027151786905031342j)
-367.5663404700058j,(1.684617861076868e-08+0.0027203448232917577j)
-366.868208769208j,(2.472867747700181e-08+0.0027255169086969787j)
-366.17007706841036j,(2.4422720795879426e-08+0.0027307125103398374j)
-365.4719453676126j,(1.3511962811059221e-08+0.0027359298649447124j)
-364.7738136668149j,(2.441466486991733e-08+0.002741153219449724j)
-364.0756819660171j,(1.0874916194175746e-08+0.0027464119473223033j)
