iw_n,Sigma_iw_n
-1108.6126075814807j,"[[ 0.38862023+1.25988238e-03j -0.16073973-4.41798126e-07j]
 [-0.16085541-4.41798097e-07j  3.61138006+1.25995972e-03j]]"
-1108.2430084457642j,"[[ 0.38865277+1.13746355e-03j -0.16076514-4.45609437e-07j]
 [-0.16088082-4.45609405e-07j  3.61134755+1.13758664e-03j]]"
-1107.8734093100477j,"[[ 0.38866164+1.06257603e-03j -0.16077648-4.54220673e-07j]
 [-0.16089216-4.54220650e-07j  3.61133858+1.06263773e-03j]]"
-1107.5038101743312j,"[[ 0.38868245+1.05756223e-03j -0.16077473-4.55681534e-07j]
 [-0.16089041-4.55681509e-07j  3.61131779+1.05764539e-03j]]"
-1107.1342110386147j,"[[ 0.38869266+1.06332542e-03j -0.16077444-4.42233573e-07j]
 [-0.16089012-4.42233549e-07j  3.61130758+1.06333626e-03j]]"
-1106.7646119028984j,"[[ 0.38868245+1.07934942e-03j -0.16077427-4.47264772e-07j]
 [-0.16088994-4.47264744e-07j  3.61131782+1.07917729e-03j]]"
-1106.395012767182j,"[[ 0.38868435+1.10083191e-03j -0.16077832-4.37060986e-07j]
 [-0.160894  -4.37060953e-07j  3.61131597+1.10054976e-03j]]"
-1106.0254136314654j,"[[ 0.38864752+1.07156612e-03j -0.1607895 -4.33878827e-07j]
 [-0.16090518-4.33878784e-07j  3.6113529 +1.07118704e-03j]]"
-1105.655814495749j,"[[ 0.38860655+1.08097970e-03j -0.16081347-4.20643456e-07j]
 [-0.16092915-4.20643404e-07j  3.61139395+1.08056484e-03j]]"
-1105.2862153600324j,"[[ 0.38854901+1.04502125e-03j -0.16081035-4.20613758e-07j]
 [-0.16092603-4.20613709e-07j  3.61145147+1.04459303e-03j]]"
-1104.916616224316j,"[[ 0.3885474 +1.02397579e-03j -0.16080089-4.04714928e-07j]
 [-0.16091657-4.04714857e-07j  3.61145328+1.02358117e-03j]]"
-1104.5470170885997j,"[[ 0.38854396+1.01687385e-03j -0.1607968 -3.88828945e-07j]
 [-0.16091248-3.88828884e-07j  3.61145663+1.01649705e-03j]]"
-1104.1774179528832j,"[[ 0.38856127+1.00025711e-03j -0.16078445-4.06897012e-07j]
 [-0.16090013-4.06896958e-07j  3.61143926+9.99857982e-04j]]"
-1103.8078188171667j,"[[ 0.38856166+1.06717695e-03j -0.16077701-4.33518843e-07j]
 [-0.16089268-4.33518784e-07j  3.61143891+1.06691434e-03j]]"
-1103.4382196814502j,"[[ 0.3886131 +1.03621656e-03j -0.16079117-4.48497341e-07j]
 [-0.16090685-4.48497283e-07j  3.61138745+1.03599476e-03j]]"
-1103.0686205457337j,"[[ 0.38861757+9.60236149e-04j -0.16077363-4.30176483e-07j]
 [-0.16088931-4.30176417e-07j  3.61138307+9.60008468e-04j]]"
-1102.6990214100174j,"[[ 0.38859724+9.79201398e-04j -0.1607526 -4.23775062e-07j]
 [-0.16086828-4.23775013e-07j  3.61140322+9.78985998e-04j]]"
-1102.329422274301j,"[[ 0.38852162+1.02532321e-03j -0.16076535-4.20253362e-07j]
 [-0.16088103-4.20253300e-07j  3.61147899+1.02508356e-03j]]"
-1101.9598231385844j,"[[ 0.38848704+1.01517628e-03j -0.16078929-4.09276131e-07j]
 [-0.16090497-4.09276071e-07j  3.61151354+1.01498365e-03j]]"
-1101.5902240028681j,"[[ 0.38857133+1.03974025e-03j -0.16078427-4.04452118e-07j]
 [-0.16089994-4.04452060e-07j  3.61142923+1.03948856e-03j]]"
-1101.2206248671516j,"[[ 0.38860767+1.06156708e-03j -0.16081525-4.03183183e-07j]
 [-0.16093093-4.03183139e-07j  3.61139275+1.06136225e-03j]]"
-1100.8510257314351j,"[[ 0.38862613+9.61209197e-04j -0.16081497-4.19558600e-07j]
 [-0.16093065-4.19558546e-07j  3.61137439+9.60992879e-04j]]"
-1100.4814265957189j,"[[ 0.38862261+9.62934963e-04j -0.16079488-4.29310391e-07j]
 [-0.16091055-4.29310347e-07j  3.61137782+9.62818510e-04j]]"
-1100.1118274600024j,"[[ 0.38866636+9.93732318e-04j -0.16080126-4.53565475e-07j]
 [-0.16091694-4.53565433e-07j  3.61133405+9.93631178e-04j]]"
-1099.7422283242859j,"[[ 0.38870981+9.66637715e-04j -0.16081337-4.59033064e-07j]
 [-0.16092905-4.59033005e-07j  3.61129076+9.66522747e-04j]]"
-1099.3726291885694j,"[[ 0.38867594+9.39703044e-04j -0.1607969 -4.55834986e-07j]
 [-0.16091258-4.55834929e-07j  3.61132461+9.39526688e-04j]]"
-1099.0030300528529j,"[[ 0.38866699+9.11188802e-04j -0.16080304-4.73657652e-07j]
 [-0.16091872-4.73657589e-07j  3.61133361+9.10860702e-04j]]"
-1098.6334309171366j,"[[ 0.38867695+9.06972358e-04j -0.16079994-4.57986718e-07j]
 [-0.16091561-4.57986647e-07j  3.61132374+9.06663215e-04j]]"
-1098.26383178142j,"[[ 0.38862571+9.35347247e-04j -0.16079579-4.67456467e-07j]
 [-0.16091147-4.67456398e-07j  3.61137496+9.34958911e-04j]]"
-1097.8942326457036j,"[[ 0.38857291+9.48578339e-04j -0.16081081-4.54383059e-07j]
 [-0.16092648-4.54382966e-07j  3.61142798+9.48192570e-04j]]"
-1097.524633509987j,"[[ 0.38856125+9.85474474e-04j -0.16080698-4.45005999e-07j]
 [-0.16092266-4.45005893e-07j  3.61143975+9.85099116e-04j]]"
-1097.1550343742706j,"[[ 0.38857593+1.02482555e-03j -0.16079793-4.30208460e-07j]
 [-0.16091361-4.30208348e-07j  3.61142514+1.02445805e-03j]]"
-1096.785435238554j,"[[ 0.38859161+1.08638258e-03j -0.16080156-4.31579616e-07j]
 [-0.16091724-4.31579517e-07j  3.61140935+1.08599366e-03j]]"
-1096.4158361028378j,"[[ 0.38857849+1.05089370e-03j -0.1608101 -4.43343638e-07j]
 [-0.16092577-4.43343525e-07j  3.61142259+1.05045856e-03j]]"
-1096.0462369671213j,"[[ 0.38856765+1.02481888e-03j -0.16079441-4.15655620e-07j]
 [-0.16091009-4.15655507e-07j  3.61143343+1.02444278e-03j]]"
-1095.6766378314048j,"[[ 0.38857775+1.06813501e-03j -0.16079483-4.12787842e-07j]
 [-0.16091051-4.12787745e-07j  3.61142317+1.06778780e-03j]]"
-1095.3070386956883j,"[[ 0.38855338+1.10198104e-03j -0.16081794-4.07054159e-07j]
 [-0.16093362-4.07054052e-07j  3.61144764+1.10162868e-03j]]"
