iw_n,G_iw_n
-502.34066530900793j,"[[ 2.29476740e-05+1.99037269e-03j  1.55026214e-10-2.82737071e-10j]
 [ 5.66165428e-09-2.78182557e-10j -2.45939025e-05+1.99033366e-03j]]"
-501.71234677829j,"[[ 2.30052138e-05+1.99286465e-03j  4.46491104e-10-1.43146893e-10j]
 [ 5.96691894e-09-1.38575268e-10j -2.46555374e-05+1.99282528e-03j]]"
-501.08402824757206j,"[[ 2.30630181e-05+1.99536295e-03j  4.89844821e-10-2.36119348e-11j]
 [ 6.02412441e-09-1.90231454e-11j -2.47173939e-05+1.99532359e-03j]]"
-500.455709716854j,"[[ 2.31211636e-05+1.99786748e-03j  4.83085420e-10+2.28980318e-11j]
 [ 6.03126891e-09+2.75042133e-11j -2.47798553e-05+1.99782802e-03j]]"
-499.8273911861361j,"[[ 2.31795098e-05+2.00037825e-03j  4.72687150e-10+8.82130443e-11j]
 [ 6.03482699e-09+9.28366662e-11j -2.48424720e-05+2.00033853e-03j]]"
-499.19907265541815j,"[[ 2.32379853e-05+2.00289528e-03j  3.72468242e-10+2.05206651e-10j]
 [ 5.94861723e-09+2.09847729e-10j -2.49050913e-05+2.00285533e-03j]]"
-498.5707541247001j,"[[ 2.32966136e-05+2.00541864e-03j  7.91070243e-11+3.17414304e-10j]
 [ 5.66931822e-09+3.22072923e-10j -2.49678809e-05+2.00537852e-03j]]"
-497.94243559398217j,"[[ 2.33554828e-05+2.00794838e-03j -3.37829338e-10+3.67904668e-10j]
 [ 5.26649731e-09+3.72580932e-10j -2.50309417e-05+2.00790812e-03j]]"
-497.31411706326423j,"[[ 2.34146031e-05+2.01048451e-03j -7.66424189e-10+3.76143546e-10j]
 [ 4.85207140e-09+3.80837542e-10j -2.50942625e-05+2.01044417e-03j]]"
-496.6857985325463j,"[[ 2.34739511e-05+2.01302706e-03j -1.19436027e-09+3.56616512e-10j]
 [ 4.43835804e-09+3.61328365e-10j -2.51578993e-05+2.01298664e-03j]]"
-496.0574800018283j,"[[ 2.35335164e-05+2.01557602e-03j -1.61298942e-09+2.60014818e-10j]
 [ 4.03400565e-09+2.64744576e-10j -2.52217248e-05+2.01553543e-03j]]"
-495.4291614711104j,"[[ 2.35933511e-05+2.01813149e-03j -1.82358779e-09+1.42581598e-10j]
 [ 3.83773851e-09+1.47329295e-10j -2.52857647e-05+2.01809093e-03j]]"
-494.80084294039244j,"[[ 2.36535000e-05+2.02069343e-03j -1.93765883e-09+1.21698621e-10j]
 [ 3.73805337e-09+1.26464494e-10j -2.53504308e-05+2.02065286e-03j]]"
-494.1725244096745j,"[[ 2.37138900e-05+2.02326181e-03j -2.08767194e-09+1.20940013e-10j]
 [ 3.60248100e-09+1.25724179e-10j -2.54153888e-05+2.02322105e-03j]]"
-493.54420587895646j,"[[ 2.37744583e-05+2.02583664e-03j -2.22271168e-09+4.95206899e-11j]
 [ 3.48193712e-09+5.43232565e-11j -2.54804976e-05+2.02579549e-03j]]"
-492.9158873482385j,"[[ 2.38351532e-05+2.02841797e-03j -2.22095749e-09-4.14240385e-11j]
 [ 3.49824252e-09-3.66030973e-11j -2.55454875e-05+2.02837637e-03j]]"
-492.2875688175206j,"[[ 2.38960563e-05+2.03100598e-03j -2.07476041e-09-8.15488966e-11j]
 [ 3.65904652e-09-7.67095448e-11j -2.56105724e-05+2.03096412e-03j]]"
-491.6592502868026j,"[[ 2.39572319e-05+2.03360065e-03j -1.92240367e-09-1.01001095e-10j]
 [ 3.82606616e-09-9.61432074e-11j -2.56759548e-05+2.03355855e-03j]]"
-491.03093175608467j,"[[ 2.40186092e-05+2.03620200e-03j -1.75189857e-09-1.66800531e-10j]
 [ 4.01129056e-09-1.61924102e-10j -2.57414464e-05+2.03615987e-03j]]"
-490.40261322536674j,"[[ 2.40802752e-05+2.03881008e-03j -1.54405444e-09-2.20663573e-10j]
 [ 4.23391072e-09-2.15768427e-10j -2.58074715e-05+2.03876809e-03j]]"
-489.7742946946488j,"[[ 2.41422786e-05+2.04142483e-03j -1.25810851e-09-2.49648769e-10j]
 [ 4.53468961e-09-2.44734730e-10j -2.58740510e-05+2.04138288e-03j]]"
-489.14597616393075j,"[[ 2.42045719e-05+2.04404620e-03j -9.58839971e-10-2.18841867e-10j]
 [ 4.84884830e-09-2.13908781e-10j -2.59410613e-05+2.04400419e-03j]]"
-488.5176576332128j,"[[ 2.42670577e-05+2.04667419e-03j -7.23113110e-10-1.71388262e-10j]
 [ 5.09952273e-09-1.66436035e-10j -2.60082751e-05+2.04663188e-03j]]"
-487.8893391024949j,"[[ 2.43296794e-05+2.04930891e-03j -4.96761082e-10-1.28742839e-10j]
 [ 5.34088018e-09-1.23771481e-10j -2.60754361e-05+2.04926629e-03j]]"
-487.26102057177695j,"[[ 2.43925469e-05+2.05195042e-03j -3.63424497e-10+4.83442831e-13j]
 [ 5.48928033e-09+5.47405876e-12j -2.61428832e-05+2.05190759e-03j]]"
-486.6327020410589j,"[[ 2.44557058e-05+2.05459870e-03j -4.53642464e-10+1.08193749e-10j]
 [ 5.41418427e-09+1.13203769e-10j -2.62106630e-05+2.05455552e-03j]]"
-486.004383510341j,"[[ 2.45190214e-05+2.05725378e-03j -6.22353527e-10+2.35953473e-10j]
 [ 5.26065378e-09+2.40982942e-10j -2.62784777e-05+2.05721016e-03j]]"
-485.37606497962304j,"[[ 2.45824112e-05+2.05991580e-03j -1.03886832e-09+3.85671883e-10j]
 [ 4.85937851e-09+3.90720787e-10j -2.63461464e-05+2.05987177e-03j]]"
-484.74774644890505j,"[[ 2.46459547e-05+2.06258487e-03j -1.61957153e-09+3.85505984e-10j]
 [ 4.29397416e-09+3.90574416e-10j -2.64139607e-05+2.06254066e-03j]]"
-484.1194279181871j,"[[ 2.47097963e-05+2.06526098e-03j -2.00880248e-09+2.99758386e-10j]
 [ 3.92010164e-09+3.04846459e-10j -2.64821091e-05+2.06521678e-03j]]"
-483.4911093874692j,"[[ 2.47740326e-05+2.06794406e-03j -2.29064339e-09+3.06893987e-10j]
 [ 3.65367917e-09+3.12001937e-10j -2.65509419e-05+2.06790007e-03j]]"
-482.86279085675125j,"[[ 2.48385770e-05+2.07063404e-03j -2.71959990e-09+2.80522029e-10j]
 [ 3.24020130e-09+2.85650069e-10j -2.66203794e-05+2.07059006e-03j]]"
-482.2344723260332j,"[[ 2.49033511e-05+2.07333098e-03j -2.98890790e-09+1.24542901e-10j]
 [ 2.98643232e-09+1.29691057e-10j -2.66899618e-05+2.07328673e-03j]]"
-481.60615379531527j,"[[ 2.49684198e-05+2.07603500e-03j -3.04051073e-09-4.93795302e-11j]
 [ 2.95042934e-09-4.42112365e-11j -2.67596656e-05+2.07599055e-03j]]"
-480.97783526459733j,"[[ 2.50338254e-05+2.07874607e-03j -2.86751951e-09-1.99593811e-10j]
 [ 3.13908163e-09-1.94405235e-10j -2.68297367e-05+2.07870146e-03j]]"
-480.3495167338794j,"[[ 2.50994927e-05+2.08146416e-03j -2.54103447e-09-2.77431958e-10j]
 [ 3.48128931e-09-2.72222911e-10j -2.69002257e-05+2.08141940e-03j]]"
-479.7211982031614j,"[[ 2.51652924e-05+2.08418931e-03j -2.19297347e-09-3.00810321e-10j]
 [ 3.84513463e-09-2.95580790e-10j -2.69707452e-05+2.08414418e-03j]]"
-479.0928796724435j,"[[ 2.52312735e-05+2.08692169e-03j -1.79935778e-09-2.42483725e-10j]
 [ 4.25459679e-09-2.37233692e-10j -2.70413093e-05+2.08687634e-03j]]"
-478.46456114172554j,"[[ 2.52975936e-05+2.08966131e-03j -1.64978978e-09-5.10293349e-11j]
 [ 4.42007372e-09-4.57586416e-11j -2.71122898e-05+2.08961599e-03j]]"
-477.8362426110075j,"[[ 2.53643132e-05+2.09240811e-03j -1.77083244e-09+5.41716850e-11j]
 [ 4.31500274e-09+5.94632938e-11j -2.71839579e-05+2.09236281e-03j]]"
-477.20792408028956j,"[[ 2.54313532e-05+2.09516203e-03j -1.88093307e-09+2.49848423e-11j]
 [ 4.22093680e-09+3.02974714e-11j -2.72559820e-05+2.09511649e-03j]]"
-476.5796055495716j,"[[ 2.54986312e-05+2.09792313e-03j -1.86406849e-09+3.46170640e-11j]
 [ 4.25389960e-09+3.99506755e-11j -2.73280748e-05+2.09787736e-03j]]"
-475.9512870188537j,"[[ 2.55662003e-05+2.10069151e-03j -1.96920787e-09+5.06226816e-11j]
 [ 4.16492234e-09+5.59774389e-11j -2.74005857e-05+2.10064565e-03j]]"
-475.32296848813564j,"[[ 2.56340271e-05+2.10346710e-03j -1.98951870e-09-3.84418065e-11j]
 [ 4.16083777e-09-3.30656312e-11j -2.74736067e-05+2.10342096e-03j]]"
-474.6946499574177j,"[[ 2.57019383e-05+2.10624988e-03j -1.81664771e-09-4.84744129e-11j]
 [ 4.34999941e-09-4.30767878e-11j -2.75465582e-05+2.10620310e-03j]]"
-474.0663314266998j,"[[ 2.57698641e-05+2.10904008e-03j -1.78476840e-09+2.87272469e-11j]
 [ 4.39823425e-09+3.41461967e-11j -2.76191324e-05+2.10899276e-03j]]"
-473.43801289598184j,"[[ 2.58380054e-05+2.11183778e-03j -1.87673471e-09+7.38716659e-11j]
 [ 4.32268874e-09+7.93121377e-11j -2.76920294e-05+2.11179028e-03j]]"
-472.80969436526385j,"[[ 2.59064051e-05+2.11464295e-03j -2.03420761e-09+7.12808957e-11j]
 [ 4.18170203e-09+7.67430650e-11j -2.77653011e-05+2.11459514e-03j]]"
-472.1813758345459j,"[[ 2.59750384e-05+2.11745568e-03j -2.13731891e-09+9.90713653e-11j]
 [ 4.09514273e-09+1.04555320e-10j -2.78387411e-05+2.11740756e-03j]]"
-471.553057303828j,"[[ 2.60439081e-05+2.12027596e-03j -2.38106549e-09+1.52913289e-10j]
 [ 3.86801435e-09+1.58419134e-10j -2.79123673e-05+2.12022751e-03j]]"
-470.92473877310994j,"[[ 2.61130046e-05+2.12310388e-03j -2.63489878e-09+1.62177336e-10j]
 [ 3.63086587e-09+1.67705052e-10j -2.79860511e-05+2.12305520e-03j]]"
-470.296420242392j,"[[ 2.61824721e-05+2.12593954e-03j -2.83918157e-09+1.18315320e-10j]
 [ 3.44333487e-09+1.23865122e-10j -2.80602858e-05+2.12589094e-03j]]"
-469.66810171167407j,"[[ 2.62523272e-05+2.12878282e-03j -2.88869984e-09+1.52967952e-10j]
 [ 3.41063553e-09+1.58540079e-10j -2.81351017e-05+2.12873415e-03j]]"
-469.03978318095614j,"[[ 2.63224566e-05+2.13163374e-03j -3.09621637e-09+2.31464202e-10j]
 [ 3.22000554e-09+2.37058683e-10j -2.82101114e-05+2.13158500e-03j]]"
-468.41146465023814j,"[[ 2.63929611e-05+2.13449239e-03j -3.28283578e-09+2.11140046e-10j]
 [ 3.05034072e-09+2.16757022e-10j -2.82855880e-05+2.13444382e-03j]]"
-467.7831461195202j,"[[ 2.64639786e-05+2.13735867e-03j -3.46467169e-09+1.91199044e-10j]
 [ 2.88552774e-09+1.96838794e-10j -2.83618844e-05+2.13731021e-03j]]"
-467.1548275888023j,"[[ 2.65354424e-05+2.14023249e-03j -3.63769409e-09+1.35634306e-10j]
 [ 2.72959692e-09+1.41296994e-10j -2.84387216e-05+2.14018391e-03j]]"
-466.52650905808434j,"[[ 2.66071219e-05+2.14311392e-03j -3.72366408e-09+1.31734631e-10j]
 [ 2.66078760e-09+1.37420243e-10j -2.85156159e-05+2.14306507e-03j]]"
-465.8981905273663j,"[[ 2.66789861e-05+2.14600314e-03j -3.95673667e-09+1.41534622e-10j]
 [ 2.44494518e-09+1.47243171e-10j -2.85925811e-05+2.14595413e-03j]]"
-465.26987199664836j,"[[ 2.67511930e-05+2.14890021e-03j -4.10157994e-09-2.14557945e-11j]
 [ 2.31740203e-09-1.57241454e-11j -2.86699702e-05+2.14885117e-03j]]"
-464.64155346593043j,"[[ 2.68237923e-05+2.15180508e-03j -3.94459142e-09-1.32517735e-10j]
 [ 2.49176098e-09-1.26762706e-10j -2.87480079e-05+2.15175595e-03j]]"
-464.0132349352124j,"[[ 2.68966607e-05+2.15471772e-03j -3.86203112e-09-1.36835010e-10j]
 [ 2.59176221e-09-1.31056518e-10j -2.88262552e-05+2.15466823e-03j]]"
-463.38491640449445j,"[[ 2.69697296e-05+2.15763826e-03j -3.77188951e-09-1.88787871e-10j]
 [ 2.69941574e-09-1.82985863e-10j -2.89045891e-05+2.15758853e-03j]]"
-462.7565978737765j,"[[ 2.70430575e-05+2.16056670e-03j -3.65053158e-09-2.31834646e-10j]
 [ 2.83835691e-09-2.26008982e-10j -2.89832162e-05+2.16051671e-03j]]"
-462.1282793430586j,"[[ 2.71167316e-05+2.16350309e-03j -3.38690639e-09-2.61501882e-10j]
 [ 3.11963715e-09-2.55652417e-10j -2.90622610e-05+2.16345299e-03j]]"
-461.4999608123406j,"[[ 2.71908295e-05+2.16644740e-03j -3.02928048e-09-2.69442519e-10j]
 [ 3.49499021e-09-2.63568955e-10j -2.91419856e-05+2.16639712e-03j]]"
-460.87164228162266j,"[[ 2.72651550e-05+2.16939953e-03j -2.66668213e-09-1.97807320e-10j]
 [ 3.87538810e-09-1.91909557e-10j -2.92218788e-05+2.16934860e-03j]]"
-460.2433237509047j,"[[ 2.73395459e-05+2.17235968e-03j -2.50692330e-09-1.05439210e-11j]
 [ 4.05301945e-09-4.62206855e-12j -2.93014670e-05+2.17230817e-03j]]"
-459.6150052201868j,"[[ 2.74141213e-05+2.17532802e-03j -2.64395544e-09+1.77532216e-10j]
 [ 3.93393322e-09+1.83478248e-10j -2.93811211e-05+2.17527605e-03j]]"
-458.98668668946874j,"[[ 2.74889567e-05+2.17830461e-03j -2.92120474e-09+2.50139728e-10j]
 [ 3.67470360e-09+2.56110052e-10j -2.94610036e-05+2.17825241e-03j]]"
-458.3583681587508j,"[[ 2.75641239e-05+2.18128950e-03j -3.19158451e-09+2.77129610e-10j]
 [ 3.42241770e-09+2.83124411e-10j -2.95413316e-05+2.18123723e-03j]]"
-457.7300496280329j,"[[ 2.76396218e-05+2.18428267e-03j -3.50530621e-09+3.12168789e-10j]
 [ 3.12686442e-09+3.18188230e-10j -2.96221192e-05+2.18423037e-03j]]"
-457.1017310973149j,"[[ 2.77155420e-05+2.18728411e-03j -3.92092501e-09+3.14864967e-10j]
 [ 2.72948904e-09+3.20909238e-10j -2.97034855e-05+2.18723194e-03j]]"
-456.47341256659695j,"[[ 2.77919865e-05+2.19029373e-03j -4.37281010e-09+2.04001367e-10j]
 [ 2.29592265e-09+2.10070793e-10j -2.97856918e-05+2.19024147e-03j]]"
-455.845094035879j,"[[ 2.78687759e-05+2.19331148e-03j -4.60778912e-09+9.04456808e-11j]
 [ 2.07933816e-09+9.65403264e-11j -2.98681412e-05+2.19325892e-03j]]"
-455.2167755051611j,"[[ 2.79457694e-05+2.19633746e-03j -4.75245750e-09-1.98983685e-12j]
 [ 1.95314062e-09+4.13013476e-12j -2.99507686e-05+2.19628460e-03j]]"
-454.58845697444303j,"[[ 2.80229085e-05+2.19937181e-03j -4.60540121e-09-1.38094809e-10j]
 [ 2.11874423e-09-1.31949446e-10j -3.00334674e-05+2.19931850e-03j]]"
