iw_n,G_iw_n
-1255.7394635348917j,"[[ 1.77579687e-07+7.96338511e-04j  7.23753613e-08+2.49874558e-11j]
 [ 7.27728095e-08+2.51230115e-11j -4.49424639e-07+7.96338164e-04j]]"
-1253.9442677328402j,"[[ 1.78569320e-07+7.97478095e-04j  7.25595647e-08+2.77825700e-11j]
 [ 7.29581515e-08+2.79187568e-11j -4.51069380e-07+7.97477786e-04j]]"
-1252.149071930789j,"[[ 1.79287375e-07+7.98621633e-04j  7.27749515e-08+2.51586419e-11j]
 [ 7.31746823e-08+2.52954071e-11j -4.52523239e-07+7.98621419e-04j]]"
-1250.3538761287377j,"[[ 1.79616960e-07+7.99768056e-04j  7.30102441e-08+2.37702571e-11j]
 [ 7.34111236e-08+2.39075975e-11j -4.53708984e-07+7.99767845e-04j]]"
-1248.5586803266865j,"[[ 1.79967587e-07+8.00918346e-04j  7.32249927e-08+2.59404812e-11j]
 [ 7.36270256e-08+2.60784236e-11j -4.54822789e-07+8.00918177e-04j]]"
-1246.763484524635j,"[[ 1.80906835e-07+8.02071341e-04j  7.34448395e-08+2.52030879e-11j]
 [ 7.38480317e-08+2.53415714e-11j -4.56688825e-07+8.02071262e-04j]]"
-1244.9682887225838j,"[[ 1.81474744e-07+8.03228231e-04j  7.36866316e-08+2.38896610e-11j]
 [ 7.40909872e-08+2.40288224e-11j -4.57910548e-07+8.03227902e-04j]]"
-1243.1730929205326j,"[[ 1.81923962e-07+8.04388177e-04j  7.39067585e-08+2.53755896e-11j]
 [ 7.43122829e-08+2.55152905e-11j -4.59291437e-07+8.04387975e-04j]]"
-1241.3778971184813j,"[[ 1.82188580e-07+8.05551353e-04j  7.41201237e-08+2.79558302e-11j]
 [ 7.45268215e-08+2.80962084e-11j -4.60225077e-07+8.05551207e-04j]]"
-1239.5827013164296j,"[[ 1.82689021e-07+8.06718300e-04j  7.43139767e-08+2.47654109e-11j]
 [ 7.47218531e-08+2.49063421e-11j -4.61693865e-07+8.06718181e-04j]]"
-1237.7875055143784j,"[[ 1.83461143e-07+8.07888126e-04j  7.45207331e-08+2.73364496e-11j]
 [ 7.49297938e-08+2.74779896e-11j -4.63210639e-07+8.07887767e-04j]]"
-1235.9923097123271j,"[[ 1.83708741e-07+8.09061254e-04j  7.47331805e-08+2.25544505e-11j]
 [ 7.51434307e-08+2.26965890e-11j -4.64185478e-07+8.09060962e-04j]]"
-1234.1971139102757j,"[[ 1.84899335e-07+8.10238157e-04j  7.49151944e-08+2.35771598e-11j]
 [ 7.53266384e-08+2.37199741e-11j -4.66305269e-07+8.10238004e-04j]]"
-1232.4019181082244j,"[[ 1.85479838e-07+8.11418793e-04j  7.51148985e-08+2.66371342e-11j]
 [ 7.55275417e-08+2.67805544e-11j -4.67617945e-07+8.11418777e-04j]]"
-1230.6067223061732j,"[[ 1.85553577e-07+8.12602320e-04j  7.53286637e-08+2.80955765e-11j]
 [ 7.57425126e-08+2.82396058e-11j -4.68491751e-07+8.12602020e-04j]]"
-1228.811526504122j,"[[ 1.85913398e-07+8.13789355e-04j  7.55863164e-08+2.82419329e-11j]
 [ 7.60013748e-08+2.83866405e-11j -4.69663465e-07+8.13789192e-04j]]"
-1227.0163307020705j,"[[ 1.86390036e-07+8.14980521e-04j  7.57841360e-08+2.50191852e-11j]
 [ 7.62004104e-08+2.51645058e-11j -4.71023486e-07+8.14980209e-04j]]"
-1225.2211349000193j,"[[ 1.87111327e-07+8.16174549e-04j  7.60056751e-08+2.65484569e-11j]
 [ 7.64231694e-08+2.66944349e-11j -4.72505559e-07+8.16174303e-04j]]"
-1223.425939097968j,"[[ 1.87814451e-07+8.17372114e-04j  7.62410280e-08+2.82174551e-11j]
 [ 7.66597489e-08+2.83640812e-11j -4.74088073e-07+8.17371917e-04j]]"
-1221.6307432959168j,"[[ 1.88749068e-07+8.18573553e-04j  7.64478174e-08+2.63335213e-11j]
 [ 7.68677695e-08+2.64807652e-11j -4.75881062e-07+8.18573443e-04j]]"
-1219.8355474938653j,"[[ 1.88845395e-07+8.19777674e-04j  7.66726027e-08+2.68744141e-11j]
 [ 7.70937920e-08+2.70222825e-11j -4.76833313e-07+8.19777426e-04j]]"
-1218.040351691814j,"[[ 1.89968388e-07+8.20985289e-04j  7.69024896e-08+2.67836583e-11j]
 [ 7.73249211e-08+2.69322515e-11j -4.78872875e-07+8.20984991e-04j]]"
-1216.2451558897628j,"[[ 1.90229872e-07+8.22197799e-04j  7.71329081e-08+2.66168753e-11j]
 [ 7.75565874e-08+2.67661116e-11j -4.79953784e-07+8.22197677e-04j]]"
-1214.4499600877114j,"[[ 1.90433668e-07+8.23412639e-04j  7.73773763e-08+2.89693506e-11j]
 [ 7.78023096e-08+2.91191830e-11j -4.80988703e-07+8.23412457e-04j]]"
-1212.6547642856601j,"[[ 1.91188208e-07+8.24631733e-04j  7.75921123e-08+2.75387608e-11j]
 [ 7.80183038e-08+2.76892343e-11j -4.82621033e-07+8.24631557e-04j]]"
-1210.8595684836089j,"[[ 1.91595800e-07+8.25853808e-04j  7.78204302e-08+2.43589037e-11j]
 [ 7.82478872e-08+2.45101282e-11j -4.84014064e-07+8.25853602e-04j]]"
-1209.0643726815576j,"[[ 1.91760771e-07+8.27080774e-04j  7.80955035e-08+2.88054321e-11j]
 [ 7.85242299e-08+2.89573453e-11j -4.85043464e-07+8.27080372e-04j]]"
-1207.2691768795062j,"[[ 1.92415222e-07+8.28310227e-04j  7.83074368e-08+3.04703191e-11j]
 [ 7.87374402e-08+3.06228913e-11j -4.86530880e-07+8.28310049e-04j]]"
-1205.473981077455j,"[[ 1.93565035e-07+8.29543263e-04j  7.85701379e-08+3.27822364e-11j]
 [ 7.90014230e-08+3.29354145e-11j -4.88557282e-07+8.29542847e-04j]]"
-1203.6787852754037j,"[[ 1.94145260e-07+8.30780991e-04j  7.88105300e-08+3.10700233e-11j]
 [ 7.92431019e-08+3.12239436e-11j -4.89979823e-07+8.30780817e-04j]]"
-1201.8835894733525j,"[[ 1.94346386e-07+8.32021551e-04j  7.90419322e-08+2.81087645e-11j]
 [ 7.94757976e-08+2.82634355e-11j -4.91014550e-07+8.32021226e-04j]]"
-1200.088393671301j,"[[ 1.94462670e-07+8.33266446e-04j  7.93003328e-08+2.72655763e-11j]
 [ 7.97354966e-08+2.74208985e-11j -4.91906196e-07+8.33266358e-04j]]"
-1198.2931978692498j,"[[ 1.95306482e-07+8.34514655e-04j  7.95380689e-08+2.75998157e-11j]
 [ 7.99745376e-08+2.77558585e-11j -4.93795740e-07+8.34514379e-04j]]"
-1196.4980020671985j,"[[ 1.96364853e-07+8.35766256e-04j  7.97860916e-08+2.44932755e-11j]
 [ 8.02238714e-08+2.46499712e-11j -4.95824366e-07+8.35765931e-04j]]"
-1194.7028062651468j,"[[ 1.96649122e-07+8.37022804e-04j  8.00543740e-08+2.76621151e-11j]
 [ 8.04934703e-08+2.78195720e-11j -4.96914984e-07+8.37022626e-04j]]"
-1192.9076104630956j,"[[ 1.96973336e-07+8.38282057e-04j  8.02421471e-08+3.03139909e-11j]
 [ 8.06825657e-08+3.04721529e-11j -4.98060776e-07+8.38281798e-04j]]"
-1191.1124146610443j,"[[ 1.98232816e-07+8.39545534e-04j  8.04624624e-08+2.88038753e-11j]
 [ 8.09042096e-08+2.89626719e-11j -5.00349540e-07+8.39545151e-04j]]"
-1189.317218858993j,"[[ 1.98726076e-07+8.40813312e-04j  8.07300213e-08+2.93077887e-11j]
 [ 8.11731029e-08+2.94673980e-11j -5.01722031e-07+8.40813002e-04j]]"
-1187.5220230569416j,"[[ 1.99980092e-07+8.42084222e-04j  8.10110036e-08+3.13905442e-11j]
 [ 8.14554256e-08+3.15507983e-11j -5.03891753e-07+8.42083956e-04j]]"
